「皿状顔貌(dished face)」の輪郭は、何に関係していることが多いか？,先端巨大症による顆部軟骨の再活性化による下顎の突出,頭蓋底の伸展不全による上顎骨の後退, 水頭症による前頭骨の肥大, 上顎洞の発達不全,B
次のうち、体内で尿を集める構造を最もよく表しているものはどれか？,膀胱 ,腎臓 , 尿管 , 尿道,A
次の構造のうち、外胚葉系間充織に由来するものはどれか？,運動ニューロン ,骨格筋 , メラノサイト , 汗腺,C
腎臓の各ネフロンに見られる毛細血管の集まりを表すものはどれか？,求心性細動脈 ,糸球体 , ヘンレループ, 腎盂,B
ある患者が頸部を骨折し、第6頸椎のレベルで脊髄を損傷した。患者の呼吸状態は以下のどれか？,生命維持装置なしでは呼吸ができなくなる。,静かにしか呼吸できない。, 呼吸への影響を予測することは不可能。, 呼吸に影響はない。,B
次の腹部の解剖学的な領域のうち、胸骨のちょうど末端に位置するのはどれか？,上腹部 ,下胸部 , 下腹部 , 腰部腰椎,A
環境細菌に対する人体の防御機構について、最も適切なものはどれか？,鼻毛 ,粘膜 , 骨芽細胞 , 唾液,B
口蓋突起はいつ融合し始めるか？,受精後6週目,受精後8週目, 受精後10週目, 受精後12週目,C
一次運動野の活動は、何をもたらすか？,抗重力四肢筋の両側収縮,四肢筋群の両側収縮, 同側の四肢筋群の収縮, 反対側の四肢筋群の収縮,D
患者の顎下リンパ節が腫大していることに気づく。あなたはどこの部位の感染の可能性を疑うか？,硬口蓋,硬口蓋と上唇, 硬口蓋、上唇、上中切歯, 硬口蓋、上唇、上中切歯、下顎第一大臼歯,D
交通事故で眼窩を損傷し、第三脳神経を損傷した患者がいる。以下の徴候のうち、どれが認められるか？,瞳孔収縮と内側斜視 ,瞳孔拡張と内側斜視 , 瞳孔収縮と外側斜視 , 瞳孔拡張と外側斜視,D
