典型的な広告規制機関は、例えば、広告が次のことをしてはならないことを示唆している：_______________を奨励し、不必要な_______または_______を引き起こし、_______不快感を与えてはならない。,安全でないやり方、欲求、恐怖、ささいな,安全でないやり方、苦痛、恐怖、深刻な,安全なやり方、欲求、嫉妬、ささいな,安全なやり方、苦痛、嫉妬、深刻な,B
_______は、個々の契約および広範な雇用法に基づく、雇用主に対する労働者の義務である。,従業員の権利,従業員の権利,雇用主の義務,従業員の義務,D
_______とは、従業員が好む、仕事とそれ以外の活動の比率のことで、仕事の激化や技術シフトのため、近年、熱い争点となっている。,プレゼンティーイズム,アブセンティーズム,ワーク・プレイ・バランス,ワーク・ライフ・バランス,D
_______は、相互依存的な生物とその環境のバランスの取れたネットワークで構成される自然の対応物に例えることができ、企業や産業があらゆる種類の資源や廃棄物によって結び付き、相互依存していることを考慮することにより、持続可能性思考に付加価値を与える。,産業供給ループ,産業生態系,生態系,企業生態系,B
例えば、一方の当事者がより多くの資源を所有する＿＿＿＿＿、一方の当事者が関係から より多くの利益を得る＿＿＿＿＿＿＿の不公平な分配、そしてCSOが＿＿＿＿＿＿であることは、すべて企業と CSOのコラボレーションの限界であり、リスクである。,権力の不均衡、利益、フッドウィンク,権力の不均衡、資源、共同出資,情報の非対称性、利益、フッドウィンク,情報の非対称性、資源、共同出資,B
企業の利益最大化は主要な規範理論では直接規定されていないが、どの規範理論と最も類似しているか?,快楽主義的功利主義,選好功利主義,定言命法,ケアの倫理,B
ミルトン・フリードマンは、ビジネスの唯一の責任は何であると考えているか?,企業の唯一の社会的責任は株主に対するもの,経営者は社会と株主の利益のバランスをとるように行動すべき,組織が負う第一の責任は従業員に対するもの,組織が負う第一の責任は利害関係者に対するもの,A
_______規制は、CSOが企業との間に持つ_______以上に、そのようなプロセスの_______にも関わるものである。,法的、相互作用、力学,市民、関係、成果,政治、相互作用、成果,環境、関係、力学,B
_______な働き方とは、時間的、空間的、およびタスクに関連した流動性を伴う作業パターンを指す。,ダイナミック,流動的,フレキシブル,現代的,C
シュナッケンベルクとトムリンソン(2014)によると、企業の透明性の質を評価するために使用できる3つの基準は何か?,寛容さ、明確さ、正確さ,開示、詳細さ、正確さ,開示、明確さ、正確さ,開示、明確さ、効率性,C
企業は経営者、従業員、投資家、顧客から＿＿＿＿＿＿＿＿＿。従って、＿＿＿＿継承権があり、また＿＿＿＿＿＿。,区別できない、永久、自身の資産を所有しない,独立している、限定、自身の資産を所有する,独立している、永久、自身の資産を所有する,区別できない、永久、自身の資産を所有する,C
英国の公共サービス（社会的価値）法2013は、＿＿＿＿を調達する者に、どのようにしてより広範な＿＿＿＿、＿＿＿、＿＿＿利益を確保できるかを検討するよう求めている。,民間サービス、社会的、経済的、環境的,公共サービス、社会的、文化的、環境的,民間サービス、文化的、経済的、環境的,公共サービス、社会的、経済的、環境的,D
企業が商品の本当の価格を意図的に隠蔽することは、次のうちどのように知られているか?,略奪的価格設定,欺瞞的価格設定,価格固定,スキミング,B
ドナルドソンおよびプレストン(1995年)に従ってステークホルダー理論の3つの相違のタイプは何か?,規範的、記述的および経済的,規範的、道徳的および道具的,政治的、記述的および道具的,規範的、記述的および道具的,D
＿＿＿＿に対する権利は、従業員にとって長年の倫理的関心事であったが、今日、ほとんどの先進国では、企業が遵守しなければならない労働安全衛生および環境規制の緻密なネットワークを通じて対処されている。,ワーク・ライフ・バランス,健康的で安全な労働条件,従業員のプライバシー,言論の自由,B
企業組織の第一の目的として、最も効果的に機能するのはどれか?,利益を上げること,資源を調達すること,株主とコミュニケーションをとること,組織と環境の仲介をすること,A
CSRの啓発された自己利益モデルとは何か?,倫理よりも自らを第一に考えることが、組織自身の最善の利益であること,株主が何を望むかを考慮することが組織の最善の利益であること,倫理的な方法で行動することが、組織自身の最善の利益であること,法律に従い、法律を遵守することが組織自身の最善の利益であること,C
消費者が、企業が自分についてどのような情報を収集し、それがどのように保存され、使用され、共有されるかを制御する権利は次のうちどれか?,消費者の包摂,消費者の管理,消費者のプライバシー,消費者の排除,C
＿＿＿＿＿経済とは、長期的ではなく、特定の仕事のために雇用される個人を表す言葉である。これは＿＿＿＿＿をもたらし、企業にとって有益であるが、このような方法で雇用される人々にとっては、＿＿＿＿の増加、不確実性、＿＿＿＿＿の欠如が問題となる。,ギグ、柔軟性、リスク、社会福祉構造,共有、リスク、柔軟性、自律性,ギグ、リスク、柔軟性、自律性,共有、柔軟性、リスク、社会福祉構造,A
＿＿＿＿＿の理論では、倫理的問題を評価するために、個人の認知能力に応じて3つのレベルの道徳的推論が存在すると仮定している。,エゴイズム,認知的道徳性の発達,権力的距離,不確実性回避,B
________理論は、すべての合理的な存在が遵守すべき行動規範として説明することができる。 これは、特定の集団または社会によって採用される行動規範である_________道徳とは対照的である。,記述的、規範的,規範的、道具的,規範的、記述的,倫理的、記述的,C
______________、_______________および_____________はすべて、道徳的強度に影響を与える可能性のある要因である,社会的合意、時間的即時性、近接性,近接性、社会的合意の欠如、効果の無益性,近接性、時間的即時性、社会的合意の欠如,社会的合意の欠如、文化的な即時性、近接性,A
特定の市場へのより良いアクセス、製品の差別化、および汚染防止技術の販売により、より良い環境パフォーマンスが可能にするものは次のうちどれか?,収益の増加,コストの増加,収益の減少,コストの減少,A
企業の活動が社会、特に地域社会や市民社会から継続的に承認され、受け入れられることを表す言葉は次のうちどれか?,啓発された自己利益,社会的営業許可,地域社会の承認,サプライチェーンの責任,B
企業の意思決定、方針、活動、および影響が、関連する利害関係者に認識され、可視化される程度は、以下として知られている。,企業の不透明性,企業の透明性,企業の開放性,企業の可視性,B
