マラソンを成功させる鍵となる属性は何か？, ストレングス, パワー, ストライドの長さ, スタミナ,D
英国で最も一般的な認知症の原因はどれか？, アルツハイマー病, 脳血管（脳卒中）疾患, レビー小体型認知症, HIV感染症,A
アナフィラキシーの症状でないものはどれか？, 喘鳴, 徐脈, 激しい喘鳴,発疹,B
どのような場合にクローズドパウチを使用するか？, 患者が半形成または液体で排泄している。, 人工肛門を造設している。, 術直後。, 膀胱瘻を造設している。,B
スプリントの回数が増えるにつれてどうなるか？, 嫌気的寄与が徐々に増加する。, 筋のpHが6.0を下回る。, 血中グルコース濃度が3mmol/Lを下回る。, 好気的代謝の相対的寄与が増加する。,D
複視において正しいのはどれか？, 複視は片方の眼を覆っている場合には決して起こらない , 外側の像は常に虚像である , 患者が上を向いているときに第4神経麻痺が起こる , 第6神経麻痺があると、発散性のスクインツが起こる,B
炭酸水素ナトリウムの摂取は、どのようにして中距離走のパフォーマンスを向上させるのか？, 細胞外液のpHと緩衝能が上昇し、筋肉からの水素イオンの流出が速くなる。, 細胞外液のpHと緩衝能が低下し、筋肉からの水素イオンの流出が速くなる。, 細胞外液のpHと緩衝能を上昇させ、筋肉への水素イオンの流入を促進する。, 運動前の筋pHを上昇させる。,A
コドンとは？, mRNAまたはDNA中のヌクレオチド塩基の三重鎖配列。, mRNAまたはDNA中のヌクレオチド塩基の4重鎖配列。, ポリペプチド鎖中のアミノ酸のトリプレット配列。, DNA中のデオキシリボース糖の三重鎖配列。,A
脂肪酸は何と結合してミトコンドリアに運ばれるか？, チオキナーゼ, コエンザイムA (CoA), アセチル-CoA, カルニチン,D
血液型B(アカゲザル陰性)の人に投与できる適合血液型として、最も適切なものはどれか。, AB型（アカゲザル陰性）、B型、O型（アカゲザル陰性）。, 血液型B（アカゲザル陽性）、血液型O（アカゲザル陽性）。,血液型B（アカゲザル陰性）と血液型O（アカゲザル陰性）。, 血液型B（アカゲザル陰性）のみ。,C
腕の下位運動神経障害で正しいのはどれか？, 腕の緊張が亢進する（筋緊張亢進） , 筋肉痛はみられない , 反射は冴える , 尺骨神経麻痺は下位運動ニューロン病変の一例。,D
次の記述のうち、誤っているのはどれか？, アンモニアは高強度の運動を繰り返すと発生する。, 筋乳酸の蓄積は、少なくとも5秒間の間欠的筋収縮が起こるまでは始まらない。, 筋ホスホクレアチンの枯渇は、高強度運動の最初の数秒間で始まる。, 繰返しスプリントの回数が増えるにつれて、筋中の乳酸の蓄積速度は低下する。,B
筋肉におけるグリコーゲンの分解により、最初に生成されるものは何か？, グルコース, グルコース-1-リン酸, グルコース-6-リン酸," グルコース-1,6-二リン酸",B
骨格筋に見られる2つの主要な収縮タンパク質は？, アクチンとトロポニン。, アクチンとミオシン。, トロポニンとトロポミオシン。, ミオシンとトロポミオシン。,B
次のうち、第Ⅲ脳神経麻痺で脳神経外科的緊急疾患となるのはどれか。, 片側の縮瞳。, 両側の縮瞳。, 片側の固定瞳孔散大。,楕円形の瞳孔。,C
甲状腺の腫脹について正しいのはどれか？, 嚥下時に必ず隆起する , リンパ節腫大は予後の良い徴候である , 腫脹の超音波検査は、結節が活発にホルモンを分泌しているかどうかを判断するのに最適な検査である , 同位体スキャンで機能する結節は、癌によるものである可能性は低い,D
肝腫大で正しいのはどれか？, 肺気腫が原因である , 肝臓は左季肋部から下方に腫大する , 黄疸、クモ状母斑、紫斑の存在はアルコールが原因であることを示唆する , 肝臓は通常打診に共鳴する,C
反射に関して正しいのはどれか？, 足底反射の評価において、バビンスキー反射陽性は正常な屈筋反応と同じである , 足底伸筋反応は下位運動ニューロンの病変を示す , 足関節反射のルート値はS1である , 膝反射のルート値はL1、L2である,C
顔面神経麻痺について正しいのはどれか？, ベル麻痺は上位運動神経病変の別称である , ラムジーハント症候群は帯状疱疹感染に続発する上位運動神経病変である , 麻痺側のまぶたを閉じることができない場合は下位運動神経病変を示す , ベル麻痺では味覚は決して障害されない,C
コレス骨折とは？, 手の骨折。, 肘骨折。, 指の骨折。,手首の橈骨と尺骨の骨折。,D
輸血反応が疑われる場合はどうすべきか？, 輸血を中止し、直ちに医療スタッフに連絡し、急性輸血反応への対応に関する輸血方針の助言に従う。, 輸血を継続したままにして、直ちに医療スタッフに連絡する。, 輸血バッグを直ちに取り外し、廃棄する。, 輸血を継続したまま、患者に関する一連の観察を記録する。,A
血液バンクから所定の単位の血液製剤が入手され、冷蔵保存されていない場合、輸血は劣化が始まる前のどの期間内に開始されるべきか（2020年の医学知識として）。, 30分, 90分, 4時間, 12時間,A
インフォーマルケアラーに関する次の記述のうち、正しいものはどれか（2020年現在）。, 65歳以上の50％がインフォーマルケアを行っている。, 65歳以上の6人に1人が何らかの形でインフォーマルケアを行っている。, インフォーマルケアラーを退院計画に含めるべきではない。, 非正規介護者の大多数は健康で活動的。,B
翻訳後にタンパク質の構造を変化させるために用いられないプロセスはどれか？, 脂質化。, ペプチド結合によるアミノ酸の付加。, 糖鎖付加,リン酸化。,B
在宅患者に膀胱洗浄を行う必要があるのはなぜか？, 尿が透明な場合。, カテーテルが詰まっているとき。, カテーテルがバイパスしているとき。, カテーテルが汚れているとき。,B
14～16ゲージの針が最も適しているのは？, 小児。, 高齢患者。, 手の甲に挿入するとき。, 外傷または熱傷患者。,D
クラック音より胸膜摩擦擦過音の可能性が高いことを示唆する特徴はどれか。, 呼気時に目立つ , 咳によって変化する , 局所に痛みがない , クラブ化する,A
サッカーのような競技では、血中乳酸濃度はどうなるか？, 3mM以上に上昇することはほとんどない。, 通常、前半終了時よりも試合終了時の方が低い。, 通常、前半終了時よりも試合終了時の方が高い。, 試合中、選手の疲労が増すにつれて増加する。,B
乳酸と水素イオンはどうようにして筋肉から排出されるか？, カルノシンとの共輸送機構を介して。, 活性輸送機構を介して。, タンパク質トランスポーター分子を介して。, 単純な拡散によって。,C
脊椎について正しいのはどれか？, 腰痛はまれな訴えである , ショーバーテストは腰椎の屈曲を数値化するものである , 強直性脊椎炎は脊椎の可動性亢進の原因である , 妊娠は腰椎の前弯を失わせる原因である,B
乾癬性関節症で正しいのはどれか？, 乾癬の斑がない場合は診断から除外される , 血液マーカーで診断が確定できる , 患部の関節にトフィがみられることがある , 爪の孔が診断の手がかりになることがある,D
甲状腺のバセドウ病について正しいのはどれか？, 眼球麻痺の原因である , 大きな多結節性甲状腺腫の原因である , 女性よりも男性に多い , かつてバセドウ病は「ダービーシャー・ネック」を引き起こすことがあった,A
カルシウム代謝について正しいのはどれか？, カルシトニンは血漿カルシウムの上昇を引き起こす , 原発性副甲状腺機能亢進症は通常無症状である , ビタミンDは副甲状腺から分泌される , 尿量減少は高カルシウム血症の症状である,B
キナーゼ反応とは？, ATPの分解を阻害する。, リン酸基の付加または除去を伴う。, ケトン基の付加または除去を伴う。, ポリペプチド鎖へのアミノ酸の付加または除去を伴う。,B
成人男性の正常呼吸数はどれくらいか？, 10～12回/分,8～10回/分, 20～22回/分, 14～16回/分,D
コラーゲン線維について正しいものを選べ。,創傷治癒の最初の5日間に再確立される。,創傷の表面に橋渡しをする。, 再構築には時間がかかる。,傷が一時癒合で治りつつあるなら必要ない。,C
次のうち、体内で完全に酸化されたときに最もエネルギーを放出するのはどれか？, グルコース1グラム , パルミチン酸1グラム , ロイシン1グラム , アルコール1グラム,B
ミトコンドリアの内膜に埋め込まれているのは？, トリカルボン酸サイクル（クレブスサイクル）の酵素。, 電子伝達連鎖の構成要素。, グリコーゲン分子。, トリアシルグリセロール分子。,B
ある男子選手のトレーニング中の平均酸素消費量が2ℓ/分であった場合、その選手のエネルギー消費量はおよそどれくらいか？, 400kJ/分, 200 kJ/分, 80kJ/分, 40 kJ/分,D
成人の安静時の正常心拍数は？, 60-80bpm。, 60-100 bpm。, 60-90bpm。, 60-110 bpm。,B
次の記述のうち、誤っているのはどれか？, ホスホフルクトキナーゼは解糖の速度制限酵素。, ホスホリラーゼ活性はI型線維よりもII型線維で高い。, 持久力トレーニングは筋のTCAサイクル酵素量を増加させる。,酸素はTCAサイクルで消費される。,D
尺骨神経麻痺で正しいのはどれか？, 尺骨神経は上腕骨の螺旋溝の骨折によって影響を受けることがある , ファーレン徴候が陽性になる , 手の内側半分と内側1.5趾の手掌側と手背側の感覚が失われる , 上腕二頭筋に供給される,C
歯をきれいにするには、どれくらいの量の歯磨き粉を使うのがよいか？, 塗る程度。, 小豆大の量。, 歯ブラシの長さ分。, 半インチ。,B
クッシング症候群について正しいのはどれか？, コルチゾールホルモンの欠乏が原因である , 四肢の肥大がよくみられる , 骨粗鬆症は特徴ではない。,満月様顔貌（ムーンフェイス）と野牛肩がこの病気の特徴。,D
スポーツの成功を左右する主な要因は？, エネルギーの高い食事と食欲。, 高い知性と成功への意欲。, 優れたコーチと成功への意欲。, 生まれつきの能力と、トレーニングの刺激に反応する能力。,D
DNAの二本鎖分子において、プリン：ピリミジンの比率は？, 変化する。, RNAの塩基配列によって決まる。, 遺伝的に決定される。, 常に1：1。,D
パフォーマンスを高める合成ステロイドは、どのホルモンの構造に基づいているか？, テストステロン, コルチゾール, プロゲステロン, アルドステロン,A
運動中の筋肉におけるグリコーゲンの分解は、何によって活性化されるか？, インスリン, コルチゾール。, pHの上昇。, 上記のいずれでもない。,D
遊離脂肪酸のほとんどはどのようにして血液中に運ばれるか？, 赤血球の中。, リポタンパク質として, グルコースと結合する。, アルブミンと結合する。,D
カニューレはどれくらいの頻度で洗浄すべきか？, 4時間ごと。, 8時間ごと。, 12時間ごと。, 16時間ごと。,C
クレアチンキナーゼの活性の説明で正しいものはどれか？, 細胞内ADPが上昇すると増加する。, 筋pHが6.9以下になると増加する。, II型線維ではI型線維よりも常に低い。, 持久的トレーニングの後に増加する。,A
水銀血圧計とアネロイド血圧計で測定できる最小の増分はいくらか？, 10 mmHg。, 4 mmHg。, 2 mmHg。, 1 mmHg。,C
頭部外傷や意識レベルの変化でみられる呼吸パターンの異常でないものはどれか。, チェーン・ストークス呼吸, 嫌気性呼吸,過呼吸,失調性呼吸,B
心肺蘇生中、胸骨圧迫と人工呼吸はどのような割合で行うべきか？,02:25,15:02,01:05,30:02:00,D
体重62kgの人がいる。薬物投与量は15mg/kg。投与量は何グラムか？次の中から答えを1つ選べ。,930,93,9.3,0.93,D
クレアチンサプリメントの副作用として予想されるのは何か？,筋力低下。, 体重の増加。, 筋けいれん。, 電解質の損失。,B
心周期を構成するフェーズの組み合わせで正しいものはどれか？, 収縮期、拡張期、休止期。, 収縮、弛緩、休止。, 拡張期と収縮期。, 拡張期、収縮期、収縮,C
スポーツにおける成功に影響を与えない要因はどれか？, 病気や怪我に屈することなく、激しいトレーニングに耐える能力。, 戦術。, 食生活。, 運動中のカルニチンの摂取。,D
生存の鎖には4つのリンクがある。以下のリストを正しい順序で並べなさい：1.早期除細動、2.早期CPR、3.早期発見と救助要請、4.蘇生後のケア,"3, 1, 2, 4.","3, 2, 1, 4.","1, 2, 3, 4."," 2, 1, 3, 4.",B
高強度運動における疲労の基本的な原因は？, 細胞内のADP濃度の低下。, ATP産生の抑制。, ATP供給が需要に追いつかないこと。, 技術不足。,C
直腸所見の可能性について正しいのはどれか？, 触知可能な前立腺正中溝は有害所見である , 衝撃便は時に直腸腫瘍と間違われることがある , 血栓性痔核は無痛である , 肛門周囲疣贅は肛門鏡検査でのみ確認できる,B
皮膚擦過傷の一般的な原因は？, きちんとフィットしたパウチ。, 毎日パウチを交換する。, 口周囲皮膚への排泄物の漏れ。, 皮膚の洗浄に無香料の石鹸を使用する。,C
全身性硬化症について正しいのはどれか？, 女性より男性に多く発症する , 毛細血管拡張症がみられれば診断は確実である , 荒爪はこの病気の特徴である , 患者の鼻は嘴状で、皮膚は蝋質である,D
触知可能な左傍胸骨インパルスはどの異常を示唆するか？, 右室肥大 , 大動脈弁狭窄 , 大動脈弁逆流 , 左室肥大,A
循環血液量減少性ショックでは、心拍数や血圧の変化に反映されるまでに、何％の血液が失われるか？,5%,10%,20%,30%,D
モルヒネの作用を最もよく表しているのはどれか？, 痛みの強さを軽減し、覚醒度を高める。, 痛みの強さを軽減するが、鎮静も引き起こす。, 痛みの強さを軽減するが、下痢も引き起こす。,痛みの強さを軽減するが、不眠も引き起こす。,B
頭痛について正しいのはどれか？, 頚部硬直を伴う場合、常に髄膜炎が原因である , 激しい痛みは通常、生命を脅かす原因を示している , 側頭動脈炎は関節リウマチと強く関連している , 緊張型頭痛は頭痛の一般的な原因である,D
左心室の収縮の間、血液は血管内を流れ続ける理由は何か？, 心房が収縮している。, 血管は収縮している。, 右心室は弛緩している。, 動脈には弾性的な反動がある。,D
看護師は何が原因で患者は吸入器を使用できないと考えるのか？, 重度の下腿潰瘍がある。, 喘息の急性増悪から回復したことがある。, 近々手術が予定されている。,技術不足、身体障害、理解不足。,D
粘着ストリップの除去の説明で正しいのはどれか？, 患者が行うことができる。, 無菌状態で行うべき。, 専門的な技術。, 少なくとも貼付後7日経過するまでは実施すべきではない。,A
心肺蘇生中、胸骨圧迫はどのような速度で行うべきか？, 80回/分。, できるだけ速く。, 100回/分。, 患者によって異なる。,C
次の生理学的特性のうち、マラソンなどの持久系競技で成功するために重要でないものはどれか？, 体温調節能力。, 運動している筋肉に酸素を供給する能力。, 炭水化物の体内貯蔵が可能であること。,筋肉のATPとホスホクレアチンの含有量。,D
吸入器を使用する際、いつ患者に口をすすぐように指示すべきか？, 気管支拡張薬吸入器を使用する前。, 気管支拡張薬吸入器の使用後。, ステロイド吸入器を使用する前。,ステロイド吸入器の使用後。,D
筋の乳酸産生が増加するのはどのような場合か？, 酸素が容易に利用できる場合。, グルコースの分解からピルビン酸が生成されない場合。, 筋のpHが低下する場合。, 運動開始時に解糖が活性化される場合。,D
ストレッチの最低保持時間は？, 0～10秒。, 10～30秒。, 30～50秒。, 60秒。,B
脳卒中量を調節する3つの因子は？, 血液量、前負荷、後負荷。, 前負荷、収縮力、後負荷。, 収縮力、血液量、血圧。,心拍出量、収縮力、血液量。,B
中指の骨の名前を、手から見て正しい順に挙げよ。, 近位指節、中位指節、遠位指節。, 遠位指節、中位指節、近位指節。, 中咽頭、遠位咽頭、近位咽頭。,遠位咽頭、近位咽頭、中間咽頭。,A
筋肉によるグルコースとアミノ酸の取り込みを促進するのはどれか？, アドレナリン , インスリン , グリコーゲン , コルチゾール,B
イレウス瘻の開口部はどのようにすべきか？, 皮膚と同じ高さ。, 3～5cmの長さ。, 皮膚の高さより下。, 長さ5cm以上。,B
尿道カテーテル挿入前に行わないことはどれか？, 患者の同意を得る。, 患者を洗浄する。, 有効期限を確認する。,患者の近親者に連絡する。,D
水素イオンが生成されるのはどんな時か？, グリコーゲンが枯渇する時。, ホスホクレアチンの分解が起こる時。, ピルビン酸が乳酸に変換される時。, 解糖がATPを再合成する主要な手段として使用されている時。,D
次の操作のうち、中枢性疼痛刺激でないものはどれか？, 眼窩上隆起の圧迫。, 小指歯髄の圧迫。, 僧帽筋の圧迫。, 胸骨摩擦。,B
ドーパミンは4マイクログラム/kg/分の割合で処方される。体重65kgの人の場合、1時間に何ミリグラム投与されるか？,156,15.6,1.56,15600,B
直腸診について正しいのはどれか？, 患者が付き添いを拒否した場合、医師はそれを覆すことができる , 直腸診は神経学的検査では意味がない , 患者の最適な体位は膝を伸ばした右側である , 直腸診はいくつかの消化器疾患の評価に適応される,D
カフが膨張しているのに、患者が話せないのはなぜか？, 十分に呼吸ができない。, 嚥下がうまくできない。, 疲れすぎている。, 声帯に空気を通すことができない。,D
どんな頻度で創傷ドレナージの量と濃度を評価する必要があるか？, 術後観察を行う度。, 毎日。, 1時間ごと。, 創傷被覆材の交換時のみ。,A
クレアチンは何から合成されるか？,筋肉中のアミノ酸, 肝臓のアミノ酸, 腎臓のアミノ酸, 腎臓のクレアチニン,B
尿道カテーテルの詰まりを除去しようとしても抵抗され、除去できない場合はどうすればよいか？, より強く尿道カテーテルを抜去する。, 閉塞を解除するためにさらに努力する。, 次回まで放置する。,医師に助けを求める。,D
膀胱洗浄液はどのような状態にすべきか？, 温かい。, 冷たい。, 冷蔵。, 室温。,D
患者の疼痛管理に関するケアプランを作成する際には、どんなニーズに注意を払うべきであるか？, 身体的および薬理学的ニーズのみ。, 身体的・心理的ニーズのみ。, 身体的、心理的、薬理学的ニーズと定期的な再評価。, 薬物の副作用を抑えることが最優先であるため、上記のどれにも当てはまらない。,C
アポリポ蛋白質E遺伝子を持つ患者はどの病気のリスクがあるか？, 嚢胞性線維症。, ハンチントン痴呆症。, アルツハイマー病。,うつ病。,C
ドライマウスを引き起こす可能性のある薬剤はどれか？, ステロイド。, 鎮痛薬。, 抗うつ薬。,抗真菌薬。,C
次の記述のうち、正しくないものはどれか？, 筋グリコーゲンは酵素的に分解され、グルコース-1-リン酸になる , エリート持久力ランナーは脚の筋肉にI型線維の割合が高い , 肝グリコーゲンは血中グルコース濃度の維持に重要である , インスリンは体内の全組織によるグルコースの取り込みを促進する,D
チアノーゼを起こしている患者の酸素飽和度は？, 98％以上。, 94％以上。, 80％以下。, 85％以上。,C
患者の呼吸を評価する場合の説明として正しいものは次のうちどれか？,必ず義歯を外す。, 胸の動きを確認し、鏡を使って呼気をチェックする。, 胸の動きを確認し、呼吸音を聞き、呼気を頬に感じる。, 30秒間評価する。,C
ある人がロピニロール1.5mgを3回に分けて処方された。各用量は何マイクログラムか？次の中から答えを一つ選べ。,5,50,0.5,500,D
複数回のスプリント活動における末梢筋疲労の発生に関与していると考えられるのはどれか？, 無機リン酸の蓄積。, 筋の高浸透圧化。, 抗酸化物質の過剰摂取。,カリウムの不足。,A
筋肉中のATP貯蔵量は、高強度の運動でおよそどれくらいか？, 2ミリ秒, 2秒, 10秒, 20秒,B
抗菌薬コトリモキサゾール960mgが12時間ごとに処方されている。1日の投与量は何グラムか？次の中から答えを1つ選べ。,0.192,1.92,1920,0.96,B
甲状腺機能低下症の説明で正しいのはどれか？, 体重減少 , 前脛骨粘液水腫 , TSH値の上昇 , 暖かい場所を嫌う,C
低クロール血症とは？, 胃酸量の増加。, 胃潰瘍。, 胃酸量の減少。,悪性貧血。,C
灌流を伴う前立腺経尿道的切除術から3時間後の67歳男性で、カテーテルが閉塞している。膀胱洗浄を完了するために使用すべき溶液はどれか。, R液 , 正常食塩水 , G液,上記のどれか。,B
ケロイドの説明として正しいものはどれか？, 感染の証拠。, 固い瘢痕組織の塊。, 細い、髪の生え際の瘢痕。, 創傷部のドレーンを早く除去した場合にできる。,B
次のうち、アミノ酸ではないものはどれか？, グルタミン酸 , アスパラギン酸 , グルタミン , パルミチン酸,D
創傷からの排液が漿液性であるのは、どんな場合か？, 赤血球を含む場合。, 厚く、黄色または緑色である場合。, 微生物を含む場合。, 透明またはわずかに黄色である場合。,D
子供の性別は、どういった遺伝によって決まるか？, 母親からのX染色体の数。, X染色体上の劣性対立遺伝子。, 母親からの単一のY染色体。, 父親からの単一のY染色体。,D
痙性対麻痺の説明で正しいのはどれか？, 多発性硬化症がこの神経学的パターンを引き起こす可能性がある , 固有感覚喪失が一般的な特徴である , 下肢の協調性に影響がある , 緊張は正常か弛緩している,A
乳酸、グリセロール、またはアミノ酸からグルコースを合成することを何と呼ぶか？, グリコーゲン分解。, 解糖。, 脂肪分解。, 糖新生。,D
血液ユニットが冷蔵保存されていない状態が許容期限を超えた場合、何を行うべきか？, できるだけ早く輸血し、投与時刻を患者のノートに記入する。, 内容物を水門で廃棄し、記録用にバッグを保管する。, 血液バンクに返却し、その理由を連絡する。, 12時間以上冷蔵してから投与する。,C
聴診ギャップとはどんな場合を指すか？, 膀胱が拡張期圧と等しくなったため、コロトコフ音が聞こえなくなった場合。, 収縮期と拡張期の間にコロトコフ音が聞こえる場合。,コロトコフ音が消失し、膀胱が収縮する第2相で再発する場合。, カフを完全に収縮させてもコロトコフ音が消えない場合。,C
口腔内には何種類の微生物が生息しているか？,35,100,350,500,C
シャワーや入浴時に皮膚を洗うのにシャンプーを使ってはいけないのはなぜか？, 石けんやエモリエント剤よりも滑りやすい。, 十分な泡立ちが得られない。, コストパフォーマンスが悪い。, 皮膚の乾燥を引き起こす可能性がある。,D
次のうち、アドレナリン1000分の1と同じ強さのものはどれか？次の中から答えを一つ選べ。, 1 mg/mL , 1 mg/L , 1 g/mL , 100マイクログラム/mL,A
