赤外(IR)分光法が、有機分子の構造のある側面を決定するのに有用である理由は次のうちどれか?,すべての分子結合はIR放射を吸収するから,IRピークの強度は分子量に関係するから,ほとんどの有機官能基はIRスペクトルの特徴的な領域で吸収するから,各元素は特徴的な波長で吸収するから,C
三成分混合物において、互いに平衡状態にある相の最大数は?,2,3,4,5,D
"次の式が釣り合うとき、正しいのはどれか? 
__MnO4− + __ I− + __ H+ <-> __ Mn2+ + __ IO3− + __ H2O",I− : IO3−の比は3:1。,MnO4- : I- の比は 6:5。,MnO4- : Mn2+の比は3:1。,H+ : I− の比は2:1。,B
ΔH＝ΔU＋PΔVの式は、次のどの場合に適用可能か?,常に,定圧プロセスのみ,定温プロセスのみ,定容プロセスのみ,B
ニトロニルニトロキシドは、不対電子が2つの等価な窒素核に結合した安定ラジカルである。J << aの剛性ニトロニルニトロキシドラジカルの溶液のEPRスペクトルには何本の線が現れるか?,3本,9本,5本,7本,B
コバルト60は癌の放射線療法に使用され、コバルト59に次のどれを照射することで生成できるか?,中性子,アルファ粒子,ベータ粒子,X線,A
常磁性と強磁性の両方に必要なものは次のうちどれか?,強い酸化条件,低スピン電子配置,金属的物性,不対電子,D
ジメチルスルホキシド(DMSO)とアセトニトリル(AN)の混合物の1Hスペクトルには、それぞれ相対強度αと3αの線が含まれている。[DMSO]：[AN]の2つの濃度の比は?,1:1,1:3,1:6,2:3,C
原子核のT1がT2より長いことがある理由を最も正確に説明しているのは次のうちどれか?,T1はT2とは異なり、非常に低い周波数の分子運動に敏感。,T2はT1とは異なり、非常に低い周波数の分子運動に敏感。,T1はT2とは異なり、ラーモア周波数の分子運動に敏感。,T2はT1とは異なり、ラーモア周波数の分子運動に敏感。,D
ベンゼンの1Hラーマー周波数は、400 MHz分光計でトリフルオロ酢酸のそれを1.656 kHz上回った。ベンゼンの1H化学シフトは7.16ppmである。トリフルオロ酢酸の化学シフトは?,3.02 ppm,5.03 ppm,10.56 ppm,11.30 ppm,D
600 MHzの分光計で分子中の13C核が100%偏極(p = 1)しているとする。T1=5.0 sの場合、pが298Kでの熱平衡偏極度の2倍に等しい値に達するまで、どれくらいの時間がかかるか?,[分極は指数関数的に緩和する。：p(t) = [p(0) - peq]exp(-t/T1) + peq],72.0 s,56.6 s,12.7 s,B
シクロブチルラジカル(C4H7•)のβ-ハイパーファインの値を、ラジカルが平坦で、HCH角が115°であると仮定して推定せよ。,4.6 mT,27 G,5.4 mT,3.8 mT,A
t-Buラジカル(CH3)3C•のEPRスペクトルの線強度の比は?,1:19:36:84:126:126:84:36:19:1,1:9:36:84:126:126:84:36:9:1,1:9:35:82:120:82:35:9:1,1:8:28:56:70:56:28:8:1,D
フリーラジカル中間体の検出にスピントラッピングがよく用いられる理由を最も的確に説明している文章はどれか?,スピントラッピングはEPRによる直接検出よりも多くの構造情報を提供する,スピントラッピングはフリーラジカル中間体の定量化を容易にする,フリーラジカル中間体の定常状態濃度はEPRによる直接検出を可能にするには低すぎることが多い,スピン付加体の検出はラジカル中間体の直接検出よりも低い電力を必要とする,D
13Cの原子核の磁気モーメント(μI)を計算せよ。,6.1445 x 10^-27 J T-1,3.1445 x 10^-27 J T-1,9.1445 x 10^-27 J T-1,1.1445 x 10^-28 J T-1,C
"赤外線活性を持つ二酸化炭素分子の通常モードには、次のうちどれが含まれるか? 
I.曲げ
II.対称伸縮
III.非対称伸縮",Iのみ,IIのみ,IIIのみ,IとIIIのみ,D
アキラル配位子を含む錯体の光学異性に関する記述のうち、正しいものは次のうちどれか?,平面正方形錯体は、4つの配位子がすべて同じ場合にのみ光学異性体を示す。,四面体錯体が光学異性体を示すことはない。,直鎖状錯体は、配位子が2つとも異なる場合に光学異性体を示すことがある。,単座配位子の八面体錯体は、少なくとも3つの異なる配位子を持つ場合にのみ光学異性体を示す。,D
次の説明のうち、正しいものはどれか?,陽子と中性子は軌道角運動量とスピン角運動量を持つ。,陽子は軌道角運動量とスピン角運動量を持ち、中性子はスピン角運動量を持つ。,陽子と中性子は軌道角運動量のみを持つ。,陽子と中性子はスピン角運動量のみを持つ。,C
1 Tの磁場中の陽子のラーモア周波数を計算せよ。,23.56 GHz,42.58 MHz,74.34 kHz,13.93 MHz ,B
次のうち、n型半導体はどれか?,シリコン,ダイヤモンド,炭化ケイ素,ヒ素ドープシリコン,D
次の説明のうち、12CHCl3 の 1H スペクトルが一重項である理由を最も正確に説明しているものはどれか?,35Clも37ClもI = 0。,水素原子は急速な分子間交換を起こす。,分子は硬くない。,35Clも37Clも電気四重極モーメントを持つ。,D
25℃において、1.00 Lの純水に溶解できるヨウ化鉛の最大量は1.0 mmolである。完全解離を仮定すると、25℃におけるヨウ化鉛の溶解度積K_spは?,1.0 × 10^−3,1.0 × 10^−6,1.0 × 10^−9,4.0 × 10^−9,D
C6H14のどの異性体の13Cスペクトルには、5つの異なる化学シフトの線があるか?,ヘキサン,2-メチルペンタン,3-メチルペンタン,"2,3-ジメチルブタン",B
次のうち、ケイ素が天然に存在する最も一般的な形態はどれか?,金属元素,硫化物,フッ化物,酸化物,D
20.0 Tの磁場中でNMR周波数が115.5 MHzの核種はどれか?,17O,19F,29Si,31P,A
"ラウールの法則に従う二元液体混合物について、次のうちどれが正しいか? 
I. 平衡における各成分の分圧は、液体混合物中のモル分率に比例する。
II. 混合物の体積は、混合前の各成分の体積の和に等しい。
III. 混合物の分子間相互作用は、純粋成分の分子間相互作用と同じである。",I のみ,III のみ,I と III のみ,IとIIと III,D
リン酸ナトリウム溶液の31Pスペクトルには1本の線が見られる。H2PO4‾とHPO42-の31P化学シフトは、それぞれ3.42ppmと5.82ppmである。溶液のpHがH2PO4‾のpKaに等しいときの化学シフトはどれくらいか?,3.41 ppm,3.98 ppm,4.33 ppm,4.62 ppm,D
"EDTA 滴定の場合、分析液と滴定液は同じ pH で緩衝されるが、その理由は次のうちどれか? 
I. 条件形成定数はpHに影響される。
II. 完全に脱プロトン化されたY4−形態のEDTAの割合はpHによって変化する。
III. EDTAが反応して金属錯体を形成するとき、ほとんどの場合H+は生成物である。",Iのみ,IとIIのみ,IとIIIのみ,IとIIとIII,D
25℃で水に溶けているCO2のヘンリーの法則定数は30.0 atm M^−1である。2.0気圧のCO2で加圧された容器内の溶解CO2濃度は?,1.5 M,0.15 M,0.067 M,0.015 M,C
ある学生が5回の滴定を行い、平均0.110 M、標準偏差0.001 Mという結果を得たとする。滴定溶液の実際の濃度が0.100 Mである場合、滴定結果について正しいのは次のうちどれか?,正確だが精密でない,精密だが正確でない,正確かつ精密,正確でも精密でもない,B
Cu(II)金属イオン(giso = 2.12)は、各線間に500MHzの分離を持つ4つの線を生成する。超微細分裂を磁場単位mTで、超微細結合を波数単位で表せ。,500 MHz = 0.185 mT = 0.29842 cm-1,500 MHz = 16.850 mT = 0.01667 cm-1,500 MHz = 32.953 mT = 0.76298 cm-1,500 MHz = 45.672 mT = 2.86329 cm-1,C
酸化還元電位に基づいて、次のうち最も起こりやすいものはどれか?,Al(s) + 3 NaNO3(aq) 3 Na(s) + Al(NO3)3(aq),Zn(s) + 2 Ag(NO3)(aq) → 2 Ag(s) + Zn(NO3)2(aq),Pb(s) + Ca(NO3)2(aq) → Ca(s) + Pb(NO3)2(aq),Pb(s) + 2 LiNO3(aq) → 2 Li(s) + Pb(NO3)2(aq),B
次の説明のうち、テトラメチルシランが1H化学シフトの基準として使用される理由となっていないものはどれか?,テトラメチルシランの1Hスペクトルは一重項。,プロトンが非常に強く遮蔽されている。,ほとんどの有機溶媒に溶解する。,ほとんどの有機化合物はケイ素原子を含まない。,D
マトリックス単離されたNa原子のXバンド(9.5GHz)EPRスペクトルは、3074G、3174G、3274G、3374Gの共鳴磁場位置を持つ4つの超微細線を明らかにする。この原子のg値を計算せよ。,g = 2.002,g = 1.950,g = 2.250,g = 2.005,A
43Caのスピン角運動量を計算せよ。[I = 7⁄2],2.166 x 10^-34 J s,3.691 x 10^-34 J s,4.185 x 10^-34 J s,5.493 x 10^-34 J s,C
298 Kで13Cの2.5×10^-6の分極を起こす磁場を計算せよ。,0.5 T,1.2 T,2.9 T,100 T ,C
NMR線のT2は15msである。他の線幅拡大の要素を無視して線幅を計算せよ。,0.0471 Hz,21.2 Hz,42.4 Hz,66.7 Hz,B
43Caのスピン角運動量のz成分の最大値はいくつか?[I = 7⁄2],3.691 x 10^-34 J s,4.185 x 10^-34 J s,5.493 x 10^-34 J s,8.370 x 10^-34 J s,A
次の化合物のうち、最も低い融点をもつのはどれか?,HCl,AgCl,CaCl2,CCl4,A
核結合エネルギーに関する次の記述のうち、正しくないものはどれか?,核子あたりの結合エネルギーは56Feで最大になる。,原子核の結合エネルギーは化学結合エネルギーとほぼ同じ大きさ。,原子核の質量は、構成核子の合計よりわずかに小さい。,重元素の原子核は、原子核を保持するのに十分な結合エネルギーを与えるために、陽子よりも中性子の数が多い。,B
完全に重水素化されたベンゼンラジカルアニオンC6D6•-のEPRスペクトルの超微細値を予測せよ。,0.375 mT,3.75 G,2.35 mT,0.58 G,D
液体アンモニア中で最も強い塩基は?,NH3,NH2-,NH4+,N2H4,B
ある分子の1Hエネルギー準位の平衡個体群はnα = nαeqとnβ = nβeqである。B1 = 4.697 mTのとき、5.0 μsのパルス後の個体群は?,nα = nβeq、nβ = nαeq,nα = nαeq、nβ = nβeq,nα = ½(nαeq + nβeq)、nβ = ½(nαeq + nβeq),nα = nαeq+nβeq、nβ = nαeq+nβeq,A
共振器の帯域幅が1.58 MHzのXバンドEPR共振器のQ値を計算せよ。,Q = 1012,Q = 2012,Q = 3012,Q = 6012,D
ベンゼンとクロロホルムの13C化学シフトは、それぞれ128.4ppmと77.2ppmである。600 MHzの分光計での2つの化合物の13C NMR周波数の差はいくつか?,7.73 kHz,30.7 kHz,91.6 kHz,122 kHz,A
次の溶液のうち、イオン強度が最も高いのはどれか?(完全に解離していると仮定する。),0.050 M AlCl3,0.100 M NaCl,0.050 M CaCl2,0.100 M HCl,A
持続時間1μsの13C 90°パルスの強度(B1)はどれくらいか?,3.72 mT,5.18 mT,17.0 mT,23.3 mT,B
次の実験観察のうち、プランクの量子論によって説明されたものはどれか?,黒体放射曲線,二原子分子の発光スペクトル,電子回折パターン,反応速度の温度依存性,A
画像診断に使われる放射性同位体の半減期は6.0時間である。この同位体が病院に運ばれたとき150 mCiの放射能を持っていた場合、運ばれてから24時間後にどれだけの放射能が残っているか?(mCi = マイクロキュリー),150 mCi,38 mCi,19 mCi,9.4 mCi,D
基底状態のアルミニウムが電離する際に、最も除去されやすい電子の軌道角運動量量子数lは?,3,2,1,0,C
次のそれぞれの0.1M水溶液を考えたとき、pHが最も低いのはどれか?,Na2CO3,Na3PO4,Na2S,NaCl,D
Si-H-フラグメントを持つシリルラジカルのg値は2.0033であり、15.5MHzで分離された一対の線を持つ。分裂をmT、ガウス、cm-1の単位で表せ。,15.5 MHz = 11.104 mT = 27.201 Gauss = 0.862 x 10^-4 cm-1,15.5 MHz = 7.352 mT = 10.104 Gauss = 18.39 x 10^-4 cm-1,15.5 MHz = 1.55 mT = 0.562 Gauss = 31.0 x 10^-4 cm-1,15.5 MHz = 0.553 mT = 5.530 Gauss = 5.17 x 10^-4 cm-1,B
4fまたは5f軌道が部分的に満たされた元素でないものを選べ。,Cu,Gd,Eu,Am,A
α-水素原子の超微細値が21.9 Gである場合、マロン酸ラジカル(•CH(COOH)2)の中心炭素原子のスピン密度を計算せよ。,0.95,0.85,0.15,0.65,C
蛍光分光法において、量子収率(Φ_f)の定義として最も適切なものは次のうちどれか?,蛍光発光の速度,放出された光子の数,放出された光子の数を吸収された光子の数で割ったもの,サンプルに入射した励起光子の数を吸収された光子の数で割ったもの,C
次の説明のうち、正しいものはどれか?,LUMO - HOMOギャップが小さく、λが正のとき、大きく正のgシフトが観測される。,SOMOと最低励起状態のエネルギー差が大きいとき、gに大きなずれが生じる。,λが大きく、SOMOと最低励起状態のエネルギー差が小さいとき、gとgeの大きなずれが予想される。,λが小さく正であれば、geからのgのずれは小さい。,C
205Tlの磁気モーメントは?,"[ɣ (205TI = 1.569 x 108 T-1 s-1, I = ½]",0.717 x 10^-26 J T-1,0.827 x 10^-26 J T-1,1.433 x 10^-26 J T-1,C
ある分子の回転相関時間は1ナノ秒である。この分子のプロトンが最も速くスピン格子緩和をする磁場はどれか?[式5.3および5.4を使用する。],3.74 T,5.19 T,6.08 T,9.49 T,A
次のイオン性物質のうち、格子エンタルピーが最も大きいのはどれか?,MgO,MgS,NaF,NaCl,A
次の化合物のうち、12.0 T 磁石の分光計で、TMS から約 1.55 kHz 離れたところに 1H 共鳴を持つものはどれか?,CH3F,CH3Cl,CH3Br,CH3I,B
300 Kで20.0 Tの磁場中での13C核の平衡分極を計算せよ。,10.8 x 10^-5,4.11 x 10^-5,3.43 x 10^-5,1.71 x 10^-5 ,D
未知の核種の磁気モーメント(μI)は2.884 x 10^-27 J T-1である。核スピンが1であることが知られている場合、未知の核種を特定せよ。,14N,2H,19F,6Li,B
"質量分析の特徴は次のうちどれか? 
I. 検体分子は気体イオンに変換される。
II. イオンは質量電荷比によって分離される。
III. 化合物の同定に加え、質量スペクトルは正確な同位体質量と同位体比を決定するために利用できる。",IIのみ,IとIIのみ,IとIIIのみ,IとIIとIII,D
次の分光法の種類のうち、光散乱法はどれか?,核磁気共鳴,赤外,ラマン,紫外可視,C
ハイゼンベルグの不確定性原理を一次元の箱の最低エネルギー準位にある量子力学的粒子に適用したとき、次のうち正しいものはどれか?,運動量は正確にわかるが、位置に関する情報はわからない。,位置は正確にわかるが、運動量に関する情報はわからない。,位置と運動量のどちらの情報も知ることはできない。,位置も運動量も正確にはわからない。,D
水素-臭素結合の解離エネルギーはエンタルピーの変化DHとして定義されるが、次の反応のうちのどれのことか?,2 HBr(g) → H2(g) + Br2(l),HBr(g) → H+(g) + Br−(g),H(g) + Br(g) → HBr(g),HBr(g) → H(g) + Br(g),D
23Naは750MHzのNMRスペクトロメーターで198.52MHzのNMR周波数を持つ。その磁力線比は?,101.1 x 10^7 T-1 s-1,26.75 x 10^7 T-1 s-1,7.081 x 10^7 T-1 s-1,0.9377 x 10^7 T-1 s-1,C
シュレーディンガー方程式の正確な解が得られないものはどれか?,単純な調和振動子,一次元の箱の中の粒子,剛体回転子,ヘリウム原子,D
気相二原子分子の定容積(C_V)における限界高温モル熱容量は?,1.5r,2r,2.5r,3.5r,D
+1酸化状態が+3酸化状態よりも安定であるのは、13族元素のうちどれか?,B,Al,In,Tl,D
塩化重水素(DCl)の赤外線吸収周波数が塩化水素(HCl)の吸収周波数からシフトしているのは、両者間の何の違いによるものか?,電子分布,双極子モーメント,力定数,還元された質量,D
55Mn核種の許容エネルギーレベルの数は、次のうちどれか?,3,5,8,4,A
水中の有害汚染物質として一般的に考えられていない物質は?,炭酸,ハロゲン化炭化水素,鉛,水銀,A
すべてのタンパク質は190nm付近の波長の電磁波を吸収する。これはタンパク質分子のπ→π*励起に相当する。この波長はスペクトルのどの領域にあるか?,X線,紫外線,可視光線,赤外線,B
半径rの球形物体が粘度ηの液体に浸されたときの回転相関時間は、ストークスの式: τc = 4πηr3/3kBTで与えられる。298Kの水中で相対分子量Mr = 100の小分子はτc = 50psである。Mrが分子体積に比例すると仮定して、Mr = 8400の小タンパク質のτcを推定せよ。,420 ns,42 ns,4.2 ns,420 ps,C
