整数cは、cがxの約数であり、cがyの約数である場合に限り、2つの整数xおよびyの共通の約数である。次の整数の集合のうち、2つの整数のすべての共通の約数の集合となり得るものはどれか?,"{-6,-2, -1, 1, 2, 6}","{-6, -2, -1, 0, 1, 2, 6}","{-6, -3, -2, -1, 1, 2, 3, 6}","{-6, -3, -2, -1, 0, 1, 2, 3, 6}",C
"NoNicksのオペレーティングシステムでは、1回のファイル読み込み操作に必要な時間は、次の4つの重複しないコンポーネントで構成される。
ディスクシーク時間-25ミリ秒
ディスク待ち時間-8ミリ秒
ディスク転送時間-1,000バイトごとに1ミリ秒
オペレーティングシステムのオーバーヘッド-1,000バイトごとに1ミリ秒+10ミリ秒
システムのバージョン1では、ファイル読み込みは1,000バイトのブロックを取得した。 バージョン2では、ファイルの読み取り(およびディスク上の基本レイアウト)が、4000バイトのブロックを取得するように変更された。バージョン2で大きなファイルを読み込むのに要する時間と、バージョン1で同じ大きなファイルを読み込むのに要する時間のおよその比率は次のうちどれか?",1:4,1:3.5,1:1,1.1:1,B
"k平均法アルゴリズムを用いて、7点を3つのクラスタにクラスタリングしたい。最初の反復の後、クラスタC1、C2、C3が以下の2次元点を含むとする。C1は{(0,6), (6,0)} の2点を含む。C2は{(2,2), (4,4), (6,6)}の3点を含む。C3は {(5,5), (7,7)}の2点を含む。 これら3つのクラスタについて計算されたクラスタ中心は次のどれか?","c1: (3,3), c2: (4,4), c3: (6,6)","c1: (3,3), c2: (6,6), c3: (12,12)","c1: (6,6), c2: (12,12), c3: (12,12)","c1: (0,0), c2: (48,48), c3: (35,35)",A
すべてのブール式を表現するのに十分なブール演算子の集合は、完全であると言われる。次のうち、完全でないものはどれか?,{AND、NOT},{NOT、OR},{AND、OR},{NAND},C
10個のノードと6個の辺を持つすべての無向グラフの集合を考える。このコレクションに含まれるグラフの連結成分の最大数と最小数をそれぞれMとmとする．グラフが自己ループを持たず、ノードのペア間に最大1つの辺がある場合、次のうちどれが正しいか?,M = 10、m = 10,M = 10、m = 1,M = 7、m = 4,M = 6、m = 4,C
"命題論理の式が充足可能でないことを示すための解決定理証明は、次のどの性質を持つか? 
I. 命題論理の充足可能な公式が充足不可能であることの証明が存在しないという意味で、健全な証明体系である。
II. 命題論理のすべての非充足可能式に対して非充足可能性の証明が存在するという意味で、完全な証明体系。
III. 命題論理の不満足な式Fが解決証明を持つときはいつでも、FもFの長さの多項式である証明を持つという意味で簡潔な証明体系。",Iのみ,IIIのみ,IとIIのみ,IとIIIのみ,C
"次の記述のうち、純粋にセグメント化されたメモリ・システムの特性を表すものはどれか? 
I. メモリを同じ大きさの単位に分割する。
II. 仮想メモリの実装が可能。
III. 内部フラグメンテーションに悩まされる。",Iのみ,IIのみ,IIIのみ,IとIII,B
浮動小数点演算に関する次の記述のうち、正しくないものはどれか?,数によっては正確な表現ができないので、本質的に非結合的。,数値の大きさには上限と下限が必要なので、本質的に非結合的。,適切な四捨五入の規則で結合性を実現できる。,有理数の中には厳密な表現を持たないものがある。,C
マルチレベル・ディレクトリ構造におけるタイルの共有が、共有ファイルに関する情報を含むノードを指すリンクであるディレクトリ・エントリによって実現されているとする。このノードの情報には、(1)ファイルの所有者、(2)タイルへのリンク数のカウント、(3)ファイルのディスク・ブロック番号が含まれる。この共有アプローチの主な欠点は次のうちどれか?,所有者がファイルを変更した場合、共有していない別のユーザーがその変更を見ることになる。,所有者がファイル名を変更すると、他のユーザーはそのファイルにアクセスできなくなる。,所有者がファイルの削除を許可した場合、壊れたリンクが発生する可能性がある。,ファイルを共有しているユーザーが追加した場合、共有している他のユーザーは新しいディスク・ブロックにアクセスできない。,C
"マージソートはn個の数のリストを半分に分割し、それぞれの半分を再帰的にソートし、2つの半分をマージすることで動作する。マージソートをO(n log n)時間で実行できるデータ構造はどれか? 
I. 単一連結リスト
II. 二重連結リスト
III. 配列",なし,IIIのみ,IとIIのみ,I、II、III,D
"p(x) が n + 1 個の異なる実数 x0, ... xn における実数値関数 f(x) の最小次数の補間多項式であるとき、p(x) の可能な最大次数は何次か?",n,n + 1,n + 2,2n,A
"内部ハッシュテーブルには5つのバケットがあり、0、1、2、3、4と番号が振られている。キーは整数で、ハッシュ関数h(i) = i mod 5が使用され、衝突は線形に解決される（すなわち、バケットh(i)が満たされた場合、バケットh(i)+1、h(i)+2、...が、すべてのバケット番号が5を法として計算された状態で連続して試行される）。キーが13, 8, 24, 10, 3の要素を、最初は空白のハッシュテーブルに順に挿入した場合、バケット番号2の内容は?",3,8,10,13,A
TCPプロトコルが(他のものの中でも)行うことは次のうちどれか?,ネットワークを通じてパケットをルーティングする,直接接続されたマシン間でパケットを確実に配送する,必ずしも直接接続されていないマシン間で大きな (マルチパケット) メッセージを確実に配送する,オペレーティング・システム・アーキテクチャの違いに対処する,C
