Gの各xに対してx＋x＋x＋x＝0となる性質を持つ、次数16の加法的アーベル群Gは、同型まででいくつあるか?,0,1,2,3,D
PがZ_5の係数を持ち、次数が7以下の多項式の集合であると仮定する。 演算子DがPのp(x)をその導関数p'(x)に送る場合、Dのヌル空間nと範囲rの次元は何か?,n = 1 and r = 6,n = 1 and r = 7,n = 2 and r = 5,n = 2 and r = 6,D
曲線 xy = 8 から原点までの最短距離は?,4,8,16,2sqrt(2),A
スーツケースは25個あり、そのうち5個は破損している。3つのスーツケースが無作為に選ばれると、ちょうど2個が破損している確率は?,2/69,1/30,2/23,12/125,C
"(Z_{10} , +, x)を10を法とする整数環とし、{0, 2, 4, 6, 8}で表されるZ_{10}の部分集合をSとする。次の記述のうち、誤っているものはどれか?","(S, +, x)は10を法とする加算のもとで閉じている。","(S, +, x)は10を法とする乗算のもとで閉じている。","(S, +, x)は10を法とする加算のもとで恒等式を持つ。","(S, +, x)は10を法とする乗算のもとで恒等式をもたない。",D
長さ9メートルの梯子が、平地にある垂直の壁に立てかけられている。梯子の下端を毎秒2メートルの一定の速度で壁から離すと、上端は壁に沿って下方に滑る。梯子の上端が地面から3メートルの高さにあるとき、梯子の上端は毎秒何メートルの速さで下方に滑るか?,12*sqrt(2),6*sqrt(2),4*sqrt(2),1/(2*sqrt(2)),C
長さ10の線分を考える。点Aと点Bは、その線分を3つの小さな線分に分割するように無作為に選ばれる。この3つの小さな線分が三角形の辺を形成する確率は何％か?,0,10％,25％,50％,C
"Vを有限次元の実数ベクトル空間とし、P^2 = PとなるようなVの線形変換をPとする。次のうち正しいものはどれか? 
I. Pは可逆。
II. Pは対角化可能。
III. Pは恒等変換か零変換。",なし,I のみ,II のみ,III のみ,C
次のうち正しいものはどれか?,すべてのコンパクト空間は完全,すべての完備空間はコンパクト,(a)と(b)のどちらでもない。,(a)と(b)の両方。,A
任意の頂点の組を結ぶ辺があれば、離散グラフは完全である。10個の頂点を持つ完全グラフはいくつの辺を持つか?,10,20,25,45,D
Xが正整数の集合上の離散確率変数で、各正整数nに対してX=nとなる確率が1/2^nであるとする。Yを同じ確率分布の確率変数とし、XとYが独立であるとき、変数XとYの少なくとも一方の値が3より大きい確率は?,1/64,15/64,1/4,3/8,B
VとWを7次元ベクトル空間Xの4次元部分空間とするとき、VとWが交わる部分空間の次元とならないものはどれか?,0,1,2,3,A
大人数のクラスをチームに分け、各生徒はちょうど1つのチームのメンバーにならなければならない。しかし、各生徒はクラスメートのうち3人を嫌っている。生徒間の嫌悪は相互である必要はない。チームを同じ大きさにする必要がない場合、嫌いな人のチームメイトになる生徒がいないようにするには、いくつのチームを作らなければならないか?,4,7,10,13,B
ソフィアとテスはそれぞれ1から10までの10個の整数の中から1個を無作為に選ぶ。選ばれた整数がどちらももう一方の整数の2乗にならない確率は?,0.64,0.72,0.81,0.95,D
"KをR^nの空でない部分集合とし、n > 1とする。次の記述のうち、正しいものはどれか? 
I. Kがコンパクトなら、K上で定義された連続実数値関数はすべて有界である。
II. K上で定義されたすべての連続実数値関数が有界ならば、Kはコンパクトである。
III. Kがコンパクトなら、Kは連結している。",I のみ,II のみ,III のみ,I と II のみ,D
"Vを有限次元nの実数ベクトル空間とし、Vからそれ自身への行列の集合をM(V)と呼ぶ。TをM(V)に入れる。2つの部分空間U = {X∈M(V) ：TX = XT} と W = {TX - XT : X∈M(V)} を考える。次のうち正しいものはどれか? 
I. VがTの固有ベクトルのみを含む基底を持つ場合、U = M(V)。
Ⅱ. dim (U) + dim (W) = n^2
III. dim (U) < n",I のみ,II のみ,III のみ,I と II のみ,B
"Fをxyz空間のベクトル(-1, 0, 1)に平行な一定の単位力とする。時刻t=0から時刻t=1までの間、(t, t^2, t^3)で与えられる経路を移動する粒子にFが与える仕事は何か?",-1/4,-1/(4sqrt(2)),0,sqrt(2),C
"Xを位相空間とし、A、B、Cを、A c B c C；すなわち、AはBの真部分集合であり、BはCの真部分集合であるような、Xの空でない部分集合とする。次の記述のうち、正しいものはどれか? 
I. AとCがつながっていれば、Bもつながっている。
II. AとCがコンパクトなら、Bもコンパクト。
III. もしAとCがハウスドルフなら、Bもハウスドルフ。",I と II のみ,III のみ,IとIIIのみ,IとIIとIII,D
すべての正の整数nに対して、x_1=1およびx_(n+1)=sqrt(3+2x_n)とする。 {x_n}が収束すると仮定すると、lim x_n=はいくつか?,3,e,sqrt(5),0,A
