可逆的な熱力学的過程を経る系について正しいのはどれか?,系の内部エネルギーに変化はない。,プロセスの間、系の温度は一定。,系とその環境のエントロピーは変化しない。,系とその環境のエントロピーは増加する。,C
可視波長域の分光に最適なレーザーの種類は、次のうちどれか?,色素レーザー,ヘリウムネオンレーザー,エキシマレーザー,ルビーレーザー,A
ヘリウム原子の励起状態は、パラ(反平行電子スピン)とオルト(平行電子スピン)として特徴づけられる。 オルト状態が対応するパラ状態よりもエネルギーが低いという観察は、次のうちどれによって理解できるか?,ハイゼンベルグの不確定性原理,パウリの排他原理,原子のボーア模型,原子核の超微細結合,B
中性窒素(Z=7)の基底状態にある電子の全スピン量子数は、次のうちどれにあたるか?,1/2,1,3/2,5/2,C
3つの同じ理想的なコンデンサを考える。最初のコンデンサはある電圧まで充電され、その後バッテリーから切り離される。他の2つのコンデンサは、最初は充電されておらず、直列に接続されている。最初のコンデンサにかかる最終電圧は次のうちどれか?,V_0/5,V_0/3,V_0/2,2V_0/3,D
がん治療で使われる陽子は通常約0.6cまで加速される。質量mの粒子がこの速度に到達するためには、静止状態から出発すると仮定して、どれだけの仕事をしなければならないか?,0.25mc^2,0.60mc^2,0.67mc^2,1.25mc^2,A
ドゥ・ブロイは、自由質量粒子の線運動量と波長は次の定数のどれと関係していると仮定したのか?,プランク定数,ボルツマン定数,リュードベリ定数,光速,A
質量mの粒子の全エネルギーがその静止エネルギーの2倍に等しい場合、粒子の相対論的運動量の大きさは次のうちどれか?,mc/2,mc/(2^(1/2)),mc,(3^(1/2))mc,D
元素炭素のダイヤモンド構造では、各C原子の最近接原子は、次のうちどの角に位置しているか?,正方形,六角形,立方体,正四面体,D
小さな硬貨とターンテーブルの表面との間の静止摩擦係数は0.30である。ターンテーブルは1分間に33.3回転する。硬貨が滑らないターンテーブルの中心からの最大距離は次のうちどれか?,0.024 m,0.048 m,0.121 m,0.242 m,D
ドープした半導体の電荷キャリアの符号は、次のうちどれを測定することによって推定できるか?,比熱,熱伝導率,電気抵抗率,ホール係数,D
太陽の主なエネルギー源は一連の熱核反応であり、その際に生成されるエネルギーは、次のどの質量差のc^2倍となるか?,2個の水素原子と1個のヘリウム原子,4個の水素原子と1個のヘリウム原子,6個の水素原子と2個のヘリウム原子,3個のヘリウム原子と1個の炭素原子,B
電磁放射は、物理的宇宙の側面を探る手段を提供する。 放射スペクトルに関する次の記述のうち、正しくないものはどれか?,スペクトルの赤外、可視、紫外領域の線は、主に試料の核構造を明らかにする。,ある元素の吸収スペクトルで同定される波長は、その発光スペクトルの波長の中に含まれる。,吸収スペクトルは、どの元素が遠くの星に存在するかを決定するために用いることができる。,スペクトル解析は銀河ダストの組成を同定するために使用できる。,A
ボソンとフェルミオンに関する次の記述のうち、正しいものはどれか?,ボソンは対称な波動関数を持ち、パウリの排他原理に従う。,ボソンは反対称の波動関数を持ち、パウリの排他原理に従わない。,フェルミオンは対称な波動関数を持ち、パウリの排他原理に従う。,フェルミオンは反対称の波動関数を持ち、パウリの排他原理に従う。,D
ヘリウム原子の励起状態は、パラ(反平行電子スピン)とオルト(平行電子スピン)として特徴づけられる。 オルト状態が対応するパラ状態よりもエネルギーが低いという観察は、次のうちどれによって理解できるか?,ハイゼンベルグの不確定性原理,パウリの排他原理,原子のボーア模型,原子核の超微細結合,B
水平の質量のないバネの一方の端が壁に取り付けられている。 0.30 kgの質量がスプリングのもう一方の端に取り付けられ、テーブルの上に置かれている。 質量は平衡位置から0.030 m移動し、解放される。 平衡位置を通過するときの速度は0.040 m/sである。 摩擦がない場合、系の機械的エネルギーの合計はいくらか?,0.24 mJ,0.38 mJ,0.48 mJ,0.75 mJ,A
速度0.8cのメートル棒が観測者の横を通過する。観測者の参照枠において、棒が観測者を通過するのにかかる時間は?,1.6ns,2.5ns,4.2ns,6.9ns,B
がん治療で使われる陽子は、通常約0.6cまで加速される。この速度に達するには、質量 m の粒子にどれだけの仕事が必要か?,0.25mc^2,0.60mc^2,0.67mc^2,1.25mc^2,A
高エネルギー電子が金属標的に入射すると、連続した背景に鋭い線として現れる特徴的なX線が発生する。特徴的なX線が発生する過程は次のうちどれか?,エレクトロンがチェレンコフ放射を発生させる,エレクトロンが金属中のフォノンと衝突する,エレクトロンが金属原子に生じた内殻空孔を埋める,エレクトロンが陽子と結合して中性子を形成する,C
ある原子はn = 1とn = 2の準位を満たしている。この原子の電子数は?,2,4,6,10,D
0.5μm間隔の非常に狭いスリットにレーザー光を当て、遠くのスクリーンに1.0 mm間隔の明るいフリンジを観察する。 レーザー光の周波数を2倍にすると、明るいフリンジの間隔はどうなるか?,0.25 mm,0.5 mm,1.0 mm,2.0 mm,B
"地球表面の太陽フラックスが1,000 W/m^2であり、太陽光が面積3 m^2の完全反射面に垂直であると仮定する。 サーフェスに加えられた放射力の合計はどのくらいか?",2 x 10^-6 N,1 x 10^-5 N,2 x 10^-5 N,3 N,C
ドープした半導体の電荷キャリアの符号は、次のうちどれを測定することによって推定できるか?,帯磁率,ホール係数,電気抵抗率,熱伝導率,B
n型半導体を作るためにゲルマニウムのドーパントとして使用できないイオンはどれか?,As,P,Sb,B,D
ある天文学者が惑星の周りを公転する非常に小さな月を観測し、惑星の中心からの月の最小距離と最大距離、月の最大公転速度を測定した。これらの測定値から計算できないものはどれか?,月の質量,惑星の質量,月の最小速度,軌道の周期,A
静止系で1.00mの棒がある。観測者が棒の長さを0.80 mと測定するためには、棒に平行にどれくらいの速さで移動しなければならないか?,0.50c,0.60c,0.70c,0.80c,B
陽子は静止状態から電位差Vを介して加速された後、+z方向に移動し、+x方向に一様な電場E、+y方向に一様な磁場Bをもつ領域を通過するが、陽子の軌道は影響を受けない。 もし、2 Vの電位差を使って実験を繰り返すと、プロトンはどうなるか?,+x方向に偏向される,-x方向に偏向される,+y方向に偏向される,-y方向に偏向される,B
面積0.2m^2、巻き数250の円形コイルの平面に垂直に磁界が向けられている。磁場が0.25秒の間に0.01 Tから0.06 Tに増加した場合、コイルの平均誘導起電力は次のうちどれか?,0.04 V,0.1 V,2.5 V,10 V,D
可変周波数の光が光電管の金属表面を照らす。アインシュタインの光電効果理論によって予測されているのは、次のうちどれか?,金属の仕事関数は周波数に比例する。,金属の仕事関数は波長に比例する。,管内の電流は波長の一次関数。,放出された電子を止めるのに必要な電位差は、閾値周波数を超える周波数の一次関数。,D
"もし太陽が突然同じ質量のブラックホールに置き換わったら、ブラックホールのシュヴァルツシルト半径は3,000mになるだろう。この変化は惑星の軌道にどのような影響を与えると考えられるか?",惑星は太陽に向かって直進する。,惑星は渦巻き軌道を描く。,惑星は以前の楕円軌道を振動する。,軌道は変化しない。,D
20℃では、両端が開いたパイプは440ヘルツの周波数で共振する。 特に寒い日に、音速が20℃のときより3%低いとき、同じパイプはどの周波数で共鳴するか?,414 Hz,427 Hz,433 Hz,440 Hz,B
光子検出器の量子効率は0.1である。 100個の光子が検出器に次々に送られると、検出器は光子を検出するが、次のうち正しい記述はどれか?,ちょうど10回,平均10回で、rms偏差は約0.1,平均10回で、rms偏差は約1,平均10回で、rms偏差は約3,D
