"クライアントとサーバー間でTLS接続が正常に確立されたとする。セッションの確立には、サーバー証明書のチェックとディフィー・ヘルマン交換の実行が含まれるが、クライアントはクライアント証明書を提供していない。さらに、クライアントとサーバーは正直であり、クライアントとサーバーは鍵を漏洩せず、暗号は良好であると仮定する。TLSが防御する攻撃は次のうちどれか? 
1. クライアントが以前に送信したバイトを再生する攻撃者。
2. サーバーになりすます攻撃者。",真、真,偽、偽,真、偽,偽、真,A
MITのケルベロスKDCサーバでは、(ほとんどのユーザプリンシパルに対して)チケットの最大存続時間は24時間である。期限切れのケルベロスチケットが使用できなくなることを保証するものは何か?,ケルベロスサーバ(KDC)は、期限切れのチケットに対して、クライアントとサーバ間の新しい接続の確立を拒否する。,クライアントがサーバに接続すると、サーバは接続を終了するために24時間のタイマーを設定し、これにより、チケットの最大有効期間を超えてクライアントが接続を維持できなくなる。,クライアントがサーバに接続すると、サーバはチケットの有効期限をサーバの現在のクロックと比較し、チケットの有効期限が過ぎている場合はユーザの認証を拒否する。,クライアントがサーバに接続すると、サーバはKDCにクエリを送信して、チケットがKDCのクロックに対してまだ有効であるかどうかをチェックし、KDCがチケットの期限切れを報告した場合は、ユーザの認証を拒否する。,C
メッセージの秘匿性では、送信されたメッセージは、意図されたどの者にのみ、意味が通じなければならないか?,受信者,送信者,モジュラー,翻訳者,A
リモート型トロイの木馬はどれか?,Troya,DaCryptic,BankerA,Game-Troj,A
＿＿＿は、開発者によるよくあるアプリのコーディングミスであり、攻撃者がアクセスを取得したりシステムを誤作動させるために悪用される可能性がある。,メモリリーク,バッファオーバーラン,処理能力の低下,非効率的なプログラミング,B
"Yeeらによる論文「Native Client: A Sandbox for Portable, Untrusted x86 Native Code」を考えよ。Ben Bitdiddleは、NaClがIntel x86のセグメンテーションを使って、サンドボックス化されたモジュールが自身のデータ領域外のメモリを読み書きせず、自身のコード外の命令を実行しないことを保証していると述べている。Benは、これらの制限だけで、サンドボックス化されたモジュールの実行は安全に違いないと考えている。つまり、検証は必要ないと考えている。ベンは間違っている。サンドボックス化されたコードでバリデータが常に禁止するx86マシン命令の種類を丸で囲め。トランポリンとスプリングボードのコードは無視すること。",セグメントの状態を変更するすべての命令,0 mod 32でないアドレスへのすべてのロードまたはストア,すべての間接的なロードまたはストア（レジスタまたは変数のアドレスを経由）,すべての間接的なジャンプ（レジスタまたは変数のアドレスを経由）,A
＿＿＿は、匿名でのファイル転送に使用されるダークネットの一部でもある。,フリーネット,アーパネット,スタックスネット,インターネット,A
なぜCやC++のような言語で開発されたアプリはバッファオーバーフローを起こしやすいのか?,定義済み関数の文字列境界チェックがない,外部メモリのストレージチェックがない,処理能力チェックがない,データベースチェックがない,A
中間者攻撃は、2者がどのような場合、ディフィー・ヘルマン法のセキュリティを危険にさらす可能性があるか?,結合していない場合,認証されていない場合,送信済でない場合,共有されない場合,B
整数のオーバーフローは、次のうちどの場合に発生するか?,整数式の結果が 「ラップアラウンド」し、非常に大きな数値が生成される代わりに、非常に小さな(あるいは負の)数値が生成されてしまう,整数がポインタであるかのように使用される,整数がバッファの境界を越えてバッファにアクセスするために使用される,プログラム内に整数を保持するスペースがなくなる,D
