単位根検定に対するディッキー・フラー（DF）アプローチとフィリップス・ペロン（PP）アプローチの主な違いは何か?,ADF は単位根検定に対する単一方程式アプローチであるのに対して、PP はシステム・アプローチ。,PP 検定は、PP 検定の帰無仮説の下で定常性が存在するように、DF の帰無仮説と対立仮説を逆転させる。,PP 検定は、検定回帰における自己相関残差の自動補正を組み込んでいる。,PP 検定は、DF 検定がそうでないのに対して、小さい標本でも良い検出力を持つ。,C
実際にレバレッジ効果があった場合、そのレバレッジを考慮したモデルとして、ニュースインパクト曲線の形はどのようなものになるか?,同じ大きさの正の擾乱よりも負の擾乱の方が上昇が早い。,ゼロに対して対称的。,同じ大きさの正の擾乱よりも負の擾乱の方が上昇が遅い。,すべての正の擾乱に対してゼロ。,A
線形確率モデルに関する以下の記述のうち、誤っているものはどれか?,モデルには、推定確率が0と1の間にあることを保証するものは何もない。,確率が0と1で切り捨てられたとしても、確率がちょうど0かちょうど1のどちらかであるオブザベーションがおそらくたくさんある。,誤差項は不均一分散になり、正規分布にはならない。,このモデルは、連続従属変数を持つ標準回帰モデルよりもはるかに推定が難しい。,D
回帰母集団および標本に関する次の記述のうち、誤りであるものはどれか?,母集団は、対象となるすべての項目の集合の合計。,母集団は無限になり得る。,理論的には、標本は母集団よりも大きくなる可能性がある。,無作為標本とは、母集団から個々の項目が均等に抽出される可能性が高い標本。,C
時系列の線形従属性に関するボックス・ピアスQ統計量とリュング・ボックスQ*統計量の比較に関する次の記述のうち、誤っているものはどれか?,漸近的には、2つの検定統計量の値は等しくなる。,Q 検定は Q* 検定よりも小標本特性が優れている。,Q 検定は、小標本に対してオーバーサイズになることがある。,標本サイズが無限大になるにつれて、どちらの検定も自己相関係数が0であるという帰無仮説を常に棄却する傾向を示す。,B
倹約モデルについての記述のうち正しいものはどれか?,変数が多すぎるもの,データを説明するために可能な限り少ない変数を含むもの,適切に仕様化されたモデル,不適切に仕様化されたモデル,A
次のうち、連続複利リターン（対数リターン）の特徴でないものはどれか?,継続的に複利計算された価格の変化と解釈できる,長期間のリターンを得るために、時間の経過とともに加算できる,ポートフォリオのリターンを得るために、資産のポートフォリオ全体にわたって加算できる,通常はファットテール,C
"金融資産のリターン時系列における以下の特徴のうち、標準的な GARCH(1,1)モデルを用いて 捉えることができるものはどれか?

i) リターン分布におけるファットテール 


ii) レバレッジ効果 


iii) ボラティリティのクラスター化 


iv) リターンに影響を与えるボラティリティ",(ii)(iv) のみ,(i)(iii) のみ,(i)(ii)(iii) のみ,(i)(ii)(iii)(iv) すべて,B
GARCH-M モデルの推定を考える。採用したデータが日次の社債パーセンテージ・リターンの時系列であった場合、GARCH-in-mean パラメータの推定値は次のどれになると予想されるか?,-1 より小さい,-1 と 0 の間,0 と 1 の間,1 より大きい,C
"次のどのような状況であれば、ブートストラップは純粋なシミュレーションよりも好ましいと考えられるか?

i) 実験データの分布特性が実際のデータと同じであることが望ましい場合 


ii) 実験データの分布特性が正確に分かっていることが望ましい場合 n

iii) 実際のデータの分布特性が不明な場合 


iv) 利用できる実際のデータの標本が非常に少ない場合",(ii)(iv) のみ,(i)(iii) のみ,"(i), (ii), (iv) のみ",(i)(ii)(iii)(iv) すべて,B
"次のうち、1 つ以上の CLRM の仮定に違反している結果はどれか?

i) 係数の推定値が最適でない 


ii) 標準誤差の推定値が最適でない 


iii) 検定統計量に仮定した分布が不適切である 


iv) 従属変数と独立変数の間の関係の強さに関する結論が無効である可能性がある",(ii)(iv) のみ,(i)(iii) のみ,(i)(ii)(iii) のみ,(i)(ii)(iii)(iv) すべて,D
計量経済学における予測に関する次の記述のうち、正しいものはどれか?,予測は時系列データに対してのみ行うことができる,不適切に仕様化されたモデルは確実に不正確な予測を行う,構造予測は時系列モデルからの予測よりも簡単に行うことができる,標本内予測能力はモデルの妥当性のテストとしては不十分,D
pacf は、次のうち何を区別するために必要か?,AR モデルと MA モデル,AR モデルと ARMA モデル,MA モデルと ARMA モデル,ARMA ファミリーの中の異なるモデル ,B
負の残差自己相関を示すのはどれか?,残差の周期的パターン,残差の交互パターン,残差の完全なランダム性,残差がすべてゼロに近い,B
"ARCH(q)モデルとGARCH(1,1)モデルの比較に関して、次の記述のうち正しいものはどれか?

i) ARCH(q)モデルはより倹約的である可能性が高い


ii)ARCH(q)モデルは非負制約に違反する可能性が高い


iii)ARCH(q)モデルは、現在の条件付き分散に影響を与える2乗

リターンの以前のラグを無限に許容できる


iv)GARCH(1,1)モデルは通常、条件付き分散の

すべての依存関係を捉えるのに十分",(ii)(iv) のみ,(i)(iii) のみ,(i)(ii)(iii) のみ,(i)(ii)(iii)(iv) すべて,A
"三角系または再帰系に関して正しい記述は次のうちどれか?

i) パラメータは、各方程式にOLSを個別に適用することで、

有効に推定できる。


ii)独立変数は、他の

equations


iii)2SLSを適用すると、バイアスはないが非効率的なパラメータ推定値が得られる。


iv)独立変数は、独立変数として表示される方程式の

誤差項と相関させることができる。",(ii)(iv) のみ,(i)(iii) のみ,(i)(ii)(iii) のみ,(i)(ii)(iii)(iv) すべて,C
次の記述のうち、適合した回帰直線の代数的表現を最もよく記述しているのはどれか?,\hat{y}_t = \hat{\alpha} + \hat{\beta}x_t + \hat{u}_t,\hat{y}_t = \hat{\alpha} + \hat{\beta}x_t,\hat{y}_t = \hat{\alpha} + \hat{\beta}x_t + u_t,y_t = \hat{\alpha} + \hat{\beta}x_t + \hat{u}_t,B
$\hat{u}^t \hat{u}の次元は次のうちどれか?,T x k,T x 1,k x 1,1 x 1,D
