直流電圧を測定するポテンショメータ法は、以下のどの理由において電圧計を用いた直接測定よりも正確か?,回路に適度な負荷をかけるため。,回路に最大の負荷をかけるため。,電圧計の代わりにセンター0ガルバノメータを使用するため。,回路にはまったく負荷がかからないため。,D
これらの論理ゲートの集合のうち、ユニバーサルゲートと呼ばれるのはどれか?,NOR、NAND。,XOR、NOR、NAND。,OR、NOT、AND。,NOR、NAND、XNOR。,A
単相1パルス制御回路は、抵抗Rと逆起電力E負荷400 sin（314t）をソース電圧とする。負荷逆起電力が200Vの場合、発射角度制御の範囲は?,30°〜150°,30°～180°,60°～120°,60°～180°,A
入力が制御サブシステムに与える影響を示すボックスは、何と呼ばれているか?,データボックス,論理ボックス,決定ボックス,状態ボックス,C
2枚の無限平行金属板が、同じ極性で等しい表面電荷密度で帯電している。板と板の間の隙間の電界は?,1枚の板が作る電界と同じ。,1枚の板が作る電界の2倍。,電界点の座標に依存する。,ゼロ。,D
動力計のワットメーターの可動コイル回路の抵抗は、どうあるべきか?,低い。,非常に低い。,高い。,ほとんどゼロ。,C
発振器に必要な条件を以下から選択せよ。,振幅の安定性,周波数の安定性,電力の安定性,AとBの両方,D
指向性加熱に使用される通常の電圧は?,1.5KV,15KV,33KV,66KV,A
LC発振器は、以下のどの範囲の周波数を持つ波形を生成するために使用されるか?,1MHz～500MHz,100KHz～500MHz,1KHz～1MHz,1MHz～100GHz,A
動作するダイオードはどうあるべきか?,順方向または逆方向バイアス時に高抵抗,順方向バイアス時に低抵抗、逆方向バイアス時に高抵抗,順方向バイアス時に高抵抗、逆方向バイアス時に低抵抗,順方向または逆方向バイアス時に低抵抗,B
赤色の蛍光を発する蛍光物質の名前は何か?,ケイ酸亜鉛。,ケイ酸カルシウム。,硫化亜鉛。,ケイ酸マグネシウム。,D
BCDの1桁を格納するのに必要なビット数はいくつか?,1,2,3,4,D
直流発電機の整流子は、何のために使用されるか?,電流の収集,損失の低減,効率の向上,交流電機子電流を直流に変換するため,D
1Fは理論的には何と等しいか?,1オームの抵抗,1Vと1Cの比,1Cと1Vの比,いずれでもない。,C
3入力NANDゲートの真理値表にはいくつのエントリがあるか?,3,6,8,9,C
10進法におけるMSDとは何か?,左から右への1桁目,右から左への1桁目,中間の桁,全桁の平均値,A
デジタル論理設計では、GALは何の略か?,General Advance Logic,General Array Logic,Generic Advance Logic,Generic Array Logic,D
Intel 8085Aマイクロプロセッサでは、次のうち何のためにALE信号を高にするか?,データ・バスを低位アドレス・バスとして使用可能にする,データ・バスからデータD0～D7をラッチする,データ・バスをディセーブルにする,上記すべての機能を実現する,A
SCRのゲートカソード特性は130の直線である。トリガソース体積15V、許容ゲート電力損失0.5Wの場合、ゲートソース抵抗を計算しなさい。,111.9Ω,11.19Ω,108Ω,115Ω,A
誘導モーターを駆動するインバーターのV/f制御のコンセプトは、以下のうちどれをもたらすか?,定トルク運転,速度反転,磁気損失の低減,ホルモン除去,A
長さ30cm、直径3cmのソレノイドに1000ターンのワイヤを巻き、10アンペアの電流を流した場合、磁場に蓄えられるエネルギーは?,0.015ジュール,0.15ジュール,0.015ジュール,1.15ジュール,B
可変周波数電源で動作している間、ACモーターは何のために可変電圧を必要とするか?,絶縁を保護する。,飽和の影響を避ける。,インバータの能力を向上させる。,サイリスタをdV/dtから保護する。,B
すべての直流機械に必要な巻線は次のうちどれか?,閉巻線,重ね巻線,波巻線,開放型巻線,A
弛緩 電圧制御発振器は何を生成するために使用されるか?,正弦波,三角波,ノコギリ波,BとCの両方,D
高周波渦電流加熱に通常使用される供給周波数は?,1KHz,5KHz,10MHz,10KHz～400KHz,D
トグルモードのJKフリップフロップについて、正しいのはどれか?,J=0、K=0,J=1、K=1,J=0、K=1,J=1、K=0,B
電気駆動の人気が高まっている理由は何か?,以下のすべて。,スムーズでコントロールしやすい。,費用が安い。,シンプルで信頼性が高い。,A
昇圧チョッパの入力電圧は110V、出力電圧は150Vである。デューティサイクルの値は?,0.32,0.67,0.45,0.27,B
二進法には何桁の数字があるか?,0,1,2,10,C
最低臨界周波数は極によるものであり、原点または原点に近い位置に存在する可能性がある場合、ネットワークのタイプは?,LC,RL,RC,上記のいずれか,C
開ループ制御システムの利点は?,シンプルで経済的,正確,信頼性が高い,上記すべて,A
インダクタに誘導される電圧を表すのは?,インダクタンスとインダクタを流れる電流の積,インダクタンスとそれを通る電流の比,通過電流とインダクタンスの比,インダクタンスとインダクタンスを流れる電流の変化率との積,D
16進数を2進数に変換する必要がある場合。各16進数に対して、何ビットになるか?,1,2,4,8,C
誘導加熱は、どこで行われるか?,導電性だが非磁性材料,磁性材料でも非磁性材料でもよい導電性材料,絶縁材料,導電性かつ磁性材料,B
重ね巻直流機では、導体数は100、並列パス数は10である。平均ピッチを求めよ。,10,100,50,1,A
磁束の単位は?,ニュートン,アンペア回転,ウェーバー,テスラ,C
平衡ブリッジでは、検出器と発生源の位置が入れ替わっても、ブリッジは平衡を保つ。これはどの定理から説明できるか?,互恵の定理,テヴィニンの定理,ノートンの定理,補償の定理,A
Dフリップフロップは、次のうちどの場合に透過状態となるか?,出力がLOW,出力がHIGH,出力がクロックに従う,出力が入力に従う,D
オシロスコープ上のリサージュ・パターンは、5つの水平接線と2つの垂直接線を持つ。水平入力の周波数は100Hzである。垂直方向の周波数は?,500Hz,250Hz,400Hz,625Hz,B
界磁磁束の変化による速度制御がもたらすものは?,一定出力駆動,一定トルク駆動,可変出力駆動,上記のいずれでもない,A
1つのトランジスタと1つのコンデンサを基本メモリユニットとして使用するメモリは、次のうちどれか?,SRAM,DRAM,SRAMとDRAMの両方,いずれでもない,B
4m×3mの長方形の部屋で、平均照度50ルクスを得るために必要な、各300ルーメンのランプの数は?,2,4,5,6,A
システムの出力が入力量に影響を与えるのであれば、システムは以下のうちどのシステムか?,開ループ制御システム。,閉ループ制御システム。,AまたはBのいずれか。,上記のいずれでもない。,B
正弦波信号は以下のどの理由によりアナログ信号か?,負のピークと正のピークの間にいくつもの値を持つことができるため,半周期が負であるため,半周期が正であるため,負だけでなく正の値も持つため,A
FMは何を表すか?,頻繁な変調。,周波数変調。,周波数変調器。,頻繁な変調器。,B
スタックの別名は何か?,FIFOメモリ,フラッシュメモリ,LIFOメモリ,LILOメモリ,C
ワード・レオナードシステムでは、速度の下限は以下のどれによって課されるか?,界磁抵抗。,電機子抵抗。,発電機の残留磁気。,上記のどれでもない。,C
コルピッツ発振器の別名は何か?,タンク回路発振器,LC発振器,共振回路発振器,上記すべて,D
SCRは50Hz電源で3000Aの半サイクルサージ電流定格を持っている。1サイクルのサージ電流は?,1500A。,6000A。,2121.32A。,4242.64A。,C
CPUのALUと制御部はどちらも、どの特別な目的の記憶場所を採用しているか?,バッファ,デコーダ,アキュムレータ,レジスタ,C
系統誤差に当てはまるのは以下のどれか?,環境誤差。,観測誤差。,測定器の誤差。,上記すべて。,D
開ループ制御システムの欠点は次のうちどれか?,不正確。,信頼性が低い。,AとBの両方。,上記のいずれでもない。,C
ダイオード（p-n接合）は逆バイアスされると、以下のどれとして動作するか?,オンスイッチ,ツェナーダイオード,コンデンサ,オフスイッチ,D
圧電効果は以下のどこで発揮されるか?,複合フィルター。,クリスタルフィルター。,m導出。,定数kのプロトタイプ。,B
導体の抵抗率は、何に依存するか?,導体の面積。,導体の長さ。,材料の種類。,これらのどれでもない。,C
計器が反応する測定変数の最小の変化は?,分解能。,正確度。,精度。,感度。,A
電子通信において「AM」が意味するものは?,アンペア変更,振幅方法,振幅変調,アンペア方法,C
自動制御システムとして知られているものはどれか?,開ループ制御システム,閉ループ制御システム,AまたはBのどちらか,AでもBでもない,B
固定ANDアレイとプログラマブルORアレイを持つ組み合わせPLDの呼び名は?,PLD,PROM,PAL,PLA,B
偏位型の測定器に比べたとき、零位型の測定器について、正しい記述を選べ。,感度が低い。,応答が速い。,精度が高い。,上記すべて。,C
ケーブルの長さが2倍になると、静電容量Cは?,4分の1。,2分の1。,2倍。,変化なし。,C
半導体のp型材料中の電子の呼び名は?,少数キャリアまたは多数キャリアのいずれか,少数キャリア,多数キャリア,価電子キャリア,B
＿＿＿は、磁性材料中の最も有害な不純物である。,炭素,硫黄,酸素,窒素,A
電圧制御発振器がよく使用されるのは以下のうちどれか?,パルス変調器 周波数変調器 相クロックループ,周波数変調器,相クロックループ,上記すべて,D
直接鉄心型誘導炉では、以下のどの理由から低周波供給が必要か?,通常の周波数供給では、電磁力は溶融金属中で激しい撹はん作用を引き起こすため。,一次回路と二次回路の間の磁気結合は貧弱なため。,AとBの両方。,上記のいずれでもない。,C
可動コイルメーターの減衰は、次の何によって行われるか?,コイルのアルミフレーム,可動コイルに取り付けられたコイル・スプリング,渦電流ディスク,気密室内の減衰ベーン,A
力-電圧の相似において、質量要素の相似量は次のうちどれか?,抵抗。,インダクタンス。,キャパシタンス。,上記すべて。,B
ラッチは＿＿＿に反応する。,レベルとエッジの両方,エッジ,レベル,なし,C
SCRを過電流から保護するために何を使用するか?,CBとヒューズ。,ヒートシンク。,スナバ回路。,電圧クランプ装置。,A
主に人為的ミスによって引き起こされる誤差は?,総誤差。,器械的誤差。,観測誤差。,系統誤差,A
力-電流の相似におけるダッシュ・ポットの電気的相似量は?,抵抗。,コンダクタンス。,インダクタンス。,キャパシタンス。,B
演色評価数（CRI）が最も優れているランプはどれか?,LED,蛍光灯,白熱灯,高圧ナトリウム蒸気灯,C
理想的なインダクタにおいての電力損失は?,最大,最小,ゼロ,有限値,C
断続的な作業に適した炉は次のうちどれか?,コアレス炉,間接アーク炉,上記のどちらか,どちらでもない,B
電気抵抗溶接における電極材料に必要な特性は以下のうちどれか?,高い電気伝導率。,高い熱伝導率。,高温で高圧を維持するのに十分な強度。,上記のすべて。,D
受動素子は次のうちどれか?,抵抗,電球,両方,これらのどれでもない,C
誘電加熱の主な利点は?,加熱が材料そのもので起こること。,加熱は高周波のために起こること。,爆薬の乾燥に使用できること。,上記のいずれでもない。,A
ヒートシンクに使用される材料に必要な特性は以下のうちどれか?,高い熱伝導率。,大きな表面積。,高い融点。,これらすべて。,D
