1850年の米国の一人当たりGDPは、インフレ調整後、2011年の物価でPPP調整するといくらか？, 約300ドル , 約3000ドル , 約8000ドル , 約15000ドル,B
2019年現在、同性愛を社会が受け入れるべきだとするアメリカ人の割合は？,52%,62%,72%,82%,C
2019年、太陽光発電による総エネルギー量が最も多かった国は次のうちどれか？, 中国 , アメリカ , ドイツ , 日本,A
インフレと購買力平価（PPP）調整を考慮した場合、1950年から2016年までの日本の一人当たりGDPはどのくらい増加したか？, 5倍 , 10倍 , 15倍 , 20倍,C
5歳未満の子どもの最大の死因は何か（2017年現在）。, 下部呼吸器感染症 , 早産合併症 , 下痢性疾患 , マラリア,A
2019年現在、世界人口のうち安全な飲料水を利用できない人の割合は？,10%,20%,30%,40%,C
2017年現在、インドの調査回答者のうち、公共サービス（教育、司法、医療・保健、警察、登記・許可サービス、公共事業、税収・税関、土地サービスなど）を利用するために、過去1年間に賄賂を支払ったことがあると回答した人の割合は？,29%,49%,69%,89%,C
2017年現在、ブラジルで過去3カ月間にインターネットを利用した人の割合は？,18%,38%,58%,78%,C
2017年現在、インドの人口の何％が過去3カ月間にインターネットを利用したか？,11%,26%,41%,56%,B
2018年現在、インド人の何パーセントが、自国にさまざまな人種、民族、国籍の人々が増えていることで、（悪くなった、あるいは差がなくなったのとは対照的に）住みやすくなったと答えているか？,23%,38%,53%,68%,D
2019年現在、世界人口の約何％が極度の貧困（1日1.90ドル以下）で暮らしているか？,5%,10%,15%,25%,B
2020年現在、世界人口の約何％が野外排泄を行っているか？,2%,4%,9%,18%,C
次のうち、「成長を伴う再分配」政策アプローチの要素でないものはどれか？, 最低賃金法 , 土地改革 , 累進課税 , 教育へのアクセス拡大,A
1950年当時、世界人口の何パーセントが識字を持っていたか？,36%,56%,76%,96%,B
2016年現在、18歳以上の成人の約何％が肥満か？,6%,13%,27%,46%,B
2019年現在、ドイツ人の約何％が米独関係は良好だと答えているか？,34%,49%,64%,79%,A
2017年現在、都市部に住むアメリカ人の割合は？,62%,72%,82%,92%,C
1950年の米国の一人当たりGDPは、インフレ調整後、2011年の物価でPPP調整するといくらか？, 約3千ドル , 約8千ドル , 約1万5千ドル , 約3万ドル,C
2016年、米国でホームレスになった人の数は？,"55,000人","550,000人","5,500,000人","55,000,000人",B
1965年、ベトナムへの軍隊派遣は間違いだったと考えるアメリカ人は何人いた？,25%,45%,65%,85%,A
2013年現在、政党が腐敗していると考えるエチオピアの人々の割合は、,24%,44%,64%, 84%。,A
1997年、世界銀行は、低・中所得国、つまり一人当たり所得が1230ドル以下の国に住む世界人口の割合は、,25%,40%,55%,75%,D
2015年現在、インドのGDPに占める農業の割合は？,8%,16%,32%,64%,B
2020年現在、正しいのはどれか。, 男性は女性よりうつ病になりやすく、アルコール使用障害になりやすい。, 女性は男性よりもうつ病になりやすく、アルコール使用障害になりやすい。, 男性は女性よりうつ病になりやすく、女性は男性よりアルコール使用障害になりやすい。, 男性より女性の方がうつ病になりやすく、女性より男性の方がアルコール使用障害になりやすい。,D
2019年現在、ブラジルの人々の約何％が同性愛は社会に受け入れられるべきだと答えているか？,37%,47%,57%,67%,D
2017年現在、サウジアラビアが軍事費に費やすGDPの割合は、, 約1％ , 約3％ , 約6％ , 約10％。,D
2019年現在、米国では化石燃料による電力の割合は？,23%,43%,63%,83%,C
2015年現在、エジプトで13～15歳の子どものうち、過去数カ月間に少なくとも1回はいじめを受けたと回答した子どもの割合は？,10%,30%,50%,70%,D
2018年現在、米国の成人の約何％が、仮釈放対象者に対する犯罪リスク評価はアルゴリズムによる意思決定の不合理な適用だと答えているか？,26%,41%,56%,71%,C
2018年、食肉生産のために殺された鶏の数は？, 6億9000万羽 , 69億羽 , 690億羽 , 6900億羽,C
2016年、南スーダンの人口の何％が電気を利用できたか？,9%,29%,59%,79%,A
2017年現在、メキシコの調査回答者のうち、過去1年間に公共サービス（教育、司法、医療・保健、警察、登記・許可サービス、公共事業、税収・税関、土地サービスなど）を利用するために賄賂を支払ったことがあると回答した人の割合は？,31%,51%,71%,91%,B
インフレと購買力平価（PPP）調整を考慮した場合、1950年から2016年までの中国の一人当たりGDPはどのくらい増加したか？, 4倍 , 8倍 , 16倍 , 32倍,C
ロス・ペロー、6月の大統領選で第3党候補として39％の得票率で一時首位に立ち、世論調査の歴史に名を刻む。彼は最終的に人気投票の_%を獲得した。,1,7,13,19,D
2019年現在、トルコ人の何パーセントが自分の人生において神が重要な役割を果たしていると答えているか？,59%,69%,79%,89%,D
20世紀に最も多くの死者を出したのはどれか？, 地震 , 火山活動 , 山火事 , 洪水,D
2015年現在、米国の13～15歳の子どものうち、過去12カ月間に1回以上、学校で物理的なケンカをしたと報告した子どもの割合は？,15%,35%,55%,75%,B
インフレと購買力平価（PPP）調整を考慮した場合、韓国の1人当たりGDPは1950年から2016年にかけてどのくらい増加したか？, 4倍 , 8倍 , 16倍 , 32倍,D
2019年現在、トルコの人々のうち、国家が国民全体の利益のために運営されていることに同意する人の割合は？,36%,51%,66%,81%,C
2015年現在、15歳以上の世界人口のうち識字率は何％か？,81%,86%,91%,96%,B
2017年現在、中国の調査回答者のうち、公共サービス（教育、司法、医療・保健、警察、登記・許可サービス、公共事業、税収・税関、土地サービスなど）を利用するために、過去1年間に賄賂を支払ったことがあると回答した人の割合は？,26%,46%,66%,86%,A
2019年現在、平均寿命が最も低いのは次のうちどれか？, ブラジル , 中国 , メキシコ , イラン,C
2019年現在、安全でない水は毎年何人の死者を出しているか？, 120万人 , 240万人 , 360万人 , 480万人,A
世界全体で毎年（2017年現在）、より多くの死者を出しているのは次のうちどれか？, 下痢性疾患 , 糖尿病 , 認知症 , 交通事故,C
2020年現在、HIV/AIDSに感染している人の数は？, 300万人 , 1400万人 , 4200万人 , 1億2400万人,C
2015年現在、米国の13～15歳の子どものうち、過去数カ月間に少なくとも1回はいじめられたと回答した子どもの割合は？,26%,46%,66%,86%,A
2019年現在、道徳的で良い価値観を持つためには神を信じることが必要だと答える韓国人の割合は？,25%,45%,65%,85%,B
2015年現在、日本の13～15歳の子どもたちのうち、過去数カ月間に少なくとも1回はいじめを受けたと回答した子どもの割合は？,6%,16%,36%,66%,C
2018年現在、米国の成人の約何％が、コンピュータープログラムは常に人間のバイアスを反映すると答えているか？,43%,58%,73%,88%,B
2017年現在、中国が軍事費に費やすGDPの割合は、,0.50%,2%,6%, 12%。,B
不平等はまず発展とともに増加し、次にさらなる発展とともに減少するという推測（「逆U字仮説」として知られる）は、2020年現在、,ほとんどの研究によって強く支持されている ,主に時系列研究ではなく横断研究によって支持されている ,主に時系列研究ではなく横断研究によって支持されている ,実証研究によって一般的に否定されている。,B
世界では、30歳の男性は平均して10年間学校に通っている。2020年現在、同じ年齢の女性は何年間学校に通っているだろうか？, 12年 , 9年 , 6年 , 3年,B
2017年現在、グリーンランドにおける自殺による死亡者の割合は、,0.90%,1.80%,3.60%, 7.20% 。,D
2019年現在、ロシアの人々のうち、同性愛は社会に受け入れられるべきだと答えた人の割合は？,14%,24%,34%,44%,A
2019年現在、アメリカとドイツの関係は良好だと答えたアメリカ人の割合は？,60%,75%,90%,45%,B
2019年現在、政府・国家による検閲のない自由なメディアを持つことが非常に重要だと答えたアメリカ人の割合は？,50%,60%,70%,80%,D
1987年、イラン・コントラの最中、レーガンが情報を隠していたと考えるアメリカ人の割合は？,2%,25%,50%,75%,D
サハラ以南のアフリカでは、2020年現在、,過去数年間で成長できた国はない。, コンゴ民主共和国は1980年の当初よりも貧しくなった。, 成長率が比較的著しい国もある。, いくつかの国は比較的大きな成長を遂げたが、コンゴ民主共和国は1980年の当初よりも貧しくなった。,C
世界銀行のデータによると、1995年のニジェールでは、最貧困層の20％の世帯が世帯所得の7.5％を占め、次の20％の世帯が所得の11.8％、中間の20％が所得の15.5％、2番目に豊かな20％が所得の21.1％、上位20％が所得の44.1％を占めていた。ニジェールの下位60％の世帯の累積所得シェアは？,15.50%,34.80%,48.10%,65.20%,B
2012年現在、世界で働く5～14歳の子どもの数は？, 500万人 , 3000万人 , 1億5000万人 , 5億人,C
後進国によって中等教育への就学率は異なる。2020年現在、中等教育への就学率が高い国には、, コロンビア、ペルー、ウルグアイ、コスタリカ, ブータン、ニジェール、カンボジア、コスタリカ, ウルグアイ、コスタリカ、東ティモール、パキスタン, ブータン、カンボジア、ウルグアイ、コスタリカがある。,A
2009年、過去1週間に教師から体罰を受けたと答えたベトナムの子ども（8歳）の割合は？,10%,20%,40%,80%,B
2009年、過去1週間に教師から体罰を受けたと答えたインドの子供（8歳）の割合は？,38%,58%,78%,98%,C
次の文を考えてみよう：(1)どの国でも、人々は自分の国の他の個人は実際よりも幸福度が低いと思っている。(2) アメリカでは、女性の幸福度は絶対的にも相対的にも男性より高まっている。これらの記述のうち、真／偽はどれか。, 真、真 , 真、偽 , 偽、真 , 偽、偽,B
2017年、世界でテロにより死亡した人の数は？,260人,"2,600人","26,000人","260,000人",C
1935年当時、およそ何人のアメリカ人が社会保障法に賛成していたか？,90%,70%,50%,30%,A
2017年、国民1人当たりのCO2排出量が最も多かった国は次のうちどれか？, 日本 , カナダ , ロシア , イラン,B
2019年現在、インド人の約何％が道徳的で良い価値観を持つためには神を信じる必要があると答えているか？,59%,69%,79%,89%,C
2015年現在、中国の13～15歳の子どものうち、過去12カ月間に1回以上、学校で身体的な喧嘩をしたと答えた子どもの割合は？,9%,19%,39%,59%,B
2009年にエチオピアで過去1週間に教師から体罰を受けたと答えた子供（8歳）の割合は？,18%,38%,58%,78%,B
2018年現在、チュニジアの人々のうち、自国に多くの異なる人種、民族、国籍の人々が増えていることで、（悪くなった、あるいは差がなくなったのとは対照的に）住みやすくなったと答えた人の割合は？,24%,39%,54%,69%,A
2015年現在、世界の出生率は,女性1人当たり1.5人 ,女性1人当たり2.5人 ,女性1人当たり3.5人 ,女性1人当たり4.5人であった。,B
2020年現在の国際所得の中央値は？,300ドル,"1,000ドル","10,000ドル","30,000ドル",C
大統領3期目に再選される前、3度目の出馬を承認したアメリカ人は何人いた？,20%,40%,60%,80%,C
2019年現在、イタリア人の約何％が、政府・国家による検閲のない自由なメディアを持つことが非常に重要だと答えているか？,41%,56%,71%,86%,B
世界の教育への公的支出は、2017年現在、世界のGDPに占める割合は？,1%,2%,4%,8%,C
2013年現在、一人当たりのホームレス率が最も高い国は次のうちどれか？, アメリカ , チリ , アイルランド , スペイン,A
全体として、1960年から1995年までの後発開発途上国の平均所得の伸び率は、,ほぼゼロ ,高所得国のそれを上回る ,産業革命期のイギリスのそれを上回る ,年率約3.0%であった。,C
2015年現在、世界の国土面積のうち森林が占める割合は？,15%,30%,45%,60%,B
人口増加率が最も高いのは,世界で最も貧しい地域であり、全体的な経済成長率も最も低いアフリカ,世界で最も貧しい地域であるが、全体的な経済成長が安定しているアジア, 全体的な経済成長が最も低く、世界で最も貧しい地域であるアジア, 全体的な経済成長は安定しているが、世界で最も貧しい地域であるアフリカである。,C
2015年現在、農業は米国のGDP総額の何％を占めているか？,1%,3%,9%,20%,A
2017年現在、インド人の何％が都市部に住んでいるか？,19%,34%,49%,64%,B
以下の記述について考えてみよう：(1) 国が豊かになればなるほど、国民の平均的な生活満足度は高くなる傾向がある。(2)結婚や離婚などの重要なライフイベントは幸福度に影響するが、長期的な影響は驚くほど少ない。2020年現在、これらの記述のうち真／偽はどれか？, 真、真 , 真、偽 , 偽、真 , 偽、偽,A
2013年現在、米国で政党が腐敗していると考える人の割合は、,36%,56%,76%,96%,C
2015年、再生可能エネルギーにGDPの何割を投資したかで最も多かった国は次のうちどれか？, 中国 , 日本 , チリ , インド,C
2020年現在、世界で最も裕福な1パーセントに入るには、年収はいくら必要か？,15万ドル,7万5000ドル,3万5000ドル,1万5000ドル,C
1943年当時、ホロコーストを信じていたアメリカ人はどれくらいいたか？,30%,50%,70%,90%,B
2017年に最もCO2を排出した国は次のうちどれか？, カナダ , ロシア , イラン , 日本,D
独立当時、＿＿＿＿にはすでに数十万人の大卒者がいたが、＿＿＿＿＿にはほとんどいなかった。, インド、コンゴ , インド、韓国 , コンゴ、韓国 , 韓国、インド,A
2013年現在、インドで政党が腐敗していると考える人の割合は、,26%,46%,66%, 86%。,D
2019年現在、フランス人の約何％が自分の人生において神が重要な役割を果たしていると答えているか？,11%,31%,51%,71%,B
2017年現在、米国が軍事費に費やすGDPの割合は、, 約1% , 約3% , 約6% , 約10%,B
2017年現在、世界の自殺による死亡者の割合は、,0.70%,1.40%,2.80%,5.60%,B
第二次世界大戦後に独立した国々の多くは、植民地主義の遺産が経済発展を妨げていることに気づいた。障害となっていることは、, 共通点の少ない多様な民族を含む人為的な政治的境界線 , 植民地統治下で国民への高等教育や訓練が不十分だったこと , 宗主国からもたらされた少数派の外国人移住者により支配された国内商業, 左記すべてが含まれる。,D
