mRNAの開始コドンに続く以下の変化のうち、最も重大な影響を及ぼす可能性が高いのはどれか？, 単一のヌクレオチドの欠失 , ヌクレオチド三重鎖の欠失 , 最初のコドンの位置を占めるヌクレオチドの単一ヌクレオチド置換 , 3番目のコドンの位置を占めるヌクレオチドの単一ヌクレオチド置換,A
電子が電子伝達系を移動する際に放出されるエネルギーは、何に使われるか？, グルコースを分解する , グルコースを作る , ATPを生成する , NADHを作る。,C
生命が誕生したと考えられている時代、原始地球の大気には次のうち１つを除くすべてのガスが豊富に含まれていた。含まれていなかったのはどれか？,酸素 ,水素 ,アンモニア ,メタンを除く以下のすべてのガスが豊富に含まれていた。,A
収斂進化を最もよく例証しているのはどれか？, 魚の胸ビレと猫の前脚 , 全ての脊索動物胚におけるノトコルドの存在, 昆虫の翅と鳥の翼, 樫の木の葉とサボテンの棘,C
細胞分裂の有糸分裂の例を最も提供すると考えられるものは、次のうちどれか？, 筋肉組織の断面 , 葯（花で花粉を作る場所）の断面 , シュート先端の縦断面 , 葉の断面,C
無脊椎動物の免疫系は次のうちどれを持つか？, 細胞傷害性Tリンパ球 , 貪食細胞 , B細胞 , ヘルパーT細胞,B
無関係な2つの種が、より類似するように進化することを何というか？, 発散進化 , 収束進化 , 並行進化 , 共進化,B
森林生態系の一部で定期的に発生する自然火災がもたらず恩恵として、最も考えられるのは次のうちどれか？, 定期的な自然火災があることで、枯死した植物や腐敗した植物が除去され、より激しく破壊的な森林火災のリスクを減少する。, 定期的な自然火災によって土壌から栄養分が溶け出し、在来種と競合する可能性のある植物の発芽を防ぐ。, 定期的な自然火災が植物を主食とする草食動物を追い払うため、植生が減少する。, 定期的な自然火災は土壌を乾燥させ、大雨の後の洪水の可能性を減少させる。,A
仮定の環境において、カワカマスと呼ばれる魚は藻食性魚を視覚的に捕食する（つまり、視覚によって獲物を見つける）。藻食魚の集団がカワカマスから捕食圧を受けた場合、何世代にもわたって藻食魚の集団で観察される可能性が最も低いのはどれか。,藻食魚の色合いが地味になるように選択されること。,藻食性魚が夜行性（夜間のみ活動する）になるように選択されること。,藻食魚の雌がより大きくなり、より多く、より大きな幼生を産むように選択されること。,藻食魚が全体の体サイズがより小さい状態で性的に成熟するように選択されること。,C
ある男性が同じインフルエンザに2回目の感染した。２回目は症状が軽く、回復も早かった。この迅速な回復を担う細胞はどれか？, ヘルパーT細胞 , 細胞傷害性T細胞 , 記憶細胞 , プラズマ細胞,C
野生のネコや家畜化されたネコのさまざまな被毛パターンを引き起こす遺伝子と同じ遺伝子が、これらのネコのクロスアイ状態も引き起こしており、クロスアイ状態はやや不適応である。仮定の環境では、クロスアイに関連する被毛パターンは非常に適応的であり、その結果、被毛パターンとクロスアイ状態の両方が時間とともにネコの集団で増加する。これらの観察から支持されるのは、次の記述のどれか？, 進化は漸進的であり、より完全な集団に向かう傾向がある。, 表現型はしばしば妥協の結果である。, 自然選択は時間の経過とともに集団中の不適応遺伝子の頻度を減少させる。,多遺伝子遺伝は一般的に不適応であり、将来の世代では少なくなるはずである。,B
次の記述のうち、正しいものはどれか？, 水は高張性から低張性へと流れる。, 発芽する種子は、発芽しない種子よりも酸素を消費しない。, 蒸散速度は、空気の動きが大きくなると減少する。, ゲル電気泳動では、小さいDNA断片の方が大きいDNA断片よりも速く移動する。,D
次の生物地球化学サイクルのうち、一般に気相が存在しないものはどれか？, 水 , 炭素 , 硫黄 , リン,D
「ジカ熱」「西ナイル熱」「マラリア」に共通する性質はどれか。, これらの病気はウイルスによって引き起こされる。, これらの病気は熱帯諸国を訪れたり、熱帯諸国に住んでいる人だけに起こる。, これらの病気を引き起こす病原体は抗生物質に対する耐性を獲得している。, これらの病気を引き起こす病原体は、主に感染した蚊に刺されることによって感染する。,D
もしHMSビーグル号がガラパゴス諸島を完全に迂回していたら、ダーウィンは次の何に対する理解がはるかに不完全となっていたか？,よく適応した個体群の数が何世代にもわたって相対的に安定していること, 個体群が特定の環境に適応するにつれて変化する能力, 環境が維持できる正確な数の子孫を残そうとする生物の傾向, ほとんどの自然環境において、個体群の成長を支える無限の資源。,B
脂質に関する次の記述のうち、正しいものはどれか。, 不飽和脂肪酸は心臓病に関係している。, 脂質はほとんどの細胞表面受容体を構成している。, リン脂質は水溶性である。, ステロイドはグリセロールと脂肪酸からなる脂質である。,C
結合組織の例として異なるのはどれか？,靭帯 ,筋肉 ,血液 ,軟骨,B
光合成の光反応はカルビン環に次のどれを供給するか？, 光反応は、光に依存しない反応に酸素を供給する。, ATPとNADPHはカルビンサイクルに動力と原料を供給する。, 根から植物に入る水は、カルビンサイクルに直接水素を供給する。,光に依存する反応によって放出されたCO2が、カルビンサイクルの原料となる。,B
最初の小さな原核細胞が大きな原核細胞の中に住み着いたとき、それは真核細胞の出現を告げ、地球上の新しい生命の爆発的な増加につながった。それ以来、地球上のほとんどの細胞は細胞内小器官を持つようになった。細胞膜と細胞小器官を持つことの利点として、最も適切なものはどれか？, DNAがより効率的に複製できる。, 原核生物はミトコンドリアを持たないが、同じ機能を果たす構造を持つ。, オルガネラは細胞内の特定の反応を分離し、代謝効率を高める。,コンパートメント化により、原核生物はより迅速に繁殖できる。,C
ワクチン接種について正しいのはどれか？, 特定の病原体を認識するさまざまな受容体の数を増やす。, 抗原に特異的なマクロファージの数を増やす。, 免疫系が認識できるエピトープの数が増える。, 抗原を認識して結合できるレセプターを持つリンパ球の数が増える。,D
カリプソ蘭（カリプソ・ブルボサ）は菌根菌と密接に関わりながら成長する。菌根菌は花の根に入り込み、植物の食糧資源を利用する。菌根菌はリン酸塩などの希少ミネラルを根に濃縮し、ランが容易に利用できるようにする。この状況は何の一例か？, 寄生 , 共存 , 相互作用 , 内部共生,C
ラバは比較的長生きで丈夫な生物であるが、一般的に言って、減数分裂を成功させることはできない。その結果、ラバについて正しい記述はどれか？, ラバの相対的進化的適応度はゼロである。, ラバの子孫は親よりも遺伝的変異が少ない。, ラバのゲノムに突然変異は起こらない。, もしラバで交雑が起こるとすれば、それは有糸分裂のプロフェイズに限られるはずである。,A
ADHは腎臓から分泌されるホルモンで、尿中に排泄される水分量を減少させる。ADHは脱水時に分泌される。これは何の一例か？,生得的行動,恒常性の維持, 環境への対応の失敗,ポジティブフィードバック,B
次の記述で正しくないものはどれか？, サイロキシンは代謝速度を増加させる , インスリンはグリコーゲンの貯蔵を減少させる , バソプレシンは腎臓での水分再吸収を促進する , エピネフリンは血糖値と心拍数を増加させる。,B
バー小体とは何か、またその意義について最も適切な記述はどれか。, Y染色体が不活性化したもので、男性は不妊になる。, Y染色体が不活性化したもので、これを持つ人は女性に見える。, X染色体が不活性化したもので、その結果、女性の細胞の半分は片方のXが不活性化し、残りの半分はもう片方のXが不活性化する。,X染色体が不活化したもので、女性は不妊症になる。,C
従属栄養生物について正しい記述はどれか？, 色素によって利用される太陽光からエネルギーを得る , 有機分子を酸化することによってエネルギーを得る , CO2から有機分子を作る , 独占的に独立栄養生物を消費することによってエネルギーを得る,B
次の反応のうち、解糖中は順方向で起こるが、発酵中は逆方向で起こるものはどれか？, ピルビン酸 → 乳酸 , ピルビン酸 → エタノール , NAD+ + H+ + 2e- → NADH ,ADP + P → ATP,C
ある研究者が実験室でシダ植物を育てている。数世代後、彼女は明確な表現型を持つ新しい変種に気づく。元の表現型と新しい表現型を交配させようとしても、子孫は生まれない。しかし、新しい変種を交配させると、新しい変種に似た子孫が生まれる。この変種の変化の原因は何か？,核型分析 ,バランス多型 ,突然変異 ,倍数性,C
次の記述のうち、EcoR1とは何かを最も的確に説明しているものはどれか？, ヒトの大腸に生息する細菌である。, 最もよく研究されているバクテリオファージであり、大腸菌を攻撃するウイルスである。, 大腸菌から抽出された制限酵素である。, 研究に広く使われているDNAの一種である。,C
次の構造の組のうち、相同性を表す可能性が最も低いものはどれか？, コウモリの羽とヒトの腕 , ヒヒのヘモグロビンとゴリラのヘモグロビン , 植物のミトコンドリアと動物のミトコンドリア , 鳥の翼と昆虫の翅,D
受精を伴わない卵子の発生は、何として知られているか？, 減数分裂 , 単為生殖 , 胚発生 , 植物繁殖,B
ミンクでは褐色の毛皮の遺伝子が銀色の毛皮の遺伝子(b)より優性である。褐色の毛皮を持つ両親から銀色の毛皮を持つ子供が生まれる可能性のある交配を表す遺伝子型のセットはどれか？, BB BB , BB Bb , Bb Bb , Bb bb,C
アオアズマヤドリのオスは、メスを惹きつけるために「bowers」と呼ばれる構造物を作り、オウムの羽毛や花、その他の奇抜な装飾品で飾る。メスはそのbowersを調べ、それなりに感心すれば、オスに交尾を許す。このオスの行動の進化は、何によるものか？,頻度依存的選択, 人為的選択, 性的選択, 自然選択,C
次のうち、集団が進化の単位とされる理由を最もよく説明しているものはどれか？, 遺伝的変化は集団レベルでしか起こらない。, 個体群の遺伝子プールは時間とともに固定される。, 自然選択は個体に影響し、集団には影響しない。, 個体は進化できないが、集団は進化できる。,D
ある種の遺伝子プールに含まれる遺伝子座の平均46％がヘテロ接合である場合、その種の平均ホモ接合率は何％になるはずか？,23%,46%,54%,92%,C
ダーウィンが否定したであろう記述はどれか？, 環境の変化は進化に一役買っている。, 進化しうる最小の存在は生物個体である。, 個体は新しい環境や状況に対応することで新しい特徴を獲得することができる。, 個体群における遺伝的変異は、自然淘汰が働くための必要条件である。,B
集団の遺伝的可変性に最も寄与するのはどれか？, 胞子形成 , 二元核分裂 , 植生伝播 , 突然変異,D
次の記述のうち、ヒトの虫垂は完全に退化した臓器であるという主張を最も否定するものはどれか？, 虫垂は外科的に切除しても、ただちに悪影響はない。, 化石ヒト科動物では、虫垂はもっと大きかったかもしれない。, 虫垂には相当量の防御的リンパ組織がある。, 平均より大きな虫垂を持つ個体は、平均以下の大きさの虫垂を持つ個体より子孫を残す数が少ない。,C
従属栄養仮説によると、酸素が大気に充満する前にどのような現象が起こっていなければならなかったか？,従属栄養生物は空気中の二酸化炭素を除去しなければならなかった。, 自分で食物を作る独立栄養生物が進化しなければならなかった。,従属栄養生物は進化しなければならなかった。,独立栄養生物は大気中の窒素を硝酸塩に変換しなければならなかった。,B
近縁の2つの種が、より類似しなくなるように進化することを何というか？, 発散進化 , 収束進化 , 並行進化 , 共進化,A
次の記述のうち、今日考えられている進化を最もよく言い表しているものはどれか？, 進化は目的指向的である。, 後天的に獲得された特性に対する淘汰の結果である。, 遺伝子の流れの過程と同義である。, 進化とは、最も適合した表現型の生存と繁殖の差である。,D
殺虫剤DDTに耐性を持つ蚊がインドで最初に出現したのは、殺虫剤が広く散布されてから15年も経たない1959年のことであった。この耐性蚊がどのようにして発生したかを説明するのに最も適切な記述はどれか？, DDTにさらされた蚊の一部が突然変異を起こし、殺虫剤に耐性を持つようになった。その後、これらの蚊は競争相手がいなくなったため、個体数が増加した。, DDTが最初に散布されたとき、すでにDDTに抵抗性を持っていた蚊がいた。その後、感受性のある蚊がすべて駆除されたため、その個体数は拡大した。, DDTは一般的に非常に効果的な殺虫剤である。不適切に製造されたと結論付けるしかない。,DDTは広範囲の昆虫に効果があるが、蚊には効果がない。,B
多くのヒト遺伝子のDNA配列は、チンパンジーの対応する遺伝子の配列と非常によく似ている。この結果を説明するのに最も可能性が高い記述は次のどれか？,ヒトとチンパンジーは比較的最近の共通の祖先を共有している。, ヒトはチンパンジーから進化した。, チンパンジーがヒトから進化した。, 収斂進化がDNAの類似性をもたらした。,A
酵母細胞は好気呼吸と嫌気呼吸の両方を行う。グルコースを餌とする酵母細胞は、好気性環境から嫌気性環境へと移動する。次の記述のうち、正しいものはどれか。, ATPを作ることができないので、細胞は死ぬ。, 好気性呼吸は嫌気性呼吸に比べてはるかに効率的であるため、細胞はより多くの速度でグルコースを消費する必要がある。, グルコースだけでは十分なATPを作ることができないので、細胞はグルコース以外の別の食物源を消費する必要がある。, 大きな細胞は小さな細胞よりも多くの酸素とグルコースを必要とするので、細胞は急速に分裂し始める。,B
ある研究者があるバイオームを調査したところ、他のバイオームで発見されたものより35％多い種を発見した。どのバイオームにいる可能性が高いか？, ツンドラ , ティアガ , 熱帯雨林 , 温帯落葉樹林,C
変異に関する記述で正しいものはどれか？, すべての表現型の変異は遺伝型の変異の結果である。, すべての遺伝的変異は表現型の変異をもたらす。, すべてのヌクレオチド変異は中立的変異をもたらす。,すべての新しい対立遺伝子はヌクレオチドの変異の結果である。,D
どちらの分子もグルコースモノマーから構成されているにもかかわらず、人がデンプンを消化できるのにセルロースを消化できない理由を説明するのに最も適切なものはどれか？, デンプンのモノマーをつなぐ結合は、セルロースのモノマーをつなぐ結合と形が異なる。, デンプンの分子はセルロースの分子よりはるかに小さい。, デンプンは細胞内分子であるが、セルロースは細胞外分子である。, デンプンは水によって水和されるが、セルロースは水和されない。,A
ヒトでは通常、受精はどこで起こるか？,卵巣 ,卵管 ,子宮 ,胎盤,B
次のうち、個体群の成長率に影響を与えうる生物学的要因はどれか？, 火山噴火 , 氷河の融解 , オゾン層の破壊 , 動物性食料資源の急激な減少,C
若い生物学者であったチャールズ・ダーウィンは、温帯南米の植物は温帯ヨーロッパの植物に似ていると予想していたが、熱帯南米の植物の方がよりよく似ていることに驚いた。この観察に対する生物学的な説明は、何の分野と最も適切に関連しているか？,気象学, 発生学, 脊椎動物の解剖学, 生物地理学,D
ヒトのクレブスサイクルは、どこで起こるか？,ミトコンドリアマトリックス ,ミトコンドリア内膜 ,ミトコンドリア外膜 ,膜間腔,A
魚竜は水棲恐竜である。化石を見ると、魚類と同じように背びれと尾があったことがわかるが、彼らの近縁種は背びれも水生尾もない陸生爬虫類である。魚竜と魚類の背びれと尾について、次のどれが正しいか？,相同, 収斂進化の例, 共通の環境への適応, BとCのみ,D
細胞周期のどの段階で、真核細胞のDNA量は通常の2倍になるか？,G_1,G_2,M,S,D
同じ樹種の2本の木が近くに生えていれば、光、水、養分といった同じ資源を利用する。もしこれらの資源のどれかが制限されるようになれば、それぞれの木が受け取る資源は、離れて生えている場合よりも少なくなる。このシナリオは、次のうちどの例か？, 寄生 , 共存 , 自然淘汰 , 種内競争,D
制御タンパク質と相互作用して転写を補助するプロモーターの短い配列のことを何というか？, エンハンサー , リプレッサー , オペレーター , プロモーター,C
地質学的あるいは気象学的な擾乱（大災害）の定期的な発生を意味する天変地異説は、何の存在を説明するためのキュヴィエの試みであったか？,進化, 化石の記録, 一様主義, 新種の起源,B
アジサイの花には、花の色を決める遺伝子が1つある。同じ遺伝子の品種の植物でも、花の色は青からピンクまであり、その色は栽培される土壌の種類によって異なる。この現象を説明するのに最も適切な記述はどれか？, 花色の対立遺伝子は不完全優性を示し、どちらの形質も優性ではない。, 花色の対立遺伝子は共優性である。, この場合、環境によって形質の発現が変化する。, 花色の遺伝子は多遺伝子遺伝を示す。,C
2つの性を持つ有性種の性比に不均衡が起こると（つまり50：50以外の比率）、少数派の性の成員はしばしば、多数派の性の子孫よりも大きな割合の世話や資源を親から受ける。これが最も明確な例となるのは次のどれか？,性淘汰, 破壊的選択, 釣り合い選択, 頻度依存的選択,D
