未知の物質は高い融点を持つことがわかった。さらに、電気をあまり通さず、水に溶けない。この物質には以下のどれを含む可能性が最も高いか?,イオン結合,非極性共有結合,共有ネットワーク結合,金属結合,C
NH4Br と AgNO3 の溶液を混ぜたときに予想される正味のイオン方程式は?,Ag+(aq) + Br-(aq) → AgBr(s),NH4+(aq) + Ag+(aq) → Ag(NH4)3+2(aq),Br-(aq) + NO3-(aq) → NO3Br(aq),NH4Br(aq) + NO3-(aq) → NH4NO3(aq) + Br-(aq),A
アンチモンの記号は?,W,Sb,Fe,An,B
密閉された硬い容器に、窒素28.0g、アルゴン40.0g、水蒸気36.0gの3つの気体が入っている。気体が及ぼす圧力の合計が2.0気圧のとき、窒素の分圧は何気圧か?,0.33 atm,0.40 atm,0.50 atm,2.0 atm,C
代表的な元素の単原子イオンは、大抵どのような特徴を持つか?,非常に溶けやすい,非常に電気陰性,希ガスと等電子,色が濃い,C
フントの法則では、以下のどれを必要とするか?,2つの電子が同じ4つの量子数を持つことはない,同じスピンを持つ2つの電子が軌道を占めることはない,2つの電子が別々の軌道を占めることはない,同じエネルギー準位に空の軌道がある場合、2つの電子が対になることはない,D
次のうち、他とは異なる電子配置をもつイオンを選べ。,Rb+,Se2-,As5+,Sr2+,C
亜硫酸は弱酸であるが、硫酸ははるかに強い酸である。それは以下のどの理由からか?,硫酸の酸素原子は電子を引き離すため、硫酸のO-H結合は亜硫酸よりはるかに弱い,硫酸は式中の酸素原子の数が多い,硫酸の硫黄は亜硫酸の硫黄より電気陰性度が大きい,硫酸は水素原子が硫黄原子に直接結合している,A
40.0mLの塩基を中和するために42.6mLの0.108M塩酸を必要とする水酸化ナトリウム溶液のモル濃度はいくらか?,0.0641 M,1.64 M,0.115 M,0.400 mol/L,C
次の物質のうち、分子構造が非対称なものはどれか?,SF4,PCl5,BF3,CO2,A
フッ化水素HFは15℃で液体である。他のすべてのハロゲン化水素（HXで表され、Xは他のハロゲン）は、同じ温度で気体である。なぜか?,フッ素は電気陰性度が非常に高いので、H-F結合は他のどのH-X結合よりも強い。,HFは他のどのH-X分子よりも小さいので、より強いロンドン分散力を示す。,HF分子の双極子は、他のHF分子の双極子に対して特に強い引力を示す。,H-F結合は、他のすべてのハロゲン化水素と比較して、最もイオン性が強い。,C
Br2(g)とCl2(g)が反応してBrCl(g)が生成する反応は、ある温度で15.0の平衡定数を持つ。15.0リットルの反応容器に10.0グラムのBrClが最初に存在する場合、平衡時のBrClの濃度はいくらか?,3.8 × 10^-3 mol/L,5.77 × 10^-3 mol/L,1.97 × 10^-3 M,9.9 × 10^-4 M,A
液体NH3の試料を沸点まで沸騰させる。沸騰の過程で起こることは次のうちどれか?,NH3分子内のN-H結合が切れる。,NH3 分子の速度が速くなるにつれて、溶液全体の温度が上昇する。,系内のエネルギー量は一定。,分離したNH3分子を結合している水素結合が切れる。,D
ある学生が0.100Mの強酸溶液を1リットル持っている。緩衝液を調製するには、これを以下のどれと混合する必要があるか?,強酸,弱酸,弱塩基,強塩基,C
反応が自発的であることを示すのは次のうちどれか?,平衡状態では、反応物よりも生成物の方が多い,ΔG°の値がゼロより大きい,ΔS°の値がゼロより大きい,Keqの値が1未満,A
次のうち、最も結合の極性が大きいと予想されるのはどれか?,s-o,p-f,c-b,C-N,B
反応機構とは、反応全体の化学量論に計上される一連の素反応のことである。ある素反応において生成され、別の素反応において消費される物質は、次のどのように呼ばれるか?,触媒,中間体,反応物,錯体,B
ある放射性物質10.0kgを1.0マイクログラムに減らすのに約何半減期かかるか?,8,13,29,34,D
