"問題は以下の内容に関するものである。
次の引用文を読んで問題に答えなさい。
ローマ世界に普及していたさまざまな崇拝様式は、民衆にとってはすべて等しく真実であり、哲学者にとっては等しく偽りであり、行政官にとっては等しく有用であると考えられていた。
エドワード・ギボン『ローマ帝国衰亡史』（1776-1788年）
古代ローマにおける宗教的崇拝のあり方についてのギボンの解釈はどのように要約できるか?",古代ローマでは、宗教的崇拝は分散化され、社会的地位によって異なる傾向があった。,古代ローマでは、宗教崇拝は多くの社会的緊張と混乱の原因であった。,古代ローマでは、宗教的崇拝は均質で、高度に中央集権的であった。,古代ローマでは、宗教的崇拝はキリスト教の導入によって革命的に変化した。,A
"問題は以下の内容に関するものである。
次の言葉は、1755年のリスボン地震に対するヴォルテールの言葉である。
親愛なる君、自然は非常に残酷である。可能な限り最良の世界において、運動の法則がどうしてこのような恐ろしい災害を引き起こすのか、想像するのは難しいだろう。私たちの仲間である10万匹のアリが、アリの巣の中で一度に押しつぶされ、その半数は、おそらく言いようのない苦しみを味わいながら、その残骸の下敷きになって抜け出せずに死んでいった。ヨーロッパ中の仲間たちが破滅し、君の同胞である100人の実業家の運命が、リスボンの廃墟に飲み込まれた。人間の人生というゲームは、なんと惨めな賭けなのだろう！特に異端審問所がまだ残っていたとして、説教者たちは何と言うだろう。少なくとも牧師や異端審問官たちが他の人たちと同じように打ち砕かれていたのなら私は満足だ。互いに苦しめあってはならないと教えるべきだったのである。数人の聖なる悪党が数人の狂信者を燃やしている間に、大地はすべてを飲み込んでしまうのだから。
—ヴォルテール、手紙、1755年
上記のヴォルテールが表明した考えは、啓蒙知識人の次の特徴のどれを最もよく表しているか?",多くが優れた科学者であり、宇宙に対する人間の理解に重要な断片を加えた。,サロンや安価な印刷パンフレットなど、自分の考えを伝える新しい方法を利用した。,ほとんどの人が宗教を完全に否定し、理性的な人間の唯一の信条として無神論を採用した。,多くの人々は、新しい科学的発見が、社会的・文化的問題に対するより寛容で客観的なアプローチを正当化すると信じていた。,D
"問題は以下の内容に関するものである。
次の手記を読みなさい。
ルイ14世はあらゆる名士がヴェルサイユ宮殿に常にいることを求めただけではなく、地位の劣る者がいなくなってもすぐに気づいた。 接見のときも、寝床にいるときも、食事のときも、ヴェルサイユの庭園（一般廷臣が彼に従うことを許された唯一の場所）にいるときも、彼は右へ左へ目を光らせていた。彼は何ひとつ見逃さなかった。全員を監視していたのだ。普段宮殿に暮らしていた誰かがいなくなることがあれば、彼は理由を強く知りたがった。短時間の訪問のために来ていた者からも満足のいく説明がなされなければならなかった。めったに顔を出さない、あるいは一度も顔を出さない人物は確実に彼の不興を買った。そのような者から好意を求められれば彼は横柄に「その者のことなど知らぬ」と答え、めったに姿を現さない人物に対しては「会ったこともない者だ」と言った。この判断への抗議はあり得なかった。
ルイ14世ほど、好意の与え方によってその価値を高める術を心得ていた人物はいなかった。彼は言葉や微笑み、その一瞥でさえ最大限の効果を引き出した。
ルイ14世はあらゆるものにおいて華麗さ、壮麗さ、豪奢さを好み、宮殿にも同様の美感を求めた。馬車や建物、宴会や招待状に惜しげなくお金を使えば確実に彼の好意を得られたし、もしかするとお褒めの言葉をもらえたかもしれない。この方針の真意は次のことと関係があった。すなわち、高価な習慣を流行とし、一定の地位にある人々にとっては必須とすることで、彼は廷臣たちに収入以上の生活を強いるようになり、次第に生活の糧を彼の恩恵に頼るようになったのだ。
—サン＝シモン公爵『ルイ14世とその宮廷および摂政時代の回顧録』（1750年頃）
上の文書に見られる偏見について、最も適切な説明はどれか?",公爵はフランス貴族の一員としてルイ王に同情的。,公爵はフランス貴族の一員として、貴族を弾圧した国王に偏見を持っている。,公爵はフランス貴族の一員として、フランス国民に対する中央国家の行政的、財政的、軍事的、宗教的支配の拡大を支持した。,公爵はフランス貴族の一員として、ルイ王が貴族の権力を排除する一方で、貴族の社会的地位と法的特権を維持することを支持した。,B
"問題は以下の内容に関するものである。
1914年の大惨事はドイツに責任がある。…ドイツは不運なことに、この問題において、（巧みなごまかしにもかかわらず）極端な行動に出るという特徴的な傾向によって、過剰な率直さに裏切られることを許してしまった。Deutschland über alles。ドイツよ、すべてのものの上にあれ！…そこには、古くからありながらも幼稚な民族の究極の枠組みがある。
ジョルジュ・クレマンソー『Grandeur and Misery of Victory』（1930年）
この文章から読み取れるクレマンソーの考えはどれか?",ドイツが戦争を始めた理由は、流行歌Deutschland über alles（最終的にドイツ国歌となった）の歌詞にあると考えていた,ドイツの攻撃的な態度の証拠は、流行歌Deutschland über alles（最終的にドイツ国歌となった）の歌詞にあると考えていた,ドイツが戦争に負けた理由は、内部から裏切られたから,ドイツが近代戦争の究極の枠組みを提供したと考えていた,B
"問題は以下の内容に関するものである。
ロシアでは何事もうまくいっておらず、（スヴァーリンは）受け取った知らせに絶望していた。昔の仲間たちはみな政治家になっていた。ヨーロッパを震え上がらせた有名なニヒリストたちは、村の司祭や下層中産階級、商人の息子たちであり、民族解放の理念から脱することができず、専制君主を殺せば世界は救われると信じているようだった…
「愚かな！その愚かさでは、決して抜け出せないだろう」。
そして、さらに声を低くして、いくつかの苦い言葉で、友愛という昔の夢を語った。彼は地位も財産も捨て、労働者たちの中に入っていった。ただ一つ、労働者による共同の新たな社会の設立を最後に見届けるという望みのために。彼の所持金のスーはすべて、とうの昔に集落の浮浪児のところに行ってしまった。彼は、坑夫たちに兄弟のように優しく接し、彼らの疑念に微笑み、静かな労働者らしいやり方とおしゃべりを嫌うことで彼らを味方につけた。しかし、断じて融合は起こっていなかった。
彼は声を変え、目を輝かせ、エティエンヌにまっすぐに話しかけた。
「わかるかい?マルセイユの帽子職人たちは、宝くじで10万フランの大当たりを引き当てると、すぐに姿を消してそれを投資して、何もせずに生きていくと宣言したんだ！そう、それが君たちフランス人労働者の考えなのだ。君たちは宝を発掘し、その後、怠惰で利己的な人目につかない場所でそれを独り占めしたいのだ。金持ちを非難するのはいいが、運が運んできた金を貧乏人に返す勇気はない。君たちは何もかも自分のものにしなければ幸福になれないのだ。ブルジョワに対する憎しみは、彼らの代わりに自分もブルジョワになりたいという怒りに満ちた願望から生じているにすぎない」
エミール・ゾラ（フランス人作家）『ジェミナル』（1885年）
この文章を評価する19世紀のロシアの歴史家がもっとも関心を抱いたであろうことはどれか?",フランス文化に対するロシアの関心,鉱夫たちの間の仲間意識,絶え間ない階級闘争の意識,ノーブレス・オブリージュの必要性,C
"問題は以下の内容に関するものである。
フィレンツェは、あなたのヴェネツィアよりも美しく、540年も古い。…私たちの周りには、貴族や商人、市民、職人が所有する3万の土地があり、毎年、パンや肉類、ぶどう酒や油、野菜やチーズ、干し草や薪を産出し、その価値は現金で9千ドゥカートに及ぶ。…私たちには、ヴェネツィアにあるどの4つの市場を合わせたよりも大きな2つの市場、羊毛と絹の市場がある。…私たちの美しいフィレンツェには、市内に…毛織物商のギルドに属する270の店があり、そこからローマ、マルケーズ、ナポリ、シチリア、コンスタンチノープル…そしてトルコ全土に商品が送られている。また、絹織物商のギルドの83の豊かで素晴らしい倉庫もある。
ベネデット・デイ『 ヴェネツィア人への手紙』1472年
この文章から、ルネサンス期のイタリアにおける富は何で測られていたと言えるか?",土地の大きさ,個人が所有する土地の数,商品の貨幣価値,保有する金の量,C
"問題は以下の内容に関するものである。
以下の一組の抜粋は、探検家クリストファー・コロンブスとメキシコ・チアパスのドミニコ会司教バルトロメ・デ・ラス・カサスによって書かれたものである。
資料1
インディアスは売り手が要求するものは何でも与えた。…こうして彼らはばかみたいに綿や金を、弓やグラスやボトル、瓶の破片と物々交換した。私はそれを不当であるとして禁じ、私自身は持参した多くの美しい品々を彼らに与えて見返りには何も貰わなかった。それは、彼らがキリスト教徒になり、国王と王妃、王子たち、そしてすべてのスペイン人に敬意を抱くよう懐柔するためであり、また、彼らが豊富に所有しているが、私たちが非常に必要としているものを探し出し、集め、私たちに届けることに関心を持つように仕向けるためであった。
—クリストファー・コロンブス『ラファエル・サンチェス宛書簡』1493年
資料2
この穏やかな子羊たちに目をつけたのは…彼らが子羊たちを見つけた最初の日からで、スペイン人はひどく飢えた狼か、あるいは何日も肉を食べていない虎や野蛮なライオンのように子羊の群れに襲いかかった。最初に確立されたパターンは変わらないまま今も残っており、いまだにスペイン人が行っているのは、原住民をズタズタに引き裂き、殺害し、数え切れないほどの悲惨と苦しみと苦痛を与え、容赦なく拷問にかけ、蹂躙し、迫害することのみである。この目的のために彼らが発明し、洗練させた数々の独創的な拷問方法については、いずれ述べることにするが、数字を見るだけでもこの方法がいかに効果的であったかは大体お分かりいただけるだろう。スペイン人が初めてイスパニョーラ島を旅したとき、イスパニョーラ島の先住民の人口は300万人ほどだったが、今ではわずか200人しか残っていない。彼らがこのように莫大な数の魂を殺し、破壊する理由は、キリスト教徒には究極の目的があるからだ。それは黄金を手に入れ、ごく短期間で富を膨らませ、その結果、彼らの功績に不釣り合いな高貴な地位に上り詰めることである。
—バルトロメ・デ・ラス・カサス『インディアスの破壊についての簡潔な報告』（1542年）
2つの記述にあるスペイン人と原住民の交流の違いを説明するのに最も適切なものはどれか?",デ・ラス・カサスはアフリカ人奴隷制度の開始を支持するために誇張を行っていた。,コロンブスは著作の中で自分に有利になるよう偏った表現をした。,コロンブスの部下は、後の探検隊よりも原住民に優しかった。,デ・ラス・カサスはスペイン人がアメリカ大陸から去ることを望んでいた。,B
"問題は以下の内容に関するものである。
次の請願書を読んで問題に答えなさい。
混毛機は、貴殿の請願者数千人を失業に追いやり、その結果、彼らは大きな苦境に立たされ、家族の生計を立てることができず、子どもたちが働けるよう育てる機会を奪われている。…リーズの南西約17マイルに広がる混毛機の数は、想像をはるかに超え、170台を下らない！そして、1台の機械が12時間で10人が手作業でできるのと同じだけの仕事をし、…（そして、機械が）1日で20人を雇うのと同じだけの仕事をするのだから、…実に4,000人もの人々が、どのようにして生計を立てるかを変えるために去ることになり、当然ながら、適時に救済されなければ、教区の世話にならなければならない。…こうして雇い止めになった者たちは、どうやって家族を養えばいいのだろうか。また、自分たちの子どもたちに何の技術を学ばせればいいのだろうか。次の世代が浮浪者のようになってあてもなく彷徨うことのないように、仕事を維持できるような。…他にも多くの弊害を列挙することはできるが、利権に偏らない良識ある人々には、このような状況が続くことの恐ろしい傾向がわかるはずである。人口減少が結果として起こり、次に交易が途絶え、地主階級は何も得られず最終的に壊滅させられることになるだけだろう。
『リーズの羊毛産業従事者による請願書』（1786年）
この文書は何を指し示す根拠となり得るか?",18世紀のイギリスの労働者階級の間に革命思想が広まったこと,18世紀のイギリスにおけるラッダイト運動の台頭,18世紀のイギリスの工業化において、伝統的な労働者が機械に取って代わられたこと,18世紀のイギリスにおける児童労働の増加,C
"問題は以下の内容に関するものである。
フィレンツェはあなたのヴェネツィアよりも美しく、540年も古い。…私たちの周りには、貴族や商人、市民、職人が所有する3万の土地があり、毎年、パンや肉類、ぶどう酒や油、野菜やチーズ、干し草や木材を産出し、その価値は現金で9千ドゥカートに及ぶ。…私たちには、ヴェネツィアにある4つの市場を合わせたよりも大きな2つの市場、羊毛と絹の市場がある。…私たちの美しいフィレンツェには、市内に…毛織物商のギルドに属する270の店があり、そこからそのローマ、マルケーズ、ナポリ、シチリア、コンスタンチノープル…そしてトルコ全域に商品が送られている。また、絹織物商のギルドの83の豊かで素晴らしい倉庫もある。
ベネデット・デイ『 ヴェネツィア人への手紙』（1472年）
この文章は、次のルネサンスの文化的特徴として何があった証拠となり得るか?",武芸に長けているという誇り,騎士道精神,市民の誇り,芸術の支援,C
"問題は以下の内容に関するものである。
政府が貧困者の救済総責任者の職を引き受けることは、政府は保護以上のことはできないという原則によって、必然的に禁じられている。市民の要求に応じた苦難を軽減するための拠出金は…国家が…その機能を逆転させることである。…基本法を執行すること、すなわち、すべての人が、他のいかなる人の自由をも等しく侵害しないことを条件として、その人が望むことをすべて行う自由を持つように配慮することである。…（しかし、それは）満足を保証することとはまったく別のことである。…
能力のない者の貧困、軽率な者に襲いかかる苦難、怠け者の飢餓、強者による弱者の肩身の狭さ…これらは、大いなる、遠くを見通す博愛の定めである。…個別にではなく、普遍的な人類の利益と結びつけて考えれば、これらの過酷な運命は最高の恩恵に満ちていることがわかる。
ハーバート・スペンサー『社会統計学: 適者生存の人類への適用』（1851年）
この文章からうかがえるスペンサーが提唱した社会哲学はどれか?",空想的社会主義,社会保守主義,ロマン主義,社会進化論,D
