置換受胎率が達成された後も、人口がずっと増え続ける傾向を何と呼ぶか？, 人口ゼロ成長, 急成長率, 恒常性プラトー, 人口モメンタム,D
移動が距離とともに減少する傾向を何と呼ぶか？,プッシュ要因, プル要因, 距離減衰, 移住選択性,C
バージェスの都市形態の同心円ゾーンモデルにおいて、低所得層のスラム、エスニック・ゲットー、一般的な劣化を含むゾーンはどれか？, 第1 , 第2 , 第3 , 第4,A
女性の労働力に関する次の記述のうち、正しいものはどれか。, ほとんどの女性は農業に従事している , 労働力人口に占める経済活動をしている女性の割合は世界的に減少した , 全労働力人口に占める女性の割合は減少した , 英米とオーストラリアを除くすべての地域で、女性は男性よりも1日あたりの労働時間が長い,D
以下の要因のうち、移住のプル要因と考えられないものはどれか？,安全性, より良い気候, より良い学校, 過密状態,D
次のうち、よく知られた境界線の例を持たない国はどこか？, ベトナム , イギリス , ドイツ , ボリビア,D
他国からの農業労働者が1年間に最も実践しやすい移動形態はどれか？, チェーン移動 , クラスター移動 , 循環移動 , 国際移動,C
ある国の遠心力は次のうちどれか？, 宗教の違い , 国民の祝日 , 他国からの攻撃 , カリスマ的な国家指導者,A
海岸線と河川沿いの早い時期からの定住と高い人口密度は、次のうちどれに最もよく起因しているか？, 地中海性気候 ,限られた森林面積, 製造業の発展 , 交易路へのアクセス,D
人口統計学的変遷の第1段階は、何が見られるか？,高い出生率と変動する死亡率, 出生率の低下と依然として高い死亡率,低い出生率と依然として高い死亡率,高い出生率と減少する死亡率,A
ある人口が親の代わりとなり、早期死亡を補うだけの出生数を持つようになる出生率の水準を示す人口統計は何か？, 粗出生率 ,人口置換水準, 死亡率 , 合計特殊出生率,B
今日、米国で最も急速に成長している宗教は何か？, イスラム教 , キリスト教 , ヒンドゥー教 , 仏教,A
都市中心部がサービスを提供する郊外地域は何と呼ばれるか？, レッドライン地域, 閾値, 範囲, 後背地,D
都市部の定義として最も適切なのは何か？,中心都市とその開発地域。, 中心都市とその周辺の郊外。, 中心都市とその後背地。, 中心都市と隣接する郡。,B
次のうち、最初に発展した宗教はどれか？, 仏教 , キリスト教 , イスラム教 , ヒンドゥー教,D
