米国のGDPに含まれるものは次のうちどれか?I. 米国民がアフリカで製作した映画の市場価値 II.   イタリアで製造され、米国で販売されるオリーブオイルの市場価値。III.   米国で製造され、日本で販売されているブルージーンズの市場価値 IV.   カナダ国民が米国で製造したワインの市場価値,II、 III、IVのみ,IとIIIのみ,IIとIVのみ,IIIとIVのみ,D
短期総供給と総需要の両方が増加するとき、確実に言えることは次のうちどれか?,価格水準は上昇するが、実質GDPは下落する。,物価水準と実質GDPの両方が上昇する。,物価水準は上昇するが、実質GDPの変化は不確実。,実質GDPは上昇するが、物価水準の変化は不確実。,D
関税と割当に関して、正しい記述を選べ。,国内価格の下落を招く。,国内で販売される製品の量を増やすこともあれば、減らすこともある。,国内で販売される製品の量を減らす。,国内で販売される製品の量を増やす。,C
次のうち、国債価格の下落の原因として考えられるのはどれか?,拡張的な金融政策,金融政策の縮小,ドル安,財政赤字削減のための財政政策,B
家計でより多くのお金が資産として要求されるのは以下のどの場合か?,名目GDPが下落する。,名目金利が低下する。,債券価格が下落する。,貨幣供給が減少する。,B
次のうち、配分効率が意味するものはどれか?,劣った製品が生産されないこと,経済の生産物が均等に分配されること,最もよく働く人がより多くの利益を得ること,資源を使って社会が望む財やサービスを適切な量だけ生産すること,D
GDPは以下のどれを測るか?,国の境界内での生産。,どこにいようと国民による生産。,生産要素から得られる所得に、減価償却費と間接事業税を加えたもの。,(A)および(C),D
すべての選択は、経済学者が___と呼ぶ、過去の最良の選択肢をもたらす。,会計上の費用,スイッチング費用,劣後費用,機会費用,D
ある国が自然失業率で運営されている場合に関して、正しい記述を選べ。,循環的失業は存在しない。,インフレ率はゼロ。,構造的失業は存在しない。,その国は不況に見舞われている。,A
ある国の経常収支がマイナスの場合、その国がしなければならないことは以下のどれか?,その金額を取引先に支払う。,資本収支が同程度のプラスの値を持つ。,自国通貨価値を下げる。,自国通貨価値を上げる。,B
次のうち、GDPに計上される取引はどれか?,近所の子供のベビーシッターをすることで得られる現金,違法薬物の販売,漬物メーカーへのキュウリの販売,スーパーマーケットでの1ポンドのトマトの販売,D
名目所得が4％上昇し、実質所得が1％下落した場合、物価水準はどのくらい変化したか?,5％の減少,?％の増加,3％の増加,5％の増加,D
経済Xは柔軟な為替レートを持つ開放経済である。経済 Y は閉鎖経済である。セテリス・パリブスな拡張的金融政策だとすると、以下のうち正しい記述はどれか?,純輸出を増加させるので、Xにおいてより効果的。,純輸出を減少させるので、Xにおいてより効果的。,XとYで等しく効果的。,Xでは純輸出が減少するため、あまり効果的でない。,D
均衡実質GDPは完全雇用をはるかに下回り、政府は世帯課税を引き下げる。考えられる結果はどれか?,失業率は低下し、インフレはほとんど起こらない。,失業率は上昇し、インフレはほとんど起こらない。,失業率は低下し、激しいインフレが起こる。,失業率は上昇し、激しいインフレが起こる。,A
