労働の価格は2ドルで、資本の価格は1ドルである。 労働の限界生産物は200であり、資本の限界生産物は50である。 会社は何をすべきか?,資本を増やし労働を減らして、資本の限界生産物を下げ、労働の限界生産物が上がるようにする。,資本を増やし労働を減らして、資本の限界生産物を上げ、労働の限界生産物が下がるようにする。,資本を減らして労働を増やし、資本の限界生産物を上げ、労働の限界生産物が下落するようにする。,資本を減らして労働を増やし、資本の限界生産物を下げ、労働の限界生産物を上がるようにする。,C
ナッシュ均衡に関して、正しい記述を選べ。,供給曲線は需要曲線と交差する,いずれの当事者も自分の戦略から逸脱するインセンティブを持たない,限界収入曲線は限界費用曲線と交差する,均衡は不安定であり、各当事者は戦略を切り替えたいと考える,B
商品XとYの間の交差価格弾力性は+2.0であると言われている。これにより以下のどのことが言えるか?,商品XとYは通常の商品。,商品XとYは不良品。,XとYは補完財。,XとYは代替財。,D
外部性に関して、正しい記述を選べ。,均衡価格を人為的に高くする,均衡価格を人為的に低くする,市場が均衡に達しないときに存在する,結果としてえ社会にとっての総利益を最大化しない均衡が生じる,D
政府が同じ業界の大企業間の談合を阻止する理由の1つは何か?,談合による生産水準が上昇する傾向にあり、価格が競争水準を上回る。,消費者余剰は、価格が下落するにつれて減少する。,談合による生産水準が低下する傾向にあり、価格が競争水準まで下がる。,共同利益の最大化は、価格が競争水準を上回るにつれて、社会の消費者余剰を犠牲にする。,D
ライバル企業が値下げには追随するが、値上げには追随しない場合、寡占企業が直面する需要曲線を示しているのは次のうちどれか?,完全に水平な需要曲線。,極めて非弾力的な需要曲線。,弾力性の高い需要曲線。,不連続な2つのセグメントからなる需要曲線。,D
賃金差の根拠とならないのは次のうちどれか?,リスクの高い仕事。,人的資本への投資。,SUVの生産台数の増加。,人種差別。,C
特許、資源の管理、規模の経済、独占的ライセンスに関して、正しい記述を選べ。,すべて価格差別の要件,企業が短期的利益を得るために必要,すべて弾力的需要源泉,すべて参入障壁,D
プラスチック製アーミーフィギュアを製造する産業は、あらゆる用途に使用されるプラスチックのごく一部を使用している。このことからアーミーフィギュア産業は以下のどのような産業になる可能性が高いと結論付けることができるか?,費用逓増産業,費用一定産業,費用逓減産業,営利産業,B
長期的には調整可能であるが、短期的には調整不可能な生産投入の例として最も可能性が高いのは、次のうちどれか?,机を作るのに使われる木材の量。,サンドイッチに挟むピクルスの数。,マクドナルドの厨房の広さ。,地方の高校の教員助手の数。,C
リンゴ市場は均衡状態にある。リンゴの生産者がリンゴの生産量を増やすためにより多くの農薬を使用していることを観察したとする。同時に、リンゴの代用品である洋ナシの価格が上昇していると聞く。リンゴの新しい価格と数量に関する予測として妥当なものは次のうちどれか?,価格は上昇するが、数量は曖昧。,価格は下がるが、数量は曖昧。,価格は曖昧だが、数量は上昇する。,価格は曖昧だが、数量は下がる。,C
オレンジジュースの需要曲線が右にシフトするのをもたらす可能性が最も高いのは次のうちどれか?,フロリダでのオレンジの大豊作,Tangの価格の下落,オレンジジュースの将来の価格低下への期待,ジュース愛飲者の将来の収入増加への期待,D
完全競争企業に関する次の記述のうち、正しいものはどれか?,需要は下方に傾斜している。,需要曲線は限界収入曲線の上にある。,価格は市場全体の均衡によって決まる。,平均収益は価格と異なる。,C
経済学者は「キャピタル」という用語を使用し、以下のうちどれを意味するか?,貨幣,工場や設備,中央政府の所在地,経済の中心,B
