これらのうち、電場を発生させる物体から距離が遠くなると、距離の逆二乗分減少するものはどの量か?,有限長の帯電棒が作る電場,無限に長い帯電円柱が作る電場,無限に長い帯電平面が作る電場,無限に長くまっすぐな通電ワイヤーが作る磁場,A
固体の金属物体が他の電荷から隔離され、その表面に電荷が分布している。電荷分布は一様ではない。どのようなことが正確に判断できるか?,物体の外側の電場はゼロ,物体の外側の電場は、物体内部の電場と等しい,物体の外側の電場は、物体の質量中心からの距離に正比例する,物体の外側で、ただし物体の表面に非常に近い電場は、任意の位置の表面電荷密度を自由空間の誘電率で割ったものに等しい。,D
定在波が一定の長さの弦に100Hzの発生器で発生している。弦の張力を新しい定在波が発生するまで増加させる。新しい定在波の波長は、元の定在波の波長より大きくなるか小さくなるか?,弦の張力は波の速度に正比例し、波の速度は波長に反比例するため、小さくなる。,弦の張力は波の速度に正比例し、波の速度は波長に反比例するため、大きくなる。,弦の張力は波の速度に正比例し、波の速度は波長に正比例するため、大きくなる。,弦の張力は波の速度に正比例し、波の速度は波長に正比例するため、小さくなる。,C
二つの同じコンデンサが並列に外部回路に接続されている。両方のコンデンサで同じでなければならない量はどれか? I. コンデンサに蓄えられた電荷 II. コンデンサを通る電圧 III. コンデンサの静電容量,Iのみ,IIのみ,IIとIIIのみ,IとIIとIII,D
粗い表面の傾斜の頂上から、1kgの物体が静止状態から解放される。物体は回転することなく傾斜の底まで滑る。底部での物体の運動エネルギーはどうならなければならないか?,全力学的エネルギーが保存されなければならないため、物体が解放されたときの重力による位置エネルギーと等しくなる。,運動エネルギーの増加が、粗い傾斜で熱エネルギーによって失われた力学的エネルギーを補うので、物体が解放されたときの物体の重力による位置エネルギーと等しくなる。,重力による位置エネルギーが熱エネルギーと運動エネルギーの両方に変換されたため、物体が解放されたときの重力による位置エネルギーより小さくなる。,摩擦力によって加えられた負荷は物体が得た運動エネルギーより大きくなければならないため、物体が解放されたときの重力による位置エネルギーより小さい。,C
ある学生が、ばね定数kと振幅Aの単純なバネとブロックによる振り子を使って実験をしている。バネに取り付けられたブロックの質量はmである。学生が元のブロックの上に質量mの小さなブロックを置いた場合、次のうちどれが正しいか?,小さなブロックは、元のブロックが平衡位置から最大変位しているときに滑り落ちる可能性が最も高くなるが、ブロック間の静止摩擦係数がkA/[(M+m)g]より大きい限り、滑り落ちることはない。,小さなブロックは、元のブロックが平衡位置にあるときに滑り落ちる可能性が最も高くなるが、ブロック間の静止摩擦係数がkA/[(M+m)g]より大きい限り、滑り落ちることはない。,小さなブロックは、元のブロックが平衡位置から最大変位しているときに滑り落ちる可能性が最も高くなるが、ブロック間の静止摩擦係数が(M+m)g/(kA)より大きい限り、滑り落ちることはない。,小さなブロックは、元のブロックが平衡位置にあるときに滑り落ちる可能性が最も高くなるが、ブロック間の静止摩擦係数が(M+m)g/(kA)より大きい限り、滑り落ちることはない。,A
10µFのコンデンサを100Vの電位差まで充電するのに必要な仕事量はどれか?,0.005J,0.01J,0.05J,0.1J,C
質量mの箱が水平面上を初速v0で滑る。箱は重力と表面からの力以外には何の影響も受けない。箱と表面との間の動摩擦係数をμとすると、箱が静止するまでに滑る距離はどのようになるか?,v0^2/(2μg),v0^2/(μg),2v0^2/(μg),mv0^2/(μg),A
地面に静止しているサッカーボールを、初速10m/sで、打ち出し角30°で蹴る。空気抵抗は無視できると仮定して、その総飛行時間を計算しなさい。,0.5秒,1秒,2秒,4秒,B
2つの同じ容器に異なるガスが充填されている。容器1には水素を入れ、容器2には窒素を入れた。それぞれの容器を実験台の上に置き、部屋と熱平衡になるようにする。2つの気体の性質を正しく比較したものはどれか?,水素ガスの平均運動エネルギーは窒素ガスより大きい。,水素ガスが容器に及ぼす平均力は、窒素ガスより大きい。,水素ガスの密度は窒素ガスより小さい。,それぞれの容器に含まれる分子の数がわからないと、ガスの圧力は比較できない。,D
