誇大妄想は次のうちどれに最も特徴的か?,強迫性障害,統合失調症,転換性障害,反社会性パーソナリティ障害,B
アブラハム・マズローは、ある動機は他の動機よりも生存に不可欠であるという考えを提唱した。これを表現しているのは次のうちどのアプローチか?,恒常性調節,目標設定,期待値,欲求階層説,D
テストの作成と評価において、妥当性とは、テスト＿＿＿＿＿＿度合いを指す。,が測定すると称するものを測定する,の連続した実施で一貫した結果が得られる,が実施され、統計的に分析されている,に一般集団の代表的なサンプルに基づいた規範が含まれている,A
 Larry P. v. Riles 事件で確立された判例は、次のうちどの結果をもたらしたか?,障害のある生徒に対する無償で適切な公教育の提供,英語学習者に対するバイリンガル教育の提供,人種によって差別されないテストを提供する責任を学校に負わせる,男女の運動部活動に同様の資金を割り当てる,C
クローン集団の形質の遺伝率は?,0%,25%,50%,75%,A
次の統計量のうち、スコア分布がどの程度広がっているかについての情報を最も多く提供するものはどれか?,分散,平均,範囲,中央値,A
全米学校心理士協会（NASP）が発表した学校心理学における監督という見解によると、学区で監督を行う学校心理士について、最も正しいのは次のうちどれか?,彼らは、完全な資格や免許を持たない学校心理士と学校心理学実習生にのみ監督を提供する必要がある。,専門的な監督は行うが、管理的な監督は行わない。,学校心理士として1年間の経験があれば、監督者を務める資格がある。,米国公認の学校心理士の資格または州の学校心理士の資格を持っていなければならない。,D
ダンは30個の単語リストを1回だけ読んだ。もし彼が典型的な系列位置効果を示すなら、2日後に彼が覚えている単語は、次のうちどれと予想できるか?,リストの最初にある,リストの真ん中にある,リストの最後にある,リスト全体に分布している,A
乳幼児期、児童期、青年期、成人期、老年期における経験が、その後の人格特性にどのように影響するかを説明した発達段階説は次のうちどれか?,ピアジェの認知発達理論,エリクソンの心理社会的段階理論,コールバーグの道徳性発達理論,エインズワースの社会的愛着理論,B
カレッジボードが5月に実施するAP心理学試験は、次のうちどのタイプのテストに該当するか?,適性,投影,達成,知能,C
奥行きを知覚する能力は、主に他のどの知覚能力に依存しているか?,近接性と類似性,トップダウン処理とボトムアップ処理,両眼手がかりと単眼手がかり,大きさと形の恒常性,C
