"新しいジェットコースターの待ち時間は、平均35分、標準偏差10分の正規分布である。最初の夏に150,000人の乗客がいた場合、100,000人の乗客に関連する最も短い時間間隔は次のうちどれか?",0分～31.7分,31.7分～39.3分,25.3分～44.7分,25.3分～35分,C
次の記述のうち、すべての離散確率変数について正しくないものはどれか?,可能な結果はすべて数値でなければならない。,可能な結果は互いに排他的でなければならない。,平均値（期待値）は常に、各値に対応する確率を掛けて得られる積の和に等しい。,結果の約95%は平均の2標準偏差以内にある。,D
仮説検定について正しい記述はどれか?,10%水準で帰無仮説を棄却する十分な証拠があれば、5%水準でもそれを棄却する十分な証拠がある。,片側検定を使用するか両側検定を使用するかは、通常データが収集された後に決定される。,仮説検定が1%水準で行われる場合、帰無仮説を棄却する確率は1%。,検定の検出力は、対立仮説を検出する能力に関係する。,D
外れ値とは次のうちどのオブザベーションのことか?,データセット中の他のオブザベーションよりも頻繁に見られるオブザベーション,データセット中の他のオブザベーションよりも少ない頻度で見られるオブザベーション,データセット中の他のオブザベーションよりも常に小さいオブザベーション,データセット中の他のオブザベーションと有意に異なるオブザベーション,D
"ある学校の校長は、生徒の1世帯あたりの平均所得を推定することに関心がある。彼女は、生徒の無作為標本を選び、彼らの世帯収入に関する情報を収集する。このデータから計算された1世帯あたりの平均所得に対する95%信頼区間は、($35,095, $45,005)である。この信頼区間の解釈として最も適切なものはどれか?","彼女の学校の生徒の95パーセントは、収入が35,095ドルから45,005ドルの家庭の生徒。","この学校の生徒全員の家庭の所得が35,095ドルから45,005ドルの間にある確率は95%。","同じ大きさの別のサンプルを取って95%信頼区間を計算すると、95%の確率で区間($35,095, $45,005)が得られる。","95%の確率で、この学校の1家族あたりの平均所得は$35,095から$45,005の間。",D
研究者は有意水準0.05を用いて実験を行っている。帰無仮説は実際には偽である。各処置に2倍の実験単位を使うように実験を修正した場合、次のうちどれが正しいだろうか?,タイプIエラーの確率とタイプIIエラーの確率はともに減少する。,タイプIエラーの確率と検出力はともに増加する。,タイプIIエラーの確率と検出力はともに増加する。,タイプIエラーの確率は変わらず、検出力が増加する。,D
成人男性の平均身長は70インチ、標準偏差は4インチ。成人女性の平均身長は66インチ、標準偏差は3インチ。身長74インチの男性と身長70インチの女性では、どちらが異常に背が高いか?,両グループの平均身長が異なるので、断定できない。,両グループの身長の標準偏差が異なるので、断定できない。,男性。男性の身長は74インチで、女性は70インチしかないから。,女性。女性の身長は女性全体の平均身長より1.33標準偏差高いのに対し、男性の身長は男性全体の平均身長より1標準偏差のみ高いだけだから。,D
t分布について正しくないものはどれか?,df（自由度）の値によって異なるt分布がある。,t分布は釣鐘型で対称。,t分布は常に平均0、標準偏差1。,t分布は正規分布よりも広がっている。,C
反応時間に対するアルコールの影響を調べるため、被験者を無作為に選び、ビールを3本飲ませた。アルコールを飲む前と飲んだ後で、単純な刺激に対する反応時間を測定した。正しい記述はどれか?,この研究は観察研究である。,ブロッキングが欠如しているため、この研究は十分にデザインされていない。,プラセボ効果はこの種の研究には関係ない。,この研究は実験であり、被験者が自分自身のコントロールとして用いられた。,D
バイアスを正しく説明しているのはどれか?,平均的に高すぎる、または平均的に低すぎる推定値を生み出すプロセスを説明するもの。,母集団を代表しないサンプルが得られるプロセスを説明するもの。,サンプリング・プロセスにおける無作為化の欠如を説明するもの。,母集団を代表しないサンプルを説明するもの。,A
顔用ティッシュを製造しているある会社は、ティッシュの強度を継続的にモニターしている。サンプルデータから得られた平均強度が指定されたレベルを下回った場合、生産工程は停止され、機械は検査される。タイプIエラーになるのはどれか?,顧客から十分な苦情があった場合、生産工程を停止する。,ティッシュの強度が仕様を下回った場合、生産工程を停止する。,ティッシュの強度が規格内である場合に、生産工程を中止する。,ティッシュの強度が仕様を下回った場合に、生産工程を継続させる。,C
ある地域に住む人々の寿命の標準偏差は14歳である。もし30％の人が75年以上生きるとしたら、平均寿命は何歳か?寿命の正規分布を仮定する。,75 - 0.30(14),75 + 0.30(14),75 - 0.4756(14),75 - 0.5244(14),D
母集団割合の90%信頼区間推定値から99%信頼区間推定値に変更すると、他のすべての条件が等しい場合、区間サイズはどのようになるか?,区間サイズが9%増加する,区間サイズが9%減少する,区間サイズが57%増加する,区間サイズが57%減少する,C
次のうち二項確率変数はどれか?,公正なダイスを投げて「5」が出るまでの回数。,ホッケーチームが10試合で獲得する勝ち点の数（勝ちには2点、引き分けには1点、負けには0点が与えられる）。,52枚のカードから非復元抽出でランダムに引いた5枚のカードのうち、ハートの数。,5人の運転手から無作為に抽出したシートベルトをしていない運転手の数。,D
他のすべての変数が一定である場合、仮説検定の検出力を高めるのは次のうちどれか?I.標本サイズを大きくする。II.有意水準を上げる。III.タイプIIエラーの確率を増加させる。,Iのみ,IIのみ,IIIのみ,IとII,D
次の記述のうち正しいものはどれか?I.χ2検定を使うには、一元表または二元表の各セルの期待値が少なくとも5でなければならない。II.χ2検定を使用するには、自由度が少なくとも2でなければならない。III.4×2 の二元表では、自由度は3である。,Iのみ,IとIII のみ,IとIIのみ,IIIのみ,B
2つの事象EとFが、それぞれ確率pとqが0でないとする。次のうち不可能なものはどれか?,p + q > 1,p - q < 0,p /q > 1,EとFはともに独立で、互いに排他的。,D
ハイウェイ48で毎日事故が起こる確率は天候に左右される。その日の天候が乾燥していれば、ハイウェイ48で事故が起こる確率は0.2％であり、その日の天候が雨であれば、事故が起こる確率は1.0％である。今日、気象台は雨になる確率は20%だと発表した。今日、ハイウェイ48で事故が起こる確率は何％か?,0.0004,0.0016,0.002,0.0036,D
二項分布は、次のうちどのモデルとして適切か?,ダウ・ジョーンズ平均がその日の開始時の平均を上回った1時間の分数。,ニューヨーク州の10大都市のうち、ある日の天候がほとんど曇りである都市の数。,10人のドライバーが連続して警察の検問で止められた場合、シートベルトを着用しているドライバーの数。,上記のどれでもない。,D
"2つの変数XとYについてデータを収集し、最小二乗回帰直線をデータに当てはめた。このデータの推定方程式はy = -2.29 + 1.70xである。ある点はx = 5, y = 6である。この点の残差は?",7.91,6.21,0.21,-0.21,D
平均の推論手順でzの代わりにtを使うべき理由を説明するものはどれか?,中心極限定理は割合には適用されるが、平均には適用されない。,比率はほぼ正規分布なので、割合にはzを使う。平均はそうではない。,標本比率の標本分布はほぼ正規分布であるが、標本平均の標本分布はそうではないので、比率にはzを使う。,母集団の標準偏差を推定するために標本の標準偏差を使用する場合、統計量の標本分布により多くの変動が導入される。,D
標本調査でバイアスを減らす可能性が最も低いのはどれか?,初回調査に回答しなかった人にフォローアップを行う,回答に影響を与えないよう、中立的な立場で質問を行う,単純無作為抽出ではなく、層化無作為抽出を行う,標本を無作為に選択する,C
あるAP統計クラスの生徒が最初の試験に向けて平均4時間、標準偏差1時間勉強した。ほぼ全員がその試験で悪い結果を出したので、2回目の試験に向けてはすべての生徒が10時間勉強した。各試験で生徒が勉強した時間数の相関は何時間か?,-1,0,0.4,1,B
"ある都市の住宅の評価額の平均は125,000ドル、標準偏差は23,000ドルである。新しい教員契約のため、学区は前年度より10％余分に資金を必要としている。この追加資金を調達するため、市はすべての家屋の評価額を5,000ドル引き上げるよう査定事務所に指示した。市内の家屋の評価額の新しい標準偏差はいくらになるか?","23,000ドル","25,300ドル","28,000ドル","30,300ドル",A
"ある大企業は、ニュージャージー州とユタ州の2カ所にオフィスを構えている。ニュージャージー州オフィスの事務員の平均給与は28,500ドル。ユタ州のオフィスの事務員の平均給与は22,500ドルである。ニュージャージー州のオフィスには128人の事務員がおり、ユタ州のオフィスには32人の事務員がいる。この会社の事務員に支払われる給与の平均はいくらか?","22,500ドル","23,700ドル","25,500ドル","27,300ドル",D
単純無作為標本に関する次の記述のうち、誤っているものはどれか?,単純無作為標本と間違いなくみなされるには、標本はそれなりに大きくなければならない。,標本の検査では、それが単純無作為標本であるかどうかの指標は得られない。,単純無作為標本の属性は、母集団の属性と大きく異なる場合がある。,母集団のどの要素も選ばれる確率は等しい。,A
ある電話会社の重役が、新しい料金パッケージのアイデアについて意見を聞くため、同社のサービスを利用している顧客104人に連絡するようアソシエイトに指示した。アソシエイトは、名前がAで始まる顧客の数を記録し、乱数表を使ってその中から4人の名前を選ぶ。次に、アルファベットの各文字について同じ手順を行い、4 × 26 ＝104の結果を組み合わせて、連絡を取るグループにまとめる。正しい結論はどれか?,彼女の手順は偶然性を利用している。,彼女の手順は単純無作為標本になる。,各顧客が調査に含まれる確率は等しい。,彼女の手順では、サンプリング・エラーによってバイアスが生じる。,A
"ある会社は3つの投資スキームから選択することができる。オプションⅠは、25,000ドルのリターンが確実に得られる。オプションⅡは、50％の確率で50,000ドルのリターンがあり、50％の確率で10,000ドルのリターンがある。選択肢IIIは、5％の確率で100,000ドルのリターンがあり、95％の確率でリターンはゼロである。会社はどの選択肢を選ぶべきか?",期待リターンを最大化したいのであれば、オプションII,延滞しているローンの返済に少なくとも2万ドル必要なのであれば、オプションI,延滞しているローンの返済に少なくとも8万ドル必要なのであれば、オプションIII,上記の答えはすべて正しい。,D
サイズ14の標本に基づく母平均に関する仮説の片側検定で、0.075のP値が得られた。このP値が得られるt値の範囲を最もよく表しているのはどれか?,1.345 < t < 1.761,1.356 < t < 1.782,1.771 < t < 2.160,1.350 < t < 1.771,D
有料オンライン音楽ストリーミング・サービスの社長が、過去12ヶ月間に入会した顧客に関する追加情報を収集したいと考えている。同社は、現在の顧客のサンプルに電子メールでアンケートを送り、アンケートに回答すると、参加者はストリーミング・サービスを1ヶ月間無料で利用できるというリンクを貼る予定だ。同社は、音楽の好みが地域によって異なることを知っている。次のサンプル・プランのうち、顧客を最も代表するサンプルを作成できるのはどれか?,先月入会した顧客全員を選ぶ。,過去12ヶ月間に入会したすべての顧客のリストを作成し、そのリストから無作為にサンプルを選ぶ。,過去12カ月に加入した全顧客のリストから、顧客を住んでいる州別に分類し、各州から10人ずつ選ぶ。,過去12カ月に加入した全顧客のリストから、顧客を住んでいる州別に分類し、各州から3％を選ぶ。,D
人口比率に対して94%の信頼区間を構築する必要がある。この区間を構築するために使用されるzの上限臨界値はいくつか?,0.9699,1.96,1.555,1.88,D
ある地方の学校には7人の数学教師と7人の英語教師がいる。彼らの平均給与を比較するとき、最も適切なのはどれか?,母集団の平均に関する2標本のz検定,母集団の平均に関する2標本のt検定,差集合に関する1標本のz検定,上記のどれもが適切ではない。,D
アトランタ空港にある小さなキオスクでは、3.99ドルから29.99ドルの価格帯の土産物を扱っており、平均価格は14.75ドルである。空港当局は、キオスクの賃貸料を5％値上げすることを決定した。家賃の値上げ分を補うため、キオスクのオーナーは全商品の価格を50セント値上げすることにした。その結果、次のうちどれが起こるか?,平均価格と価格の幅が50セント上がる。,平均価格は変わらないが、価格の幅は50セント増える。,平均価格と価格の標準偏差が50セント上がる。,平均価格は50セント上がるが、価格の標準偏差は変わらない。,D
地元のフードバンクのディレクターは、11月中に提供されたすべての寄付に関するデータを求めている。受け取った100枚の小切手のうち、平均寄付額は155ドルで、標準偏差は32ドルである。次のうち、最も適切な文はどれか?,この11月の平均寄付額は155ドル。,この11月の寄付金の50％は155ドル以上。,11月の平均寄付額は約91ドルから219ドルの間であることは95%確実。,11月の平均寄付額は約149ドルから161ドルの間であることは95％確実。,A
中心極限定理を説明するものはどれか?I.xの標本分布の平均は母集団の平均と同じである。II.xの標本分布の標準偏差は、xの標準偏差を標本サイズの平方根で割ったものと同じである。III.標本サイズが大きければ，xの標本化分布の形はほぼ正規分布である。,Iのみ,IとIIのみ,IIのみ,IIIのみ,D
ある大都市が、周辺の郡の一部を併合しようとしていた。地元の新聞社が実施したアンケートでは、回答者の58％が併合に反対と答えた。実際の投票では、有権者全員が投票したわけではないが、回答者の56％が併合に反対した。新聞の世論調査と投票そのものから得られたパーセンテージの違いを説明するのに最も適切なものはどれか?,これは無回答バイアスの一例であり、特定の特徴を持つ個人が調査の質問に対する回答を拒否する系統的な傾向。,調査対象者の非ランダム抽出によって生じる、統計量とパラメータとの間の系統的な差。,2つの異なるサンプルから計算された同じ統計量での違い。,無作為標本の使用による統計量と真実との間の差。,C
"ある店主が、日曜日が定休日であることについて顧客から何度か苦情を受けた後、アンケートを実施することにした。彼は無作為に100人の女性客と120人の男性客を選び、「日曜日にこの店で買い物をすることに興味がありますか?」と尋ねた。彼は「はい」と答えた客の数を数え、日曜日に買い物をすることに賛成の男性客の割合から女性客の割合を引いて、その差の95％信頼区間を作った。その結果、区間は(-0.23, -0.18)となった。この区間の解釈として正しいものはどれか?",日曜日に買い物をすることに関心のある女性の割合は、日曜日に買い物をすることに関心のある男性の割合を上回ることは95％確実。,日曜日に買い物をすることに興味がある男性の割合は、日曜日に買い物をすることに興味がある女性の割合を上回ることは95％確実。,日曜日に買い物に興味がある女性の割合は、日曜日に買い物に興味がある男性の割合と等しいことは95%確実。,この区間は負の値を含むので無効であり、解釈すべきではない。,A
実験と観察研究の主な違いはどれか?,実験はヒトを対象としてのみ実施されるが、観察研究はヒト以外でも実施できる。,実験では、研究者はある変数を操作して、応答変数への影響を観察する。観察研究では、研究者は単に観察し、観察を記録する。,実験では、無作為化した治療群と対照群を用いなければならない。観察研究でも治療群と対照群を用いるが、無作為化する必要はない。,実験は二重盲検でなければならないが、観察研究は二重盲検である必要はない。,A
確率変数Xは正規分布しており、平均は25、標準偏差は4である。この分布の四分位範囲は次のうちどれか?,25.00 - 22.30 = 2.70,27.70 - 22.30 = 5.40,27.70 ÷ 22.30 = 1.24,2.00(4.00) = 8.00,B
任意の2つの事象AとBについての次の記述のうち、正しいものはどれか?,P(A∪B)は事象AとBが独立であることを意味する。,P(A∪B)=1は、事象AとBが相互に排他的であることを意味する。,P(A∩B)=0は、事象AとBが独立であることを意味する。,P(A∩B)=0は、事象AとBが相互に排他的であることを意味する。,D
"ある会社には400人の従業員がいる。彼らの平均所得は20,500ドルであり、所得の標準偏差は3,750ドルである。所得の分布は正規分布である。従業員400人のうち、所得が13,000ドルから28,000ドルの間にあると予想されるのは何人か?",50,100,200,390,D
CNNで報道されたように、1999年5月の全国世論調査では、高校生の43％が学校に行くことに恐怖を感じていた。この世論調査の誤差が5％であることの意味を最もよく表しているものはどれか?,学校に行くのが怖いという高校生の本当の割合は、38％から48％の間である可能性が高い。,世論調査への参加を拒否した生徒が5％いた。,調査対象者の38％から48％が学校に行くことを恐れている。,43％という結果は0.05の確率で誤り。,A
あなたの高校でAP統計学を履修している男女生徒のAP統計学の試験結果を比較したいとする。必要なデータを集めるのに最も適切な手法はどれか?,全数調査,標本調査,実験,観察研究,A
ある研究では、クラスの半数に1日きっかり1時間テレビを見るように指示し、残りの半数には1日5時間見るように指示して、クラスの成績を比較した。もう1つの研究では、あるクラスの生徒が、テレビの使い方とクラスの成績について尋ねるアンケートに答えた。以下のうち正しいものはどれか?,最初の研究は対照群のない実験であり、2番目の研究は観察研究であった。,最初の研究は観察研究であり、2番目の研究は対照実験であった。,両研究とも対照実験であった。,両研究とも観察研究であった。,A
生徒数1650人の高校では、132人が株式市場に個人投資をしている。この学校の生徒の株式投資総額を推定するために、2つのプランが提案されている。プランIは、無作為に30人の生徒を標本抽出し、彼らの平均投資額の信頼区間推定値を求め、この区間の両端に1650を掛けて総投資額の区間推定値を得る。プランIIは、市場に投資している132人の中から無作為に30人の学生を標本抽出し、彼らの平均投資額の信頼区間推定値を求め、この区間の両端に132を掛けて投資総額の区間推定値を得る。この学校の生徒による株式市場投資の総額を推定するためのより良い計画はどちらか?,プランI,プランII,どちらのプランも無作為標本を使用しているので、同等の結果が得られる。,どちらのプランも正確な推定はできない。,B
サンプリング・エラーが起こるのは次のどの場合か?,インタビュアーがバイアスにつながるミスを犯した場合,母集団のパラメータを推定するために標本統計量を使用した場合,インタビュアーが無作為の選択ではなく、判断で標本を選んだ場合,サンプルが小さすぎる場合,B
第20問の回帰分析では、「R-sq = 98.1%」と示した。次のうち正しいのはどれか? I. 説明変数と応答変数の間には強い正の線形関係がある。II. 説明変数と応答変数の間には強い負の線形関係がある。III. 応答変数の変動の約98%は、説明変数の回帰で説明できる。,IとIII のみ,IまたはIIのみ,IまたはII（両方ではない）とIII,IIとIII のみ,C
あるクリニックで、50人の睡眠障害患者を無作為に2つのグループのいずれかに割り当てる。一方のグループには就寝前に薬が投与される。もう一方のグループの患者には目隠しをし、就寝時にソフトな音楽を聴かせる。それぞれの患者には呼吸パターンを記録する機械が取り付けられる。そのパターンから、患者が起きているのか眠っているのかを判断することができる。このデータは、睡眠障害の患者を助けるのにどちらの方法が効果的かを決めるために使われる。次の記述のうち、この実験の文脈で正しいものはどれか?,この実験には人間被験者が関与しているため、単盲検や二重盲検にすることは不可能。,実験者は、薬も目隠しもソフト音楽も受けなかった対照群を含まなかったので、これは単盲検実験にすぎない。,これは単盲検実験に過ぎない。なぜなら、患者は自分がどの治療を受けているか知っているが、診察している医師は知らないかもしれないから。,これは二重盲検実験である。なぜなら、実験者は両群の患者が、もう一方の群がどのような治療を受けているかを知ることを防ぐことができたから。,C
反復ストレス障害を予防するための新しいスタイルのキーボードを試験する研究を行った。このような損傷の問題を抱えている被験者を、従来のキーボードを使用する群または新しいデザインのキーボードを使用する群に無作為に割り付けた。新しいキーボードを使用している人の方が、従来のキーボードを使用している人よりも損傷を受ける割合が少ないという対立仮説を用いて、有意性検定を実施した。得られたP値は0.07であった。このP値の正しい解釈はどれか?,帰無仮説は棄却されるべき。,帰無仮説を受け入れるべき。,帰無仮説が正しい確率は7%。,新しいキーボードが実際に損傷を防ぐのに優れていない場合、2つのグループ間で少なくとも観察された差と同じ大きさの差が得られる可能性は7%。,D
ある大学の入試担当者は、AP統計学を履修した高校志願者と履修していない高校志願者のSAT数学スコアを比較することに興味を持っている。彼女はAP統計学を履修した5人の志願者と履修しなかった5人の志願者のファイルを無作為に抽出し、2つのグループの平均SAT数学スコアを比較するためにt検定を行う。必要な仮定はどれか?,各群の母分散は既知。,各群の母分散は未知。,2群の母分散は等しい。,各群のSATスコアの母集団は正規分布している。,D
P(E)=0.32、P(F)=0.15、P(E∩F)=0.048とすると、正しい結論はどれか?,EとFの事象は両方とも独立であり、相互に排他的。,EとFは独立でも排他的でもない。,EとFの事象は相互に排他的であるが、独立ではない。,EとFの事象は独立しているが、相互に排他的ではない。,D
ある医学研究チームは、3種類の用量の実験的抗がん剤を用いて、患者サンプルの腫瘍縮小を検査する。次のうち、正しいものはどれか?,3つの説明変数と1つの目的変数がある。,1つの説明変数と3つの応答水準がある。,腫瘍縮小が唯一の説明変数であるが、異なる用量に対応する3つの目的変数がある。,1つの説明変数に3つの水準がある。,D
ある大型モールのデパートは、モールの訪問者の60%以上がその店で買い物をすると主張している。 p=その店で買い物をするモールの訪問者の割合とする。この主張を裏付けるためには、次の仮説のうちどれを用いるべきか?,H0: p ≤ 0.60かつHa: p > 0.60,H0: p = 0.60かつHa: p 0.60,H0: p = 0.60かつHa: p < 0.60,H0: p > 0.60かつHa: p 0.60,A
相関rの値に影響を与えるものはどれか?,測定単位の変更,どの変数をxと呼び、どの変数をyと呼ぶかの変更,x変数のすべての値に同じ定数を加える,上記のどれもrの値に影響を与えない。,D
一般に、標本サイズを3倍にすると、信頼区間のサイズはどのように変わるか?,区間のサイズが3倍になる。,区間のサイズが1/3になる。,区間のサイズが1.732倍になる。,区間のサイズが1.732分の1になる。,D
2つの変数間の相関がr=0.19であると仮定する。 x変数のすべての値に0.23を加算し、y変数のすべての値を2倍にして、2つの変数を入れ替えた場合、新しい相関関係はどうなるか?,0.19,0.42,0.84,-0.19,A
AP統計クラスの生徒が、一連の数学的難問を解いている間に秒単位でタイムを計った。ある生徒のタイムはz = 2.40という標準化スコアであった。時間をすべて分に変えた場合、その生徒の標準化スコアは何点になるか?,z = 0.04,z = 0.4,z = 1.80,z = 2.40,D
木製玩具の耐久性に及ぼす3種類の塗料の影響を試験する実験を行った。男の子と女の子ではおもちゃで遊ぶ方法が異なる傾向があるため、無作為に選択した小児群を性別によって2群に分けた。この実験について、正しい説明はどれか?,3種類の塗料と2つの性別群があり、この実験では合計6つの処理の組み合わせが得られた。,塗料の種類はブロック因子。,性はブロック因子。,これは完全無作為化計画。,C
学生の1日の学習時間とGPAの間にr=0.9の相関があるとする。妥当な結論はどれか?,勉強する生徒の90％は高い成績を取る。,高い成績を取る生徒の90%はよく勉強している。,GPAのばらつきの90%は1日の学習時間のばらつきで説明できる。,GPAのばらつきの81%は1日の学習時間のばらつきで説明できる。,D
エストレヤは救急救命士になりたいと思い、選考試験を受ける。この試験の得点は、これまでの数年間、ほぼ正規分布している。試験は平均80点、標準偏差9点で標準化されており、試験で上位15％に入った者だけが、さらなる評価のために再招待される。エストレヤはテストで90点を取った。テストでの彼女のパーセンタイルランクはどれか?また、彼女はさらなる評価を受ける資格があるか?,13.35。資格はない。,54.38。資格はない。,86.65。資格がある。,84.38。資格はない。,C
激しい運動が安静時心拍数を低下させるかどうかを調べるために、ボランティアのグループの半分を無作為に選んで毎朝1時間運動させ、残りの半分は運動をしないように指示する研究が行われている。この研究は実験か観察研究か?,対照群と盲検化を伴う実験,ブロッキングを伴う実験,比較と無作為化を伴う観察研究,上記のいずれでもない,D
"市販のナイアシンも処方薬のリピトールも血中コレステロール値を下げることが知られている。ある二重盲検試験では、リピトールがナイアシンを上回った。平均コレステロール値低下の差の95％信頼区間推定値は（18, 41）であった。妥当な結論はどれか?",ナイアシンはコレステロールを平均18ポイント下げるが、リピトールは平均41ポイント下げる。,リピトールが、どの患者のコレステロール値を低下させる上でもナイアシンをしのぐ確率は0.95。,リピトールが、ある人のコレステロール値を低下させる上で、ナイアシンよりも少なくとも23ポイント優れている確率は0.95。,上記のどれでもない。,D
"ある品種のオレンジ50個を無作為に選び、重量を測定した。この品種のオレンジの平均重量を推定するために標本重量から計算された95％の信頼区間は、（7.58, 8.72）オンスである。使用された信頼水準に関する次の記述のうち、正しいものはどれか?",同じ大きさのオレンジを繰り返しサンプリングした場合、その間隔の95%にはこの品種のオレンジの真の平均重量が含まれる。,同じ大きさのサンプリングが繰り返された場合、構築された区間の95パーセントは、サンプリングされたオレンジの平均重量を含む。,このサンプルのオレンジの95パーセントは7.58オンスから8.72オンスの間の重さ。,この品種のオレンジの95パーセントは7.58オンスから8.72オンスの間の重さ。,A
公正なコインを使ったゲームが2つある。最初のゲームでは、表が出た割合が45％から55％であれば賞品がもらえる。二番目のゲームでは、80％以上の割合で表が出れば勝ちとなる。それぞれのゲームにおいて、あなたはコインを30回投げるのと300回投げるのでは、どちらがよいか?,1ゲームにつき30回,1ゲームにつき300回,1ゲーム目は30回、2ゲーム目は300回,1ゲーム目は300回、2ゲーム目は30回,D
ある会社が、2つの異なる拠点における営業担当者1人当たりの平均売上高を比較したいと考えている。マネージャーは、各拠点から10人の営業担当者を無作為に抽出し、各担当者が過去4週間に上げた売上高を記録する。彼は、2つの拠点の平均売上高を比較するためにt検定を使用することに決めた。t検定が有効であるために必要な仮定はどれか?,両拠点の母標準偏差は等しい。,両拠点の母標準偏差は等しくない。,両拠点の母標準偏差は既知である。,各拠点の販売記録の母集団は正規分布している。,D
H0: μ = 25対Ha: μ < 25という形式の独立した検定を、それぞれα = 0.05有意水準で10回行ったとする。10回の検定のうち少なくとも1回で第一種過誤を犯し、真のH0を誤って棄却する確率は何％か?,0.05,0.40,0.50,0.60,B
ある電子部品は60％が3年以上使用できる一方、70％は6年未満の寿命であるとする。正規分布と仮定して、これらの部品の寿命に関する平均と標準偏差はいくらか?,"μ = 3.677, σ = 3.561","μ = 3.977, σ = 3.861","μ = 4.177, σ = 3.561","μ = 4.377, σ = 3.261",B
ある心理学者は、子どもの良い行動を促すには、悪い行動に対する罰よりも、適切な行動に対する肯定的な報酬の方が効果的だと考えている「適切な行動」の尺度が開発される。μ1=肯定的報酬を受ける子どもの「適切な行動」評価、μ2=罰を受ける子どもの「適切な行動」評価である。H0：μ1-μ2=0とすると、HAの記述として適切なものはどれか?,HA: μ1- μ2> 0,HA: μ1- μ2< 0,HA: μ1- μ2≠ 0,上記のどれかが、与えられた帰無値の代替案として受け入れられる。,A
n世帯の無作為標本における毎月の食料品支出から信頼区間推定値を求める。次のうち、誤差が小さくなるのはどれか?I.信頼水準が小さい。II.標本の標準偏差が小さい。III.標本サイズが小さい,IIのみ,IとII,IとIII,IIとIII,B
実験計画で重要でないのはどれか?,交絡変数のコントロール,被験者を異なる治療に割り当てる際の無作為化,プラセボ効果をコントロールするための交絡変数の使用,十分な数の被験者を用いた実験の反復,C
正しい記述はどれか?,第二種過誤の確率は第一種過誤の確率に依存しない。,仮説検定では、タイプIとタイプIIのエラーを同時に犯す可能性がある。,データが正規分布していると誤って仮定すると、タイプIIエラーが生じる。,有意水準αを選ぶと、第一種過誤の確率をちょうどαに設定することになる。,D
母集団における60パーセンタイルと40パーセンタイルの得点の差として新しい測定値を定義する。この測定は、次のいずれに関する情報を与えるか?,中心傾向。,可変性。,対称性。,歪度。,B
次のうち、二項検定で必要とされないものはどれか?,各試行は成功か失敗のどちらかとみなされる。,各試行が独立である。,対象の確率変数の値が、最初の成功が起こるまでの試行回数である。,試行回数が固定である。,C
ある出版社が書籍の発送に標準的な箱を使っていた。一箱に詰められた本の平均重量は25ポンド、標準偏差は2ポンドである。箱の平均重量は1ポンドで、標準偏差は0.15ポンドである。箱あたりに使われる梱包材の平均重量は2ポンドで、標準偏差は0.25ポンドである。梱包された箱の重さの標準偏差はどれくらいか?,28.000ポンド,5.290ポンド,4.085ポンド,2.021ポンド,D
"ある科学者グループが、次の繁殖シーズンに同じ場所に戻ってくるガンの割合を推定したいと考えた。標本数を200から2,000に増やすことにしたとする。これは標本の比率の分布にどのような影響を与えるだろうか?",標本の比率の分布がより広がる。,標本の比率の分布の広がりが小さくなる。,標本の比率の分布の広がりは影響を受けない。,標本の比率の分布は、より二項分布に近くなる。,B
400人の登録有権者を対象にした電話調査では、256人が選挙の1カ月前にまだ決心していなかった。有権者の60%から68%がその時点でまだ決めていなかったことを、私たちはどれほど確信できるだろうか?,2.4%,8.0%,64.0%,90.4%,D
ナショナル・フットボール・リーグの選手の平均体重は約248ポンドで，標準偏差は約47ポンドである。4人の選手が無作為に選ばれる場合、4人の体重の合計である確率変数Wの期待値は992ポンドである。Wの標準偏差はおよそどれほどか?,47ポンド,67ポンド,94ポンド,141ポンド,C
「仮説検定の結果、P値は0.20となった」。この文の意味を最もよく表しているのはどれか?,帰無仮説が真である場合、少なくとも偶然だけで得られたものと同程度の極端な結果が得られる確率は0.20である。,繰り返し無作為にサンプリングした場合に、偶然と同程度の極端な結果が得られる確率は0.20である。,この結果が有意である確率は0.20である。,この結果が得られる確率は0.20である。,A
独立性のカイ二乗検定のための分割表に関して、次のうち正しくないものはどれか?,カテゴリはどちらの変数でも数値ではない。,観測度数は整数でなければならない。,期待度数は整数でなければならない。,各セルの期待度数は少なくとも5であるべきであり、これを達成するために、変数のどちらか一方、または両方のカテゴリを組み合わせることがある。,C
