アルツハイマー病のリスク低下と関連する因子はどれか?,アフリカ系アメリカ人またはヒスパニック系アメリカ人であること,魚を食べる,教育水準が低い,結婚している,B
従順性仮説とは?,能力の低い者は環境的要求に対してより脆弱,高い環境的要求を経験した者は、より従順になる,高い環境的要求を経験した者は、より従順でなくなる,能力の低い者は、環境的要求に対してより脆弱でないこと,A
正常な記憶力は次のうちどの方法で改善されると思われるか?,有酸素運動,アセチルコリンの摂取,銀杏の摂取,社会的接触の増加,A
発達は歴史の中に組み込まれているという視点が意味するのは次のうちどれか?,変化は年齢に関係なく常に起こりうる,社会文化的条件は常に考慮されなければならない,特定の分野(例、社会)の発達は、他の分野(例、認知)の発達と結びついている,年齢とともに変化する特性もあれば、変化しない特性もある,B
「両方が重要な役割を果たしている」という答えが明らかに当てはまる質問はどれか?,生まれつきか育ちか,機械論的か有機体的か,連続性か非連続性か,これらの質問すべて,D
通常、年をとっても目の水晶体に起こることのないのはどれか?,厚くなる,黄ばむ,濁る,液体で満たされる,D
将来の家屋では、中央ターミナルから家の中の事実上すべてを操作することができるかもしれない。そのような家はすでに生産されており、次のうちどの名称で呼ばれているか?,テクノハウス,コンピュハウス,フューチャーハウス,スマートハウス,D
若年成人と高齢者の反応時間の差が減少するのは、高齢者が何をする場合か?,定期的に有酸素運動をする,定期的にウェイトリフティングをする,大量のビタミンを摂取する,太極拳を練習する。,A
老化に関するプログラム理論と非プログラム理論の大きな違いは、プログラム理論の何によるものか?,老化を環境要因のみに帰する,検証があまりにも困難,老化はあらかじめ決められた計画に従うと主張する,コンピューターモデルに頼りすぎること,C
高齢者が高い楽観主義を示す理由の一つは?,悲観主義者の多くは若くして亡くなる,何が起こっているのかよくわかっていない,認知症の警告サインかもしれない,我々の測定法は妥当性が低い,A
ブーはよく約束の時間に遅れるが、それはもっと重要なことを考えていたせいだと言う。これはどの対処戦略の例か?,免疫化,順応,回避,同化,A
骨密度の低下と最も強く関連するのはどれか?,遺伝的要因,運動不足などの生活習慣的要因,エストロゲンの減少などのホルモン的要因,コホート要因,B
おばあちゃんがくれる激甘のアイスティーがそうなるのは、なぜだと思われるか?,甘味を感じる味蕾の多くが失われ、彼女が甘味をうまく感じられなくなったからからかもしれない。,彼女が甘いものが本当に好きな集団の一員であるからかもしれない。,あなたがこれまでより少し優しくなるように彼女が仕向けようとしているからかもしれない。,彼女の甘味の感覚をつかさどる頭頂葉が損傷を受けたからかもしれない。,A
不足すると認知症に似た症状が現れることがある、2つのビタミンは次のうちどれか?,AとC,B6とB12,B6とD,B12とE,B
次のうち、マカダムの性格レベルのひとつはどれか?,コントロール,アイデンティティー,次世代育成能力,同化,B
この章のシニアビューでドナム博士は、長生きのためには精神的な刺激、運動、食事、そして他にどのような要素が重要であると語ったか?,適量のアルコール,社会的支援,良い遺伝子,ストレスの回避,C
同居している高齢者を対象とした調査によると、共同生活を次のうちどれとみなす傾向があるか?,最終的な結婚への第一歩,結婚の代替手段,出費を抑える方法,最後の活動,B
高齢者は若い人よりもその場所に愛着をもっていることがあるのはなぜか?,その場所には多くの思い出があるから,年を取ると引っ越すのが難しくなるから,若年成人は年配者に比べて場所にあまり注意を払わないから,その場所は超越を象徴しているから,A
ヒト細胞のヘイフリック数は次のうちどれか?,不明,45～55の間,30未満,60以上,B
セルフケア行動のレベルの高さは、次のうちどのレベルの高さと関連しているか?,神経症傾向,外向性,協調性,二次的コントロール,C
研究に、いくつかの縦断的および横断的な裏付けとなる理論を提示してきたのは誰によって提示された理論か?,ペック,フーズ,レベンソン,エリクソン,D
次のうち、年齢差ではなくコホート差である可能性が高いのはどれか?,閉経した高齢女性の割合が高い,セックスに関する夢を報告する高齢女性の割合が低い,ハゲている高齢男性の割合が高い,ガンの犠牲者である高齢男女の割合が高い,B
老いに対する恐怖は、高いレベルの何と関係するか?,内向性,神経症傾向,堅苦しさ,中年の危機,B
認知症状が現れにくい認知症はどれか?,パーキンソン病,ピック病,ハンチントン病,神経エイズ,A
この章のシニアビューでシーリー博士がアドバイスするのは次のうちどれか?,学校に残ること,正しい食生活を送ること,十分な運動をすること,高給の仕事を見つけること,A
妹のパトリシアが落ち込んでいたとき、あなたは彼女を慰め、楽しかった時の思い出を語った。あなたはどのタイプの社会的支援を行ったか?,感情的,器械的,情報的,友好的,A
難聴が生じやすいのは、次のうちどれか?,女性より男性,男性より女性,すでに視力がある程度低下している人,肥満の人,A
ストレスが続くと健康と長寿に影響が出るのは何を引き起こすからか?,身体にダメージを与える過度の運動,免疫系の抑制,食べる量が減り、多くの場合、重度の摂食障害になる,スピード違反やシートベルトの不着用といった危険な行動,B
年齢というより、むしろコホートによる違いが大きいと思われるのは、年齢層による____の違いである,対処戦略,仕事の生産性,認知症の割合,性格的特徴,D
当支部のシニア・ビューのタット・クレックリーによると、近親者を亡くした人が癒やされる過程で最も重要なのは、次のうちどれか?,しばらく他人から離れること,外に出て活動すること,喪失について話すこと,喪失について知らない新しい友人を作ること,C
社会的支援が、健康と幸福にプラスの影響を与える可能性が最も高いのは、それがどのような場合か?,非常に感情的,支援として認識されている,予期せぬもの,内的なものではなく外的なもの,B
フリーラジカルは次のうち何によって生成されるか?,正常な代謝,ビタミンAとCの過剰摂取,日照不足,免疫力の低下,A
高齢者に対する先入観や偏見を何とよぶか?,エイジズム,オールドイズム,年齢偏狭,早老,A
余命6ヶ月以下の人のケアを引き継ぎ、在宅療養を試み、痛みを和らげ、すべての延命技術を終了させるプログラムは次のうちどれか?,安楽死,人体冷凍保存,メディケア,ホスピス,D
80歳以上の成人の嗅覚喪失は次のうちどれくらいか?,非常にまれ（15％未満）,非常に頻繁（75％以上）,まれ（40％未満）,頻繁（50％近く）,B
サーチュインと呼ばれる一群の遺伝子の活性化は何に役立つ可能性があるか?,いくつかの病気の予防,認知症の予防,記憶力と知能の向上,情緒の安定,A
高齢者虐待で最も多いのは、その高齢者とどのような関係にある人物からのものか?,配偶者,子供,孫,隣人,B
投影テストは一般的に客観的性格検査よりも___。,信頼性が高い,より視覚的,より有効,より多くの情報を提供する,B
低レベルの照明に反応する眼の細胞は何というか?,桿体視細胞,錐体視細胞,網膜細胞,夜間検出器,A
