触れると性的興奮を覚える体の部位を以下から選択せよ。,人によって異なる,女性は月経周期の段階によって異なる,主に下半身にある,上記すべて,D
淋病について正しいのはどれか?,抗生物質で治療できる,1回の暴露で感染するリスクが高い,無症状（症状がない）のは感染者のごく一部,感染は性器に限られる,A
あなたは同性愛者の男性である。昨夜、あなたは好色で色の浅黒いジャック（友愛会の通りの王様）に誘惑され、地元の酪農バーで彼と一緒にトールサイズの冷たいミルクを飲んだ。あなたはこのテストのために勉強することも少し考えたが、ジャックに負けた。フロイトの用語では、次のどれが支配的だったか?,イド,自我,超自我,エディプス・コンプレックス,A
社会生物学者は、以下のどの理由によりパラフィリアを持つ男性は女性よりも多いと考えているか?,パラフィリアは種の存続を保証する,進化淘汰により、新しい性的刺激に反応する男性の発達が好まれた,男女間の左脳と右脳の違い,男性の脳は女性の脳よりも発達している,B
Sprecher、Barbee、Schwartz（1995）の研究によると、女性は男性よりも最初の性交後に__________を経験する可能性が高かったそうだ。,喜び,恐れ,罪悪感,後悔,C
妊娠中のコカイン乱用は何に関係しているか?,低出生体重児のリスクが増加する,発育が悪く知能が低下する,頭囲が小さくなる,上記すべて,D
ジョーは必死にヘレンに近づこうとする。ヘレンはジョーの必死のアプローチに気後れしているように見える。これはジョーと女性との関係の典型である。愛着理論において、ジョーを最も適切に表現する人物を以下から選択せよ。,安全な恋人,回避的な恋人,不安・アンビバレントな恋人,情熱的な恋人,C
ブルースは同性愛者の男性である。友人のチャックは異性愛者の男性である。もしブルースとチャックを子供の頃に観察できたとしたら、次のうちどれが予想されるだろうか?,ブルースはチャックよりも女性らしい遊びをしていた可能性が高い。,ブルースはチャックよりも男性らしい遊びをしていた可能性が高い。,ブルースとチャックは、女性よりも男性らしい遊びに参加した可能性が高い。,ブルースの父親はチャックの父親よりも同性愛の傾向があった可能性が高い。,A
ユダヤ教では、性を次のどのように考えているか?,本質的に悪,神の後付けであり、異常,神からの贈り物,主として生物学的機能,C
フロイトは、ペニスが最初に快楽追求の主要な焦点となるのは、以下のどの時期であると述べたか?,誕生,1歳前後,3歳から6歳の間,思春期,C
スターンバーグによれば、人間関係を長続きさせるものは何か?,親密さ,コミットメント,決断,情熱,B
中絶は殺人であるという立場は、どの宗教の特定の人々によって支持されているか?,ユダヤ教正統派,プロテスタント原理主義者,東方正教会,上記すべて,D
独身、処女、清貧を信条とする修道士や修道女の修道会は、東洋の宗教とキリスト教の両方に見られ、従う倫理体系について以下から選択せよ。,律法主義,禁欲主義,状況主義,快楽主義,B
卵巣と精巣は?,相同,配偶子を産生する,性ホルモンを産生する,上記すべて,D
サイモン・ルベイは異性愛者と同性愛者の脳を研究した。彼が発見した違いを以下から選択せよ。,この2つのグループの皮質活動,この2つのグループの脳全体の重さ,この2つのグループの視床下部における細胞構造,この2つのグループの脳における血液量と糖代謝,C
次のうち、「モデリング」や「模倣」といった用語を使って、エロティカへの暴露が人の行動に及ぼす影響を説明する理論はどれか?,社会生物学,精神分析理論,スクリプト理論,社会的学習理論,D
平均して、________の男性は________の男性より約2年遅く性交渉を始める。,メキシコ系アメリカ人及び白人、アフリカ系アメリカ人,メキシコ系アメリカ人、アフリカ系アメリカ人及び白人,アフリカ系アメリカ人、白人及びラテン系アメリカ人,白人、アフリカ系アメリカ人及びラテン系アメリカ人,A
科学界で、女性が何度もオーガズムに達することができることを最初に発見した人物を以下から選択せよ。,キンゼイ,フロイト,マスターズとジョンソン,カプラン,A
以下の特徴のうち、一般的にデートレイプと一致するものはどれか?,過剰な力の行使,計画的,性的動機,凶器の使用,C
ジョン・マネーによれば、__________は、男性性または女性性についての人の私的な内的感覚を指す。,性自認,性的呼称,ジェンダー・スキーマ,精神内性的指向,A
男性の性器の平均的な大きさは?,4インチ,5インチ,7インチ,1フィート,B
女性の靴に触れなければオーガズムに達することができない人は、次のうちどの定義によれば、確実に性的異常または逸脱とみなされるか?,心理学的,社会学的,統計学的,b及びc,D
女性または男性が性交中に何度も痛みを経験する場合、彼女はおそらく性交の頻度が少ないか、まったくしたくなくなるだろう。このような状況では、__________はおそらくその痛みを罰として分類するだろう。,ジークムント・フロイト,ジョン・マネー,B. F. スキナー,ハヴロック・エリス,C
「異性は惹かれ合う」（つまり、異質な態度は好意を引き起こしやすい）という民間ことわざを、現在の研究に照らして考えた場合、どのように思われるか?,当てはまらない。,異性愛者には当てはまるが、同性愛者には当てはまらない。,同性愛者には当てはまるが、異性愛者には当てはまらない。,女性には当てはまるが、男性には当てはまらない。,A
卵子は排卵後約_______まで受精可能である。,6時間,24時間,72時間,1週間,B
卵胞は卵子を放出した後、黄体形成ホルモンの刺激を受けて、__________と呼ばれる腺のような細胞の塊に変化する。,海綿体,黄体,脳梁,腺梁,B
子宮内膜症は一般的にどのように治療されるか?,抗プロサグランジン薬,プロスタグランジン薬,ホルモン,アスピリン,C
マスターズとジョンソンの研究以前は、膣潤滑は次のうちどれによるものと考えられていたか?,カウパー腺の分泌物,前立腺の分泌物,バルトリン腺の分泌物,副腎の分泌物,C
