正当性とは何か?,司法適格性とは、関連する権利者による特定の権利の行使の可能性を指す,司法適格性とは、特定の権利の正当な性質または原因を指す,司法適格性とは、特定の権利の不行使が正義の原則に合致するかどうかを裁判所が評価することを指す,司法適格性とは、特定の権利を行使する国家の義務を指す,A
保護責任（R2P）は人道的介入とどのような点で異なるか?,R2Pは基本的に人道的介入と同じ,R2Pは窮地に陥った国による援助の要請を必要とする,R2Pは国連安保理の意見を必要とし、人道的危機を回避することを主目的とするため、恣意性が低い,R2Pは常に武力を伴うが、人道的介入は武力を伴わない,C
「ローチュス原則」とは何か?,いわゆるローチュス原則とは、「国家の独立に対する制限は、したがって、推定することはできない」、あるいは、解釈されているように、「禁止されていないものは、国際法で認められている」というもの。,いわゆるローチュス原則は、国家は紛争を提起する裁判所を自由に選択できるというもの。,いわゆるローチュス原則は、国家は公海でその執行管轄権を主張することを禁止されていないということ。,いわゆるローチュス原則は、慣習法は国家慣行と法的信念の組み合わせに由来するというもの。,A
英国憲法を最もよく表している記述はどれか?,英国憲法の唯一の権力源は主権者,英国憲法は司法に議会の行為を覆す権限を与えている,英国憲法は成文化されておらず、多くの情報源から見つけることができる,英国憲法は権利章典に基づいている,C
紛争の平和的解決の義務とは何か?,それは結果の義務であり、すなわち、国家は、できる限り速やかに紛争を解決するという厳格な義務を負っている。,それは行動の義務であり、すなわち、国家は、平和的手段を通じて紛争を解決しようとする義務を負う。これは、紛争を解決する義務を伴うものではない。,それは国際法の絶対的規範であり、すべての国は、いかなる紛争においてもその適用を保護する法的利益を有する。,これは、国際裁判所および法廷のみに関係する義務。,B
次の記述のうち、誤っているものはどれか?,議定書14条は、許容性のケースを審理する委員会を3人の裁判官から1人の裁判官の編成に変更した,議定書14条は、許容性の新しい基準を追加した,議定書14条は、人権委員会を廃止した,議定書14条は、欧州人権裁判所の裁判官の任期を延長した,C
国連海洋法条約（UNCLOS）上の「岩」はどれか?,岩は10平方マイル未満の島,岩は海域を持たない島,岩は人間の居住や経済生活をそれ自体では維持できない島であり、第121条（3）によれば排他的経済水域や大陸棚を持たない,岩は人間の居住を維持できる小さな島,C
国際法的人格の意味は?,国家のみが国際法の主体であるとみなされることを意味する,国際法上の権利と義務を有し、関連する行為者が、または関連する行為者に対して、これらを行使する能力を有することを意味する,国家の権威に対抗することができる実体を意味する,国際法上の物理的な人物とは対照的に、法的な人物を意味する用語,B
次のうち、条約に基づく人権メカニズムはどれか?,国連人権委員会,国連人権理事会,国連普遍的定期的審査,国連特別マンデート,A
次のうち、国連ウィーン宣言（1993年）で宣言されたものはどれか?,第三世代の権利が第一義的に重要,市民的・政治的権利は中核的権利,すべての種類の権利は不可分であり、相互に関連し、依存し合っている,社会的・経済的権利は強制不可能,C
国際機関（IO）に関する免責の主な源泉は何か?,国際機関に対する免責の主な源泉は国連憲章,国際機関に対する免責の主な源泉は、特定の免責を規定する本部協定と多国間条約,国際機関に対する免責の主な源泉は慣習法,国際機関に対する免責の主な源泉は外交免責に関するウィーン条約,B
国際法上、国家間に序列や優先順位はあるか?,はい、国際連合の創設メンバーである国家は、より大きな権限と権力を与えられている,はい、国連安全保障理事会の常任理事国5カ国（イギリス、アメリカ、フランス、ロシア、中国）は、他の国家よりも優位な立場にある,いいえ、すべての国家は主権国家として平等であると考えられている（国連憲章第2条第1項に謳われている主権平等の原則）,国家間に上下関係があるかどうかは、それぞれの国際機関が決めること,C
承認の宣言的理論とは何か?,承認は国家としての存在を確定するもの,承認は単に国家としての宣言であって、確定的なものではない,承認は単なる利害関係の宣言,承認には新たに創設される国家による宣言が必要,B
「人権外交における基準設定」の機能とは何か?,基準設定とは、拘束力のある法的基準を提示すること,基準設定とは、単に拘束力のある法的基準を提案すること,基準設定とは、拘束力のない法的基準を提示すること,基準設定とは、人権条約において一定の行動基準を設定すること,C
カディ判決は、国連安全保障理事会決議の組み込みに関してどのような局面を導入したか?,カディ判決は、国連安保理決議が人権に従って解釈されることを要求した,カディ判決は、すべての国連安保理決議がさらなる実施法制なしに組み込まれることを要求した,カディ判決は、重要な国連安保理決議が単に組み込まれるだけでなく、変形されることを要求した,カディ判決は、国連安保理決議が人権を侵害する場合は拘束力を持たないと主張した,A
