「1252年，６代将軍に{ }が就任した」の空欄に当てはまるものは？,以仁王,宗尊親王,西園寺公経,九条頼嗣,B
反戦長詩「君死にたまふこと勿れ」を発表した女流歌人は誰か,大塚楠緒子,与謝野晶子,平塚雷鳥,景山英子,B
「1924年，立憲政友会から脱党した清浦首相支持派が{ }を結成した」の空欄に当てはまるものは？,立憲国民党,立憲民政党,憲政会,政友本党,D
「三奉行の最高格は{ }である」の空欄に当てはまるものは？,江戸町奉行,勘定奉行,大坂町奉行,寺社奉行,D
1882年に設立された機械紡績工場を答えよ,大阪紡績会社,新町紡績所,鹿児島紡績工場,天満紡績所,A
「1837年，元大坂町奉行所与力の{ }が窮民の救済を求めて蜂起した」の空欄に当てはまるものは？,大塩平八郎,平田篤胤,生田万,由井正雪,A
1928年に実施された共産党員の大量検挙を何というか,二・二六事件,四・一六事件,四・三０事件,三・一五事件,D
"「{ }年，フランシスコ=ザビエルが鹿児島に来航し,領主島津氏の許可を得て布教を開始した」の空欄に当てはまるものは？",1549,1547,1543,1551,A
「薩摩藩主島津重豪は，1827年に{ }を抜擢して藩政改革に当たらせた」の空欄に当てはまるものは？,鍋島直正,村田清風,調所広郷,吉田東洋,C
「『養老律令』は，{ }天皇の治世に藤原不比等らによって編纂された」の空欄に当てはまるものは？,文武,聖武,元明,元正,D
「大坂夏の陣は{ }年に起こった」の空欄に当てはまるものは？,1615,1631,1624,1610,A
「第一回総選挙の有権者数は約45万人で，人口の{ }％であった」の空欄に当てはまるものは？,1.1,10,5.5,2.2,A
「岩宿遺跡を発見したのは{ }である」の空欄に当てはまるものは？,長谷川言人,江上波夫,相沢忠洋,モース,C
「南蛮貿易の最大の輸入品は中国産{ }である」の空欄に当てはまるものは？,木綿,麻,生糸,大蔵経,C
郵便制度を建議したのは誰か,前島密,由利公正,大久保利通,大隈重信,A
「1905年，{ }を締結し，韓国の外交権を奪って保護国化した」の空欄に当てはまるものは？,第2次日韓協約,第3次日韓協約,済物浦条約,日韓議定書,D
