「進歩的な社会の動きは、これまでは地位から契約への動きであった」というメインの有名な格言は、しばしばどのように誤解されているか?,予測と誤解されている。,地位の概念が誤って表現されている。,文字通りに受け取られている。,彼の考えは西洋の法制度には適用できないと考えられている。,A
20世紀における自然法の復興に大きく貢献した要因は次のうちどれか?,1930年代の恐慌,ファシズムの台頭,第二次世界大戦後の人権の国際的承認,ボルシェビキ革命,C
法的推論の壮大なスタイルと形式的なスタイルの間のルウェリンの区別に対する次の批判のうち、最も説得力のあるものは次のうちどれか?,法的推論の2つの形式には区別がない。,裁判官は法律を解釈するために任命されるのであって、法律を作るために任命されるのではない。,裁判官をこのように分類するのは誤解を招く。,法的推論は常に形式的。,C
ロールズが主張する「社会的一次財」に関してPOPが選ぶであろうものと最も一致する命題は下記のうちどれか?,POPは思いやりのある社会よりも富を選ぶ。,POPは権力よりも平等を選ぶ。,POPは無欲。,POPは障害者を保護することを選ぶ。,A
＿＿＿学派は、市場の効率性を促進することが法的意思決定の中心的目標であるべきだと考える。,法と経済学,批判的法学,歴史的,自然法,A
制裁は最小の悪を引き起こす最小の可能性からなる、というオースティンの議論から論理的に導かれる可能性が最も低いのは、以下のどの記述か?,すべての命令は何らかの制裁を含む。,命令の概念には、命令に従わなかった場合に制裁が生じる可能性が含まれている。,制裁がなければ、単なる願いの表明は命令ではない。,命令は自分の法的地位を変える力を与える。,D
ウェーバーは「イングランド問題」をどのように解決しているのか?,その存在を否定することによって。,コモン・ローとシヴィル・ローの違いを説明することによって。,資本主義の発展を促進したイギリスの法制度のある特徴を区別することによって。,正当な支配の重要性を認識することによって。,C
キケロの自然法の概念は、「真の法とは、自然と一致した正しい理性である」という考えに基づいている。以下のどの理由により、理性は重要な要素か?,人間が理性を適用しないことは罪。,自然法の原則は理性によって発見可能。,自然法は正当な理由がなければ適用されない。,自然法則はすべての実定法の基礎。,B
キャサリン・マッキノンは、男性が女性を支配している以上、問題は最終的に権力の問題であると主張する。この主張と最も矛盾する命題は以下のうちどれか?,女性は政治的圧力によって平等を達成できる。,男性が女性を異なるものとして定義しているため、平等は不可能。,「女性」という概念を再定義する必要がある。,世界は男性中心主義で抑圧的。,A
「内容可変の自然法」の提唱者は誰か?,ジョン・ロールズ,スタムラー,ジェローム・ホール,ジョン・フィンズ,B
法学の＿＿＿＿＿＿学派は、法は特定の社会学的目標を達成し前進させる手段であると主張する。,歴史的,分析的,指揮的,社会学的,D
マリノフスキーによれば、トロブリアンド諸島の人々はどのような概念を中心に社会を構成していたのか?,争い。,愛。,戦争,互恵。,D
ハリネズミのための正義の中でドウォーキンは「ヒュームの原理」を支持している。彼はこの考えで何を理解しているのか?,法と道徳の間に区別はない。,善悪の区別はある。,世界や人間の本性に関する事実は、通常、あるべき姿を規定することはできないということ,人権は根本的に不健全であるということ。,C
リオタールの宣言「私はポストモダンを、メタ物語に対する信じられない気持ちと定義する」とは、次のうちどのような意味か?,個々の物語は疑わしい。,法は静的。,普遍的な価値は無意味。,文学は抑圧を再生産する。,C
ハーバーマスは「媒体としての法」と「制度としての法」を区別している。この区別を最も的確に表しているのは、以下のどの記述か?,「媒体としての法」は、国家と経済を統制する形式的で一般的なルールの体系としての法を説明するものであり、「制度としての法」は「生活世界」に生息し、その共有する価値と規範を制度的な形で表現するもの。,「媒体としての法」は、メディアによって法が提示される方法からなり、「制度としての法」は裁判所について述べている。,「媒体としての法」は、法がその規則を簡略化した用語で表現する方法に関するものであり、「制度としての法」は立法機関による法の正式な宣言に関するもの。,「媒体としての法」は法発展の中間段階と定義され、「制度としての法」は上級段階。,A
法律に従う一応の義務があると主張することは、次のうちどのように主張することか?,法律の内容にかかわらず、例外なく従う義務がある。,自分が同意していない法律に従う義務はない。,義務は、当該法律によって直接影響を受ける人にのみ適用される。,義務は、特定の例外を正当化する根拠がない限り、関係する正確な法律の規定とは無関係に生じる。,D
ドウォーキンは、あらゆる法的問題に対して正しい答えは一つしかないと主張する。この主張と最も矛盾する命題は以下のうちどれか?,難しい事件では、裁判官は一般に権利に基づいて事件を判断する。,当事者の権利は、裁判所に持ち込まれるほとんどの事件の判決で重要な役割を果たす。,裁判官は強い裁量権を行使する。,裁判官は憲法や制度の歴史に最も「適合」することを求める。,C
ロバートは車の売却交渉中に次のような発言をしている。「この車は市場で最も洒落ている。」彼の発言は、以下のうちどの請求を支持することができるか?,虚偽表示,詐欺,詐欺と虚偽表示,上記のいずれでもない,D
オースティンによれば、法学は次のうちどれに関するものか?,道徳,正法,神法,自然法,B
次の記述のうち、フラーの「法の内的道徳」の本質を最もよく捉えているものはどれか?,実証主義的な法観。,願望の道徳。,アキニア派の自然法概念。,「害悪原則」の否定。,B
ハートは、二次的規則は「権力を付与する」ものであると主張するが、以下のどの理由により、承認規則の場合には説得力がないように思われるか?,権力を付与すると同時に、裁判官に対して事件を決定する義務を課している。,社会的ルールではない。,単一憲法の場合にのみ適用される。,権限の源泉を特定していない。,A
判例に従うことを_______の原則と呼ぶ。,不抗争の答弁,先例拘束,実質的な履行,商業上の実行不可能性,B
デブリン卿の議論に対するハートによる最も強力な反論と特徴づけられるのは、以下のどの命題か?,社会には、刑法によって道徳的・社会的結束を維持する権利はない。,同性愛行為は社会の怒りを引き起こす。,裁判所は、同性愛や売春に関するような道徳的な問題を解決するのに最適な場所。,法律は時代錯誤。,A
デュルケムは、（1）機械的連帯と（2）有機的連帯の間に、社会に存在する法の種類とどのような関係があると見なしているか?,機械的連帯は社会に対立を生む。有機的連帯はより大きな社会的調和をもたらす。,機械的連帯は抑圧的な法をもたらす。有機的連帯は回復的法につながる。,機械的連帯は効率を助長する。有機的連帯は非効率をもたらす。,機械的連帯はより民主的な法制度を生み出し、有機的連帯はより権威主義的な法制度を生み出す。,B
次の引用文のうち、差異フェミニズムの中心的なテーゼを最もよく表しているものはどれか?,個々の女性には根本的な違いがある。,男性と女性では、フェミニズム・プロジェクトに対する考え方が異なる。,女性は文脈に注目するが、男性は中立的で抽象的な正義の概念に訴える。,男性は女性との違いを理解することができない。,C
ドウォーキンの完全性としての法という概念から論理的に導かれる可能性が最も低いのは、以下のどの記述か?,法はより多くの個人の権利とより大きな自由を生み出す可能性が高い。,共同体をより純粋なものにする。,権威主義への道を開く。,政治権力行使の道徳的正当性を高める。,C
『ハリネズミの正義』におけるドウォーキンの中心的主張のひとつを最もよく表している記述はどれか?,法の概念において道徳は何の役割も果たさない。,道徳的主張は困難な場合にのみ有効。,法律は、どのような道徳的価値が倫理的行動に影響を及ぼすべきかを規定する。,道徳的価値は独立的かつ客観的。,D
ケルゼンのグルンドノルムの性質と機能を最もよく表している記述はどれか?,法体系の道徳の究極的源泉。,規範と服従の習慣を区別する規則。,国家の憲法。,法体系の理解を容易にする前提。,D
批判的法学研究（CLS）はしばしばアメリカ的リアリズムと比較される。次の記述のうち、不正確なものはどれか?,両方とも「行動する法」に関心がある。,どちらも反形式主義的で懐疑的。,どちらもリベラルなイデオロギーを採用している。,両方とも法を神秘化しようと試みている。,C
ドウォーキンの原則と政策の区別を最もよく表しているのは次のうちどれか?,原則は立法であり、政策は判例。,原理は権利を説明し、政策は義務を説明する。,原則は民主的であり、政策は独裁的。,原則は権利を記述し、政策は目標を記述する。,D
法令はしばしば________法と呼ばれる。,準,適格,合同,成文,D
法実証主義に関する記述として、最も正確でないものはどれか?,道徳と法を不可分のものとみなす。,法律を命令とみなしている。,法秩序を閉じた論理体系とみなす。,道徳と法の間には必然的なつながりはないという見解を支持する。,A
ベンサムの幸福計算に対する最も有力な反論は、以下のどの命題か?,幸福は経済的繁栄よりも重要ではない。,自分の行為の結果をすべて計算することは不可能。,苦痛と快楽は人生の必然的な特徴。,功利主義は社会的背景の違いを考慮していない。,B
