次のうち、実体よりもスタイルの誤謬を最もよく説明しているのはどれか?,単語または語句の意味を、論旨のある部分から別の部分に変更すること。,比喩的な言葉と文字通りの言葉を混同する。,メッセージの内容にかかわらず、魅力的な方法で提示された考えが正しいという推論。,感情をかきたてられる言葉を使用して、その言葉が主題に適合するかという議論を行わずに、主張の主題についての印象を生み出す。,C
次の誤謬のうち、主張されている欠陥と情報源の信頼性との間に真の関係がない場合に、情報源に欠陥があると主張することによって、証拠の情報源を検討から排除するという、証拠を抑制する方法はどれか?,有意性,スノッブアピール,井戸に毒を盛る,匿名の権威に訴える論証,C
誤ったアナロジーの誤謬は次のうちどれか?,2つの出来事が同時に起こったので、一方の出来事が他方の出来事を引き起こしたに違いないと主張する特定のタイプの誤った原因の誤謬,他の事象に先行した事象が、必然的に2番目の事象の原因であることを主張する,何かが新しいので、それは必然的に良いと主張する,比較される項目が結論を裏付けるのに十分に類似していない場合に、比較に基づいて結論を出すこと。,D
「吐き気を催すような」誤謬は次のうちどれか?,過去に行われてきた方法だから何かをすべきだと主張している。,影響の証拠がない場合には、重大な結果をもたらさないので、行為は実行されるべきであると主張する,非常に頻繁に主張されてきたから結論が真実であるという推論,非常に多くの人がそれが真実であると信じているので、主張が真実であるという推論,C
ある対象全体に当てはまることが、その対象の各部分にも当てはまると主張することは、次のうちどのような誤謬か?,誤った基準,早まった一般化,富裕度に訴える論証,境界,D
馬の笑いの誤謬を説明しているのは次のうちどれか?,反論の代わりに嘲笑の表現で議論に反応すること,メッセージによって引き起こされた感情だけに基づいて合意を得ようとする試み,相手の立場を、それまたはその結果をばかげているように見せるような方法で特徴づけること,否定的な結果が誇張されている場合、可能性が低い場合、または無関係な場合には、否定的な結果を避けるために行動をとるべきだと議論すること,A
証拠の欠如が何かを証明していると主張することは、次の誤謬のうちのどれか?,無知に訴える論証,二重否定,あいまいさ,立証責任,A
人身攻撃は次のうちどれからなるか?,他人の議論を無視して、代わりに彼女の性格を攻撃する,対立する議論者が、簡単に敗北した立場をとったと、実際にはとっていないが主張すること,反論に関与する能力の欠如によって議論中に混乱を引き起こす,同意を得るために、論拠の代わりに危害の脅威を利用する,A
次の誤謬のうち、誰かが、一緒にいる人たちが正直だから、自分は正直でなければならないと結論付けた場合に起こるものはどれか?,称賛に値する人格,連座の誤謬,非難されるべき人格,循環論法,B
証明されていない仮定を含む質問をすることは、次のうちどの誤謬につながる可能性があるか?,無知に訴える論証,誇張,先験的,複雑な質問,D
ウィリアム・シェイクスピアのハムレットのポロニウス:「あなたの高貴な息子は狂っている:狂っていると申し上げたが、なぜなら、真の狂気を定義するために、狂っているという以外言いようがあるだろうか?」次のうち、この声明に関する誤謬は何か?,人身攻撃(ad hominem),あいまいさ,論点先取,同情に訴える論証,C
次のうち、この声明に関する誤謬は何か?「ニューオーリンズのハイアット・リージェンシー・ホテルからのお知らせ:ご予約を確定させていただきます。そちらは会場スペースに空きがある場合に開催されます。」,あいまいさ,結果の確認,ギャンブラーの誤謬,不一致,D
自然法の誤謬は＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿。,あまり費用がかからないので、何かが必然的に悪いと主張する,一般化を支持するときに、個々のストーリーをより大きなサンプルに置き換える,自然界で真実であることは人間についても真実でなければならないと主張する,事後的な誤謬と同じこと,C
誰かが、主張の裏付けの代わりに、感情的に主張を修正した場合、その人は次のうちどの誤謬を犯した可能性があるか?,スタイルを実体より優先,論点先取,本質化,言語の曖昧性,B
かなりの数の人々がそれを信じているという理由だけで、主張が真実に違いないと主張することは、次の誤謬のうちどれと呼ばれるか?,やり返し論法,構成,衆人に訴える論証,原因に訴える論証,C
衆人に訴える論証は、次のうちどの誤謬の別名か?,井戸に毒を盛る,隠された証拠,プライドに訴える論証,人々に訴える,D
有効な選言的三段論法では、小前提は次のうちどの条件を満たさなければならないか?,1つの選択肢を受け入れる,1つを除いてすべてを拒否する,AまたはBのいずれか,上記のいずれでもない,C
悪意に訴える論証の誤謬を説明しているのは次のうちどれか?,反論の代わりに嘲笑の表現で議論に反応すること,その地位に対する否定的な個人的感情のみに基づいて、その地位に反論すること,その人が誰かを嫌っているという理由だけで、誰かが何かをすべきだと主張する,何かをすべきではないと言っているのは、もしそれをしたら、人々はその人を好まないから,C
対人論証は、次のうちどの誤謬の別名か?,忠誠心に訴える論証,不条理に還元すること,反論の無知,衆人に訴える論証,D
衆人に訴える論証の誤謬は、次のうちどれによる主張を拒絶することか?,レトリックの使用,誤った陳述,その人を無視する,作った人を批判する,D
早まった結論の別名は＿＿＿＿＿＿＿＿＿＿＿＿＿＿。,早まった一般化,前後即因果の誤謬,早合点,新しさに訴える論証,C
次のうち、この声明に関する誤謬は何か?「ジョン・S・ナイト、デトロイト・フリープレス(1970年7月3日):資本主義とは、生産と流通の手段が民間で所有され、営利目的で運営される経済システムである。代替システムは社会主義と呼ばれ、社会による生産手段の所有と運営の理論であり、すべての構成員が仕事と製品を共有している。」,論点先取,誤ったジレンマ,藁人形論法,ギャラリーに訴える論証(地方主義),B
構成の誤謬は次のうちどれか?,原因がより複雑な場合に、ある事象の原因を単純な原因に帰すること,オブジェクトの一部に当てはまることは、オブジェクト全体に当てはまるに違いないと主張する,その結論を裏付ける十分な証拠なしに結論を出すこと,主張されている証拠と結論の主題との間に実際には直接的な関係がない場合に、証拠の推論に基づいて結論を引き出すこと,B
「富裕度に訴える論証」は＿＿＿＿＿＿＿＿の特定の種類である。,誤った類推,早まった一般化,誤った符号,早まった結論,C
次の誤謬のうち、誰かが単に前提の1つを言い直しただけの結論を導き出したときに起こるのはどれか?,称賛に値する人格,連座の誤謬,偶有性,論点先取,D
次のうち、この声明に関する誤謬は何か?「8番の答えが何なのかわからない。しかし、ヘザーは3番目の選択肢をしばらくの間正解にしていないし、しかも一度しか正解にしていないので、これは合成の誤謬だと推測している!」,ギャンブラーの誤謬,あいまいさ,合成の誤謬,同情に訴える論証,A
変更を行っても大きな影響はないと主張しているが、その影響が大きくないという証拠がない場合、その人は次のうちどの誤謬を犯したか?,井戸に毒を盛る,硬い坂道,伝統に訴える論証,権威に訴える論証,B
論点先取の誤謬を最もよく説明しているのは次のうちどれか?,心の中にあるものを、あたかも本物であるかのように扱うこと。,主張の裏付けの代わりに、しばしば名指しの形で、主張の感情的な修正を使用する、含みのある言葉の形式。,単語または語句の意味を、論旨のある部分から別の部分に変更すること。,メッセージの内容にかかわらず、魅力的な方法で提示された考えが正しいという推論。,B
プライドに訴える論証の誤謬を説明しているのは次のうちどれか?,匿名の権威がそれを受け入れたという証拠のみに基づいて、主張を受け入れるべきであると主張する。,その人が、主張の真実を理解するのに有利な特性を持っているという証拠だけに基づいて、主張を受け入れるべきだと主張する。,過去にそのように行われたという証拠だけに基づいて何かを行うべきであると主張すること、あるいは、長い間信じられてきたという理由だけで信じるべきであると主張すること。,重大な効果がないことを示す証拠がない場合には、重大な結果をもたらさないため、1つの行為又は一連の行為を実施すべきであると主張する。,B
形式的に無効な三段論法は、＿＿＿＿＿＿＿。,実質的に真実であることはできない,実質的に正しいかもしれない,実質的に真実でない可能性がある,BとCの両方,D
