文1| RoBERTaは、BERTが事前学習したコーパスの約10倍大きいコーパスで事前学習する。文2| 2018 年の ResNeXts は通常 tanh 活性化関数を使用した。,真、真,偽、偽,真、偽,偽、真,C
文1|サポート・ベクトル・マシンは、ロジスティック回帰モデルのように、入力例が与えられたときに可能なラベルの確率分布を与える。文2|線形カーネルから高次の多項式カーネルに移行しても、サポート・ベクトルは一般的に変わらないと予想される。,真、真,偽、偽,真、偽,偽、真,B
"機械学習問題には、4つの属性と1つのクラスが含まれる。属性にはそれぞれ3, 2, 2, 2の可能な値がある。クラスには3つの可能な値がある。最大いくつの異なる例があり得るか?",12,24,48,72,D
2020年現在、高解像度画像の分類に最適なアーキテクチャはどれか?,畳み込みネットワーク,グラフネットワーク,完全連結ネットワーク,RBFネットワーク,A
文1| データの対数尤度は、期待値最大化アルゴリズムの連続した反復によって常に増加する。文2| Q-learningの欠点のひとつは、学習者の行動が環境にどのような影響を与えるかについての事前知識がある場合にしか使えないことである。,真、真,偽、偽,真、偽,偽、真,B
コスト関数の勾配を計算し、それをベクトルgに格納したとする。勾配が与えられた場合、1回の勾配降下更新のコストはいくらになるか?,o(D),o(N),O(ND),O(ND^2),A
文1| 連続確率変数xとその確率分布関数p(x)に対して、すべてのxに対して0≤p(x)≤1が成り立つ。 文2| 決定木は情報利得を最小化することによって学習される。,真、真,偽、偽,真、偽,偽、真,B
以下のベイジアンネットワークを考えてみよう。このベイジアンネットワークH -> U <- P <- Wに必要な独立パラメータはいくつあるか?,2,4,8,16,C
学習例数が無限大になると、そのデータで学習したモデルは次のどのようになるか?,分散が小さくなる,分散が大きくなる,分散が同じ,上記のいずれでもない,A
文1| 2次元平面上のすべての長方形の集合（軸合わせされていない長方形を含む）は、5点の集合を砕くことができる。文2| k = 1のときのk-最近傍分類器のVC次元は無限大である。,真、真,偽、偽,真、偽,偽、真,A
_____は、学習データをモデル化することも、新しいデータに汎化することもできないモデルを指す。,良いフィッティング,オーバーフィッティング,アンダーフィッティング,上記すべて,C
文1| F1スコアはクラスの不均衡が大きいデータセットに特に有用である。文2| ROC曲線下面積は、異常検出装置を評価するために使用される主な指標の1つである。,真、真,偽、偽,真、偽,偽、真,A
文1|バックプロパゲーション・アルゴリズムは、隠れ層を持つ大域的に最適なニューラルネットワークを学習する。文2|どの線でも砕けない3点のケースが少なくとも1つ見つかるので、線のVC次元は最大でも2であるべきである。,真、真,偽、偽,真、偽,偽、真,B
エントロピーが高いということは、分類におけるパーティションが以下のどれであることを意味するか?,純粋,純粋でない,有用,無用,B
文1|元のResNet論文ではバッチ正規化ではなくレイヤー正規化が使われている。文2|DCGANは学習を安定させるために自己注意を使う。,真、真,偽、偽,真、偽,偽、真,B
あるデータセットの線形回帰モデルを構築する際、ある特徴の係数が比較的高い負の値であることが観察された。このことは、以下のどのことを示唆しているか?,この特徴はモデルに強い影響を与える（保持すべき）,この特徴はモデルに強い影響を与えない（無視すべき）,追加の情報がなければ、この特徴の重要性についてコメントすることはできない,何も決定できない,C
ニューラルネットワークにおいて、アンダーフィッティング（すなわち高バイアスモデル）とオーバーフィッティング（すなわち高分散モデル）のトレードオフに最も影響する構造仮定はこの中のどれか?,隠れノードの数,学習率,重みの初期選択,定項単位入力の使用,A
多項式回帰において、アンダーフィットとオーバーフィットのトレードオフに最も影響する構造的仮定はどれか?,多項式の次数,重みを行列反転で学習するか、勾配降下で学習するか,ガウス雑音の想定分散,定項単位入力の使用,A
文1|2020年現在、CIFAR-10で98%以上の精度を達成したモデルもある。文2|オリジナルのResNetsはAdamオプティマイザで最適化されていない。,真、真,偽、偽,真、偽,偽、真,A
K平均アルゴリズムに関する正しい記述を以下より選択せよ。,特徴空間の次元がサンプルの数より大きくないことが必要,K = 1のとき、目的関数の値が最小になる,与えられたクラスタ数のクラス内分散を最小化する,初期平均がサンプル自身の一部として選ばれる場合に限り、大域的な最適解に収束する,C
文1| VGGNetsはAlexNetの第1層カーネルよりも小さな幅と高さの畳み込みカーネルを持っている。文2| データ依存の重み初期化手続きはバッチ正規化より前に導入された。,真、真,偽、偽,真、偽,偽、真,A
