意思決定における「経験則」タイプのバイアスを何というか?,フレーミング・バイアス,後知恵バイアス,自信過剰バイアス,ヒューリスティック,D
規範的視点とは?,物事のあり方。,今後、物事がそうなるであろう姿。,物事のあるべき姿。,かつて物事がそうであった姿。,C
「ファイブ・フォース・モデル」において、組織間に存在する競争活動のタイプは何か?,業界への参入の可能性,代替製品の脅威,顧客の力,ライバルのレベル,D
次の政治指導者のうち、「変革型」指導者と呼べないのは誰か?,マーガレット・サッチャー,ミハイル・ゴルバチョフ,ネルソン・マンデラ,ビル・クリントン,D
ガントチャートとはどのようなものか?,ワークフロー設計,ワークスケジュール設計,ワークレート設計,ワークアウトプット設計,B
次のうち、マグレガーのX理論の特徴はどれか?,労働者は責任を楽しむ。,労働者は肉体的・精神的努力を仕事の自然な一部とみなす。,労働者は自発性を示すことを好む。,労働者は指示されることを好む。,D
組織における地位や立場から派生する力を何というか?,参考人,専門家,報酬,正当なもの,D
官僚的構造と最も関係の深い作家は?,アンリ・ファヨール,マックス・ウェーバー,アダム・スミス,メアリー・パーカー・フォレット,B
次のうち、産業博愛主義者は誰か?,フレデリック・テイラー,シーボーム・ラウントリー,ヘンリー・フォード,マックス・ウェーバー,B
指導的な道徳哲学としての個人主義は、どの経済学者によって提唱されたか?,ジョン・ケネス・ガルブレイス,ジョン・メイナード・ケインズ,ミルトン・フリードマン,アルフレッド・マーシャル,C
ホーソン研究と最も関係が深い著者はどれか?,メアリー・パーカー・フォレット,エルトン・メイヨー,リリアン・ギルブレス,フレデリック・テイラー,B
変革型リーダーの考え方や展望はどのようなものか?,戦略的,運営的,機能制,発展的,A
取引型リーダーの主な特徴は?,指導し、助言し、やる気を起こさせる,指導し、指揮し、やる気を起こさせる,指導し、実演し、やる気を起こさせる,指導し、助言し、実演する,A
合理的意思決定モデルの前提とならないものは?,不完全な情報,合意された目標,構造化された問題,環境に関する高い確実性,A
次のうち、ドラッカーが提唱したマネジメントの5大原則の1つでないものはどれか?,人々の長所を効果的にし、短所を無関係にする。,人々の貢献能力を高める。,組織の身分制度を運用する。,組織の目的、価値、目標を考え抜き、設定し、例証することによって、人々を共通の事業に統合すること。,C
パラダイムとは何か?,理論的仮定,図解,理論的モデル,モデルとなる実例,D
次のうち、プランニングにおける重要なマネジメントスキルでないものはどれか?,コンセプチュアルスキル,分析スキル,ITおよびコンピューティングスキル,コミュニケーションスキル,C
ベルビン（1981）によると、外向的で熱心な人はどのような役割に当てはまるか?,コーディネイター,シェイパー,リソース調査者,インプリメンター,C
事業継続計画の形式として認められていないものはどれか。,コンティンジェンシー・プランニング,シナリオプランニング,財務プランニング,建物プランニング,D
需給状況の変化に素早く対応し、環境の変化に適応する組織を何というか?,機会主義的な組織,進取的な組織,国際的な組織,アジャイル組織,D
現代のマネジャーが直面する課題として認識されていないものはどれか?,従業員のマイクロマネジメント,コミュニケーションの管理,変化の管理,学習する組織の管理,A
感情的知性とは何を指すか?,人々が世界をどのように見て理解しているか。,人々が自分自身をどのように見て、理解しているか。,人々が他人をどのように見て、理解しているか,人々が自分自身と他人をどのように見て理解しているか。,D
仕事のスケジュールに関する個人の自由とはどのような例か?,ジョブデザイン,ジョブエンリッチメント,ジョブレート,ジョブプランニング,B
道具的アプローチに従うことで、労働者は主に何によって動機づけられるか?,仲間からの評価,昇進,より大きな自由,経済的報酬,D
企業の社会的責任の特徴でないものはどれか。,製品の安全性,消費者の権利,環境政策,価格操作,D
功利主義の主唱者は誰か?,ジョン・スチュアート・ミル,トマス・ホッブズ,カール・マルクス,アダム・スミス,A
一人の個人が作業全体の負担を背負わないようにすることを何というか?,仕事の専門化,仕事の設計,仕事のスケジュール,仕事のシフト,A
業務が区分けされ、ラインマネージャーが遠くにいる労働者で構成されるワークグループをどのように表現するか?,依存的,独立的,相互依存的,協調的,B
専門化はどの組織構造の特徴か?,マトリクス,事業部制,多数事業部制,機能制,D
バリューチェーンの主要な活動の要素でないものはどれか?,調達,インバウンド物流,アウトバウンド物流,サービス,A
ある集団に受け入れられるように個人を行動させる行為を何というか?,教化,洗脳,プロパガンダ,社会化,D
買収はどのような場合に行われるか?,対等なパートナー2社が協力することを決める。,対等なパートナー同士が資源を共有する。,対等でない2つのパートナーが一緒になる。,対等でない2つのパートナーが、買収後に1つになる。,D
