_____________はコミュニケーションプロセスの重要な要素である。発信側と受信側が互いを理解することで、コミュニケーションが成功する可能性が高くなることを認識する。,理解の領域,個人的な売り込み,ノイズ,フィードバック,A
マーケティングの歴史において、生産期間が終わったのはいつ?,1800年代後半。,1900年代初頭。,1920年代。,第二次世界大戦終結後。,C
サービスが製品をどの程度包むかは、いくつかの要因によって異なる。次のうち、要因のひとつでないものはどれか?,製品の種類に関連する接伴性のレベル。,パフォーマンスの価値。,需要と供給の変動。,サービスの提供方法。,B
ある地域の独立系ガソリンスタンドのオーナーが秘密裏に会合を開き、収益性を守るために価格を高く維持することに合意した。彼らの計画が発覚し、罪に問われた場合、以下のどれとなる可能性があるか?,シャーマン反トラスト法に基づいて有罪となり、実刑判決を受ける可能性がある,マグナソン・モス保証法に基づいて有罪となり、多額の罰金を科される,アダムソン法に基づいて有罪となり、実刑判決と罰金を科される,小売店は独自の価格水準を設定することが認められているため、無罪となる,A
「マーケティング・ミックス」という用語は、次のどのことを表すか?,企業内外のあらゆる環境要因の複合分析。,製品の販売を支援する一連のビジネス上の意思決定。,企業のマーケティングの強みとビジネスの弱みの関係。,特定のターゲット市場を満足させるための4つの戦略的要素の混合。,D
__________は、組織とDMUのメンバーに対する情報の種類と流れをコントロールする可能性がある。,ゲートキーパー,買い手,ユーザー,開始者,A
消費者の実際の状態と望ましい状態との間にアンバランスがあり、そのギャップや問題を解決する必要があると認識することを次のどのように呼ぶか?,動機づけ,態度,自己概念,製品評価,A
次のうち、マーケティング・ミックスの要素でないものはどれか?,プロモーション,製品,ターゲット市場,価格設定,C
雑誌で香水（香り）の無料サンプルを提供することは、次のうちどの例か?,古典的条件づけ,オペラント条件づけ,社会的学習,行動学習,A
市場細分化はなぜ行われるのか?,大きな市場を小さな市場に分割するため。,競合他社を凌駕する機会を提供するため。,似たニーズを持つ顧客をグループ化することで、これらの顧客にサービスを提供する商業的に実行可能な方法を提供する。,より大きな市場シェアの達成を可能にするため。,C
ロビンソン、ファリス、ウィンド(1967)は、組織における購買状況には3つの主なタイプがあり、_____________と呼んでいる。,リピート購入,購入段階,購入クラス,テンダー,C
入札価格があまりにも低く設定されたために、落札者が不採算の契約を獲得し、それを引き渡す義務を負う場合、これは次のどれで呼ばれるか?,落札者の呪い,落札者の価格,落札者の報酬,ロスリーダー価格,A
提供量と提供価格がどのように関連しているかを判断することができる指標となるものは?,価格バンドル,価格弾力性,価格非弾力性,価格インフレ,B
________________は買い手と売り手の間で、事前に交換の履歴がなく、将来の交換が期待されない場合に起きる。,関係性マーケティング,サービスミックス,市場取引,サービスの失敗,C
メッセージの受信者が受信に同意している電子メールによるマーケティング方法を何と呼ぶか、次のうちから選べ。,検索マーケティング,インターネット広告,パーミッションベースのEメールマーケティング,ソーシャルウェブマーケティング,C
商品がエンドユーザーに迅速かつ効率的に到達できるように結合してマーケティングチャネルを構成する組織は、集合的に何と呼ばれることがあるか、次のうちから選べ。,自動車,宅配便,輸送,流通チャネル,D
組織特性のセグメンテーション基準の大まかな3つのグループは次のうちどれか?,組織規模、業種、性別,サイコグラフィックス、購買者、行動基準,組織規模、業種、地理的位置,上記のどれにも当てはまらない。,C
後日購入できるように同梱されているクーポンの名称は、次のうちどれか?,独立型クーポン,即時引き換えクーポン,バウンスバッククーポン,リベートクーポン,C
広告は、顧客を維持し、ブランドの利用を増やすための防御として利用される。広告は、既存の考え方を強化するために使用されるのであって、必ずしもそれらを劇的に変えるために使用されるわけではない。この考え方は、次のどのことに基づいているか?,強い理論,弱い理論,ATRフレームワーク,DRIPモデル,B
_____________ は、リソースの使用を最適化し、その適合性、リスクレベル、および期待される財務リターンを評価するために、製品、サービス、投資、およびその他資産の企業のミックスへの評価である。,SWOT分析,政治分析,ポートフォリオ分析,競合分析,C
頻繁に購入され、一度しか使用されず、購入リスクが低い低価格商品は、以下のうちどれか?,耐久性がない,耐久性がある,汎用品,高級品,A
消費者が商品やブランドについてどのように考え、学ぶかを説明する上で、基本的でないプロセスは次のうちどれか?,認知,知覚,学習,パーソナリティ,D
________________は、組織が利害関係者のさまざまなグループによって認識される方法に影響を与えるために使用される。,ダイレクトマーケティング,広報,販売促進,広告,B
取引ベースの取り組みから会話（すなわち双方向の対話）へと移行し、マーケターと顧客（利害関係者など）が通常リアルタイムで対話する状況や仕組みとして説明できるマーケティングは、次のどの名称で知られているか?,デジタルマーケティング,インタラクティブ・マーケティング,ダイレクト・マーケティング,電子マーケティング,B
