ジンクフィンガー・タンパク質とヘリックス・ターン・ヘリックス・タンパク質について正しく述べたものを次から選べ。,DNA結合タンパク質の一種,翻訳の制御に関与するもの,リボソームの構成要素,血液細胞のヘモグロビンの一部,A
あるヒト集団において、X連鎖性劣性遺伝に罹患する男性の頻度が0.10（10人に1人）である場合、罹患する女性の頻度は何％になると予想されるか?,0.01,0.001,0.02,0.0001,A
DNAにおいて、アデニンと通常、対になるのはどれか?,シトシン,グアニン,チミン,ウラシル,C
悪性高熱症（高熱症）が示す遺伝パターンは、以下のうちどれか?,常染色体優性遺伝,常染色体劣性遺伝,X連鎖優性遺伝,X連鎖劣性遺伝,A
ヒト染色体のマッピングについて正しく述べたものを次から選べ。,家族の人数が少なかったため、性染色体に限定されていた。,大量のDNAマーカーが利用できるようになったため、より順調に進んだ。,連鎖群の数は染色体数の約2倍であることが判明した。,DNAのほぼすべてが遺伝子のコード化に関与していることが明らかになった。,B
親が_______に曝露した結果、子孫への世代間伝播が起こる可能性がある。,戦争,自然災害,飢餓,これらすべて,D
分子報告書のAsp235Pheが示しているのは、以下のうちどれか?,アスパラギンがフェニルアラニンに置換されている。,フェニルアラニンがアスパラギンに置換されている。,アスパラギン酸がフェニルアラニンに置換されている。,フェニルアラニンがアスパラギン酸に置換されている。,C
未治療のフェニルケトン尿症の母親から生まれた子供における異常のリスクは以下のうちどれか?,1%,10%,25%,ほぼ100%,D
エクソンスキッピングが関連するのは以下のうちどれか?,ナンセンス突然変異,制御変異,RNAプロセシング変異,サイレント変異,C
染色体不安定症候群でないものはどれか?,クラインフェルター症候群,失明性毛細血管拡張症,ファンコニー貧血,ブルーム症候群,A
正常な成人ヘモグロビン（Hb A）は、何から構成されているのか?,2本のα（アルファ）鎖と2本のβ（ベータ）鎖,2本のα鎖と2本のγ（ガンマ）鎖,2本のα鎖と2本のδ（デルタ）鎖,4本のγ鎖,A
精神分裂病のような疾患において、再発の危険性が最も高いのは、罹患者の以下の親族のうちどれか?,兄弟,甥,孫,叔母,A
鎌状赤血球症の突然変異は、何から構成されるのか?,欠失,重複,挿入,点突然変異,D
以下のうち、モノソミーの例はどれか?,"46,XX","47,XXX","69,XYY","45,X",D
QTL解析は、以下のうちどの目的で使用されるか?,遺伝的交配における複雑な形質に関連する染色体領域を同定するため,発生段階においてどの遺伝子が発現するかを決定するため,細菌ウイルスの遺伝子をマッピングするため,RNA ポリメラーゼ結合部位を同定するため,A
2頭のAaBbCc個体の交配からAABBCC個体の生まれる頻度は?,1.0/64,1.0/32,1.0/128,1.0/256,A
現在、ヒトのタンパク質をコードする遺伝子は______個あると推定されているが、この推定値は時間の経過とともに減少する可能性がある。,"10,000-15,000個","19,000-20,000個","29,000-30,000個","100,000個",B
以下の血縁者のうち、共通のHLAハプロタイプをもつ可能性が最も高いのは誰か?,父,母,姉,息子,C
多遺伝子性アルツハイマー病の感受性を示す遺伝子はどれか?,APP,PS1,PS2,APOE,D
ディジョージ／シュプリントゼン症候群はどの染色体の欠失によって引き起こされるか?,4,7,15,22,D
以下のうち、X染色体の不活性化によって引き起こされるのはどれか?,哺乳類のメスにおいて、2本のX染色体のうち1本を遺伝的に切断する,ヒトで起こり、メスのすべての細胞で同じX染色体が不活性になる,Y染色体が遺伝的に不活性になる,ミバエでは起こるが、哺乳類では起こらない,A
グルコース-6-リン酸脱水素酵素(G6PD)欠損症によって示される遺伝様式は、以下のうちどれか?,常染色体優性遺伝,常染色体劣性遺伝,X連鎖優性遺伝,X連鎖劣性遺伝,D
ホメオボックス配列にあてはまるのは、以下のうちどれか?,多くの動物種のゲノムに存在する,原核生物には存在するが、真核生物には存在しない,細菌ウイルスの統合部位として同定された,トランスポーザブル・エレメントの統合部位,A
以下の核型のうち、ダウン症と診断されるのはどれか?,"46,XX,der(14;21)(q10;q10)pat+21","47,XY,+13","45,XX,rob,(14;21)(q10;q10)","46,XY,t(2;3)(q21;q12)",A
_______の違いには自然の方が重要であり、_______の違いには育成の方が大きな影響を与える。,構造的・解剖学的、心理学的・社会的,心理学的・社会的、構造的・解剖学的,構造的・心理学的、解剖学的・社会的,社会的・解剖学的、心理学的・構造的,A
以下のうち、アンジェルマン症候群になるのはどれか?,母方のUPD 15,父方のUPD 15,父方由来の15番染色体の欠失,SNRPNプロモーターの変異,B
遺伝子組換えα-イドロニダーゼはどの疾患/症候群の治療に使用されるか?,ファブリー病,ゴーシェ病,ハーラー症候群,ポンペ病,C
Moshe Szyf氏らの研究により、出生前の母親のストレスがエピジェネティックに及ぼす影響について重要な知見が得られた。この研究は______と呼ばれている。,発達エピジェネティクス,社会エピジェネティクス,胎児エピジェネティクス,母親エピジェネティクス,B
両親ともに同じ常染色体劣性遺伝性疾患に罹患している場合、それぞれの子供が罹患する確率は___に等しい。,4人に1人,2人に1人,3人に2人,1人,D
δβ-サラセミアにおける突然変異のメカニズムは以下のうちどれか?,欠失,重複,挿入,点突然変異,A
ハーディー・ワインベルク平衡を仮定すると、研究対象の遺伝子における2つの対立遺伝子の頻度が0.6と0.4の場合、ヘテロ接合体の遺伝子頻度は以下のうちどれか?,0.8,0.64,0.48,0.32,C
家族性高コレステロール血症は、何をコードする遺伝子の変異によって引き起こされるか?,高密度リポ蛋白,HMG-CoA還元酵素,低密度リポ蛋白,低密度リポ蛋白受容体,D
ダークブルーの花を咲かせる系統と、明るい白色の花を咲かせる系統の交配により、ライトブルーのF1子孫が生まれる。このF1子孫を自殖させると、濃青花と淡青花と白花の比率が1：2：1になる。これらの結果と一致する遺伝的現象は何か?,エピスタシス,不完全優性,共優性,近交抑制,B
出生時に異常が確認できる赤ちゃんの割合は_____である。,10人に1人,40人に1人,100人に1人,500人に1人,B
______はアルカプトン尿症やアルビニズムのような遺伝病を説明した。,劣性遺伝,優性遺伝,X染色体,Y染色体,A
以下のうち、父方伝染が予想されるものはどれか?,ハンチントン病,マルファン症候群,嚢胞性線維症,フラジャイルX症候群,A
ホメオティック変異とは、以下うちどのような変異か?,個体内に1つの形でのみ存在するもの,発生過程において、体の一部を別の部位に置き換えるもの,その結果、腫瘍が発生するもの,ある温度では野生型であるが、別の温度では異常型となるもの,B
以下のうち、家族性癌症候群でないものはどれか?,家族性腺腫性ポリポーシス,リ・フラウメニ症候群,フォン・ヒッペル-リンドウ症候群,ワールデンブルグ症候群,D
エピジェネティックな遺伝システムは______として記述されている(Mayr と Provine、1980)。,遺伝子型遺伝,ソフト遺伝,RNA遺伝,ハード遺伝,B
出生時の高度の貧血は何の特徴か?,アルファサラセミア,ベータサラセミア,遺伝性胎児ヘモグロビン持続性,鎌状赤血球症,A
もしX連鎖劣性遺伝疾患がハーディー-ワインベルグ平衡にあり、男性における発症率が100人に1人であるとすると、罹患したホモ接合体女性の予想発症率は________となる。,1000人に1人,4000人に1人,10000人に1人,40000人に1人,C
テイ-サックス病は______________________の欠損によって引き起こされる。,α-L-イデュロニダーゼ,グルコース-6-ホスファターゼ,ヘキソサミニダーゼA,ホモゲンチジン酸オキシダーゼ,C
以下のうち、ナンセンス変異が関与しているのはどれか?,制御配列,AGスプライスアクセプター部位,異なるアミノ酸の生成,終止コドンの生成,D
ポリメラーゼ連鎖反応(PCR)は、以下のうちどのような技術か?,DNAが遺伝物質であることを証明するために使用された技術,土壌サンプル中のミネラル含有量を測定するために使用された技術,短いDNAプライマーと耐熱性DNAポリメラーゼを使用し、試験管内で特定のDNA配列を複製する技術,翻訳中のリボソーム移動速度を測定する技術,C
母体血清中のα-フェトプロテイン（AFP）濃度が平均より低いのはどのような場合か?,ダウン症,外脳症,神経管欠損症,双胎妊娠,A
_________は、ある遺伝子型が発達中の異なる環境条件に応答して、様々な異なる生理学的または形態学的状態を生じさせることができる現象として説明されている(West-Eberhard、1989)。,胎児可塑性,胎児起源仮説,発達可塑性,環境可塑性,C
シロイヌナズナは、以下のうちどの理由で、植物の遺伝子研究に有利か?,食用作物として商業的に重要,絶滅の危機に瀕している種,現存する植物の中で最も人間に近い種,ゲノムサイズが小さく、安価に栽培できる植物,D
いとこ同士が共有する遺伝子の割合は平均して___である。,1.0/2,1.0/4,1.0/8,1.0/16,C
以下のうち、腫瘍抑制遺伝子でないものはどれか?,APC,NF1,RB1,RET,D
以下のうち、X連鎖優性遺伝の特徴はどれか?,両親の血縁関係,男性から男性への伝達,女性のみによる伝達,男性のみによる女性への伝達,D
平均して、DNA中の特定の4塩基配列を認識する制限酵素が、ゲノムサイズが5000 bpの二本鎖バクテリオファージを切断する断片はいくつあると予想されるか?,約2,約4,約20,約50,C
位置クローニングについて正しく述べたものを次から選べ。,選択手順を用いてcDNAをクローニングすること,PCR法を用いて遺伝子の一部をクローニングすること,別の生物種由来のプライマーを用いてPCR法により遺伝子を単離すること,遺伝子を染色体領域にマッピングし、その領域から遺伝子のゲノムコピーを同定してクローニングすること,D
クローニングのためのプラスミドベクターについて正しく述べたものを次から選べ。,一般にファージベクターよりも大きなインサートに対応できる。,細菌内で増殖し、寒天平板上の細菌コロニーに存在する。,100キロ塩基以上のインサートに対応できる。,酵母での増殖を可能にするためにセントロメアを含む。,B
転写活性化タンパク質について正しく述べたものを次から選べ。,真核生物の遺伝子近傍の領域に結合し、RNAポリメラーゼによる遺伝子の転写を可能にする。,リボソームに結合し、特定のタンパク質の産生を活性化する。,ファージによる細菌の感染時に産生される。,翻訳中の転移RNAの機能に不可欠。,A
グルコースのレベルが低いと仮定すると、大腸菌のlacオペロンに結合しているリプレッサーに変異が起こり、ラクトースへのリプレッサーの結合が阻害されると、以下のうちどの結果になる事が予想されるか?,lacオペロン遺伝子の構成的発現,lacオペロン遺伝子のあらゆる状況下での発現の欠如または発現の減少,ラクトースが存在する場合にのみ遺伝子の発現,ラクトースが存在しない場合にのみ遺伝子の発現,B
減数分裂では、組換えは以下のうちどの時期に起こるのか?,メタフェイズI,プロフェイズI,メタフェイズII,プロフェイズII,B
ルーバー遺伝性視神経萎縮症は、以下のうちどの変異によって引き起こされるか?,第12染色体,第18染色体,第21染色体,ミトコンドリアDNA,D
エクソンに関する以下の記述のうち、正しいと思われるものはどれか?,タンパク質をコードする遺伝子のエクソンの中には、ノンコーディングDNAからなるものがある。,タンパク質をコードする遺伝子の最初のエキソンには、常に翻訳開始部位が含まれている。,タンパク質をコードする遺伝子の最後のエキソンには、常に正常な終止コドンが含まれている。,コードしているエクソンは、常に3つの可能なフォワードリーディングフレームのうちの1つだけで翻訳される。,A
ヒトの場合、各細胞には通常______の染色体がある。,11対,23対,32対,46対,B
近交係数Fが増加すると、次にどのような結果になりやすいか?,集団中にヘテロ接合体が存在する可能性の減少,連鎖を示す遺伝子の割合の増加,イントロンをもつ遺伝子の割合の増加,2つの娘細胞のRNA分子間の差が大きくなる,A
出生前超音波検査で染色体異常を疑わない所見はどれか?,十二指腸閉鎖症,全前頭症,胎児水腫,一卵性双生児,D
