ミルによれば、真実である可能性のある言論を検閲することは以下のどれを意味するか?,人間の尊厳を侵害する。,一応の誠実義務に反する。,自分が無謬であると主張することに等しい。,リスクを冒す価値があるが、その言論は十分に危険。,C
ウェストによると、フェミニストのレトリックによってもたらされたものは次のどれか?,強制されたものは悪いので、強制されていないものは良いということを暗示することによって、強制されていない合意に基づくセックスの害を覆い隠している。,すべてのセックスを合意のないセックスと同一視することでレイプの害を覆い隠している。,何が良いのか、何が強制されていないのかの区別を認識しないことで、合意に基づくセックスの害を認めることにつながった。,上記のすべて,A
ミルによれば、特定の快楽の価値は以下のどれによって決まるか?,その量だけ,その質だけ,その量と質の両方,その量でも質でもない,C
カラザースによれば、動物のために誰かが動物に対してある方法で行動をとる必要がある場合、その事実を説明するのは以下のどれについての事実か?,その動物。,人間に対するより広い影響。,AとBの両方,AでもBでもない,B
クローンに関する議論で使われるSCNTとは何の略か?,皮膚細胞核移植,幹細胞核移植,体細胞核移植,上記のどれでもない,C
ヴェルマンは、患者に安楽死という選択肢を提供することで、以下のどの点について懸念を抱いているか?,患者が自分自身を傷つけることを許してしまう。,医師に患者を傷つけることを強要する。,患者の家族を傷つける。,患者を傷つける。,D
ナタンソンは次のうちどの種類の応報主義を支持しているか?,予防的,比例的,平等,報復的,B
カラザースは、人間以外の動物の道徳的地位に関する問題に、次のうちどの道徳理論の観点からアプローチしているか?,結果主義,カント主義,徳倫理学,契約主義,D
ガーディナーの分析において、気候変動問題の特徴は次のうちどれか?,制度的妥当性,原因と結果の分散,主体性の分断,上記すべて,D
気候変動の「世代間の嵐」とは何か?,世代を超えた世界の大規模な人口過剰の問題。,現在の二酸化炭素排出による悪影響が、将来の世代に大きく及ぶという問題。,温室効果ガス排出の複合的な影響により、現在の世代が事実上、将来の世代に協力する必要があるという問題。,二酸化炭素の排出によって大きな利益を得ている現在の世代の利益に、各国が偏っている可能性があるという問題。,D
Hourdequinは、結果主義的な計算の1つの欠点として、以下のどの点を主張しているか?,一義的な義務を調和させることができない。,人が自分のコミットメントをさまざまなレベルで統合できることに反する可能性がある。,人が原子論的で個々に合理的な行為者であるという考えに反する可能性がある。,人物は互いに関連して理解されるのが最善であるという可能性を認識できない。,B
ダーショウィッツは、9.11のハイジャック機を撃墜しなければならないという仮定のケースについて論じ、このような重要な決定について何と述べているか?,しばしば迅速かつ即時の承認なしに下されなければならない。,最高レベルの高官によって可視化され、説明責任を果たすべき。,客観的な答えがない。,上記のどれにも当てはまらない。,B
バクスターは、環境の扱いをさまざまなトレードオフの問題と見なすべきであり、それは次のどの目的のためだと主張しているか?,すべての生物が被る損害を最小限に抑えるため。,すべての知覚生物の苦しみを最小限に抑えるため。,生態系の機能的完全性を促進するため。,人間の福祉を促進するため。,D
次のうち、価値に基づく道徳理論の例はどれか?,結果主義,徳倫理学,AとBの両方,AでもBでもない,C
カス氏は、クローン個体について以下のどの点について懸念を抱いているか?,珍しい存在として見られるようになる。,彼らのクローン元である人物に関して精査される。,上記の両方,上記のいずれでもない,C
ギルによれば、レオン・キャスはなぜ「死んだ方がいい」という考え方が支離滅裂だと考えているのか?,死者はもはや存在しないので、死を選んでも利益を得られないから。,死よりも悪いこと（例えば長期間の拷問）もあるから。,なぜ死が悪いのか、満足のいく哲学的説明がまだなされていないから。,定義上、死は望ましくないから。,A
胚は、すべての人が持つ特定の権利(生命に対する権利など)を欠いているため、人間ではないという議論に対して、リーとジョージは次のどのように主張しているか?,生命に対する権利は、人間が存在するすべての時に人間に属する。,生命に対する権利は、人間であろうとなかろうと、すべての生物に属する。,すべての人が生命に対する権利を有するわけではない-例えば、殺人者は、彼または彼女の行為を通じて彼または彼女の生命に対する権利を放棄した,上記のすべて,A
刑罰に対する結果主義的アプローチは、以下のどの理論と対立するか?,刑罰の応報的理論。,完全主義的処罰理論。,刑罰の法的理論。,刑罰の予防理論。,A
ハーストハウスは、どの適切な行動指導理論（すなわち道徳理論）も、知的な人間であれば誰でも従うことができる、何をすべきで何をすべきでないかについての明確な指針を提供しなければならないという主張について、どのように言っているか?,彼女はその主張は非常にもっともらしいと言っている。,彼女はその主張はありえないと言っている。,彼女はその主張は自明だと言っている。,彼女はその主張は真実だと言っている。,B
次のうち、Kassがクローン作りに反対している理由でないものはどれか?,非倫理的な実験である。,アイデンティティーと個性を脅かす。,クローンがさらにクローンを生み出すにつれ、有害な生物学的突然変異をもたらす。,親子関係や子育てに関する価値観を変質させる。,C
結社の自由は、政治的領域よりも夫婦間の文脈の方がはるかに重要であるという反論に対して、ウェルマンが述べているのは次のどれか?,夫婦間の文脈には結社の自由はない。,彼の主張は、夫婦間の結社の自由と政治的な結社の自由が等しく重要であることを要求していない。,結社の自由はどちらの文脈においても等しく重要。,上記のいずれでもない,B
もしある政策が、人間に悪影響を与えることなく、いくつかの動物種を絶滅させることがわかったとしたら、バクスターは次のどのように言う可能性が最も高いか?,この政策は環境を害するので道徳的に問題がある。,この政策は生態系の完全性を損なうので、道徳的に問題がある。,環境は存在すべきではないので、この政策は道徳的に義務的。,この政策は道徳的に問題がない。,D
ライマンによれば、ファン・デン・ハーグの議論は次のどの結論につながるか?,死刑を科すことは控えるべき。,犯罪者の処刑を拒否することは、文明的な効果をもたらす。,拷問による死を制定すべき。,殺人は間違っている。,C
シンガーによれば、平等原則は以下のどれを要求するか?,同一の待遇,差異待遇,同等の配慮,差のある配慮,B
ケア倫理擁護者の主張は次のどれか?,ケア倫理は徳倫理学の重要な発展。,伝統的な道徳理論では、態度の善悪を説明することは困難。,より重要な概念はケアと思いやりだけ。,我々は福祉と幸福について、同情の観点から考えるべき。,B
ノークロスは、人間と動物の間の道徳的に重要な違いとして、ある種の合理性に訴えることによって、人間は他の動物よりも高い道徳的地位を持っているという主張を正当化しようとする試みについて次のどのように考えているか?,限界的な事例からの議論に対して適切な答えを与えることができない。,そのような違いが、動物の道徳的な代理人としての地位とは対照的に、道徳的な患者としての動物の地位に道徳的に関連していると主張することを怠っている。,AとBの両方,AでもBでもない,C
死刑は殺人を抑止しないという議論に対するヴァン・デン・ハーグの主張は次のどれか?,死刑の脅威が少なくとも殺人を防ぐことはあると確信している。,刑法は殺人者よりも無実の人を守るもの。,死刑の重さと確定性は、殺人の重さと確定性にふさわしい。,上記すべて,D
トーマス・ナーゲルは『戦争と虐殺』の中で論じている2種類の道徳的配慮を何と呼んでいるか、次から選べ。,結果主義と尊厳主義,前向きと後ろ向き,功利主義と絶対主義,上記すべて,C
アーサーが貧困層が富裕層からの援助を受ける権利がないと考える主な理由は何か?,人は誰からも援助を受ける権利を持つことはできない。,援助を受ける権利は否定的な権利。,貧しい人を助けることの結果は、助けないことの結果よりも悪い。,この種の権利は契約や合意を必要とするが、富裕層は貧困層と契約や合意をしていない。,D
ペンスは、SCNTに反対する人々がSCNTが子供にとって最善でないと言うとき、どのような憶測を立てていると思うか?,両親の動機は善良。,両親の動機はわからない。,両親の動機は悪い。,上記のどれにも当てはまらない。,A
性的対象化に関するカントの見解に対するパパダキの主張は次のどれか?,性的利用がどのように人間性を犠牲にするのか明確でない。,カントが性的対象化の過ちを人間性の観点から考えるのは間違っている。,性的対象化は実際には人間性を高める。,パパダキは実際にはカントの見解に同意している。,A
トムソンは、バイオリニストが1時間だけあなたの腎臓を使えば生き残れるという、バイオリニストのケースの別バージョンについて論じている。このケースについてのトムソン自身の見解は次のうちどれか?,バイオリニストにその1時間あなたの腎臓を使わせる義務はない。,バイオリニストには、その1時間が過ぎる前に、自分自身の腎臓を切り離す義務がある。,あなたはバイオリニストにその1時間あなたの腎臓を使わせるべきであるから、そのバイオリニストにはその1時間あなたの腎臓を使う権利があると結論づけるべき。,たとえあなたがバイオリニストにその1時間あなたの腎臓を使わせるべきだとしても、彼または彼女にはその1時間あなたの腎臓を使う権利があると結論づけるべきではない。,D
ファインは、セントラルパークで練習し、将来のメンバーを自由に拒否することはできるが、他の人たちがセントラルパークを利用することを自由に締め出すことはできないヨガグループの例を考えてほしいと言っている。この例のポイントは以下のどの点を示すためか?,セントラルパークは国家として適格。,加盟に関する規則と、物理的領土内の居住に関する規則は異なる。,領土権は個人にしか属さない。,ウェルマンは集団のメンバーシップに関する不合理な理論に傾倒している。,B
ポッゲによれば、貧困に関連した原因の年間死亡者数は次のうちどれか?,全死亡者数の約4分の1。,全死亡者数の約3分の1。,全死亡者数の約2分の1。,上記のどれでもない。,A
重大なミスのために覆された死刑事件の全体の割合は?,50％未満,52%,68%,82%,C
ヌスバウムによれば、誰かを物として扱うことは以下のどれを意味するか?,性的対象化にとって十分。,性的対象化には必要。,性的対象化には必要ない。,上記のすべて。,C
"コルヴィーノのアクィナス解釈では、""不自然な""性行為とは、以下のどのようなものか?",意図的に創造を促進するもの。,非同意的なもの。,意図的に非創造的。,成人の間では一般的でない。,B
ラシェルズはスミスとジョーンズのケースを比較して、以下のどの点を示したか?,殺すこと自体は死なせることよりも道徳的に悪い。,死なせること自体は、殺すことよりも道徳的に悪い。,殺すこと自体は、死なせることよりも道徳的に悪いことではない。,上記のいずれでもない。,C
生物中心主義とは、以下のどの見解か?,直接的な道徳的地位を持つのは人間だけ。,すべての、そして唯一の知覚力のある生物が、直接的な道徳的地位を持っている。,すべての生物は、生きているので、直接的な道徳的地位を持っている。,直接的な道徳的地位の主な担い手は、その機能的完全性に基づく生態系。,C
結果論的道徳理論の特徴は次のうちどれか?,価値に基づく理論。,エージェントに開かれた代替行動という考え方を含む。,強く公平主義的な道徳理論。,上記すべて,D
ウェストの説明によれば、パートナーに実際に依存しているか、あるいは依存していると感じているために、望まないセックスをする女性は、以下のどの理由で自律意識が傷つけられる経験をする可能性があるか?,自立につながるような手段すべてを取ることを怠ってきたため。,自分の好きなようにする自由がない限り、パートナーに支配されているため。,実際にセックスを強要されているため。,上記のいずれでもない。,A
社会が非会員に対して負う義務として、マセドが挙げていないものは次のうちどれか?,公正取引の義務（例：搾取をしないこと）,国際的平等主義の義務（例：すべての人が平等に富を得られるように保証すること）,是正と救済の義務（例：抑圧された人々を救済すること）,人道主義的な義務（例：組織的な人権侵害を防止すること）,B
ミルは、各人は以下のどれを望むと考えるか?,自分の義務を果たすこと,有徳であること,自分自身の幸福,上記のどれでもない,C
バルスによれば、政治的暴力の正当な理由は通常以下のどれか?,防衛的なもの,攻撃的,領土問題,経済的動機,A
