ある疾患の集団における有病率が、他のすべての条件が一定である場合に増加するのは、次のうちどれか？, その疾患の罹患率が低下した場合。, 疾患の生存期間が長くなる場合。, 疾患の回復が早い場合。, 疾患が測定された集団が増加した場合。,B
次の記述のうち、正しいものはどれか？, フラボノイドは、フラボノイドとイソフラボノイドからなる。, 大豆食品中のイソフラボンの消化性と生物学的利用能は、加工によって変化しない。, ß-カロテンとリコピンは、ともにプロビタミンAとして作用する。 , カロテノイドとフラボノイドは、ともにポリフェノール類に属する。,A
肥満流行の主な原因はどれか？, エネルギー量／密度の増加と座りがちな生活 , 余暇活動の減少 , 遺伝子プロファイルの変化 , どれも正しくない,A
細胞膜の主要な脂溶性抗酸化物質であるビタミンはどれか？, ビタミンA , ビタミンD , ビタミンE ,ビタミンK,C
高齢者のビタミンB12欠乏の原因となるのはどれか？,内因子の分泌の減少, 萎縮性胃炎 , ヘリコバクター・ピロリ感染 , 上記すべて,D
肥満は子宮内膜癌のリスクを増加させる。この効果を媒介すると考えられるホルモンはどれか？, テストステロン , エストロゲン , インスリン様成長因子-1 , サイロキシン,B
小腸からのカルシウム吸収に必要なビタミンはどれか？, ビタミンA , ビタミンD , ビタミンE ,ビタミンK,B
アミノ酸の代謝需要に関する次の記述のうち、正しいものはどれか？, 代謝需要は食事からのみ供給される。 , 代謝需要はタンパク質の回転を維持するため。, 代謝需要は、多くの不可逆的経路によるアミノ酸の消費を含み、これらは義務的か適応的かのいずれか。, 代謝需要は一定量。,C
ヒトの栄養におけるアミノ酸必要量に関する次の記述のうち、正しいものはどれか？    , 成人用に決定されたアミノ酸必要量は、すべての年齢層の要求パターンと仮定される。, 成人に対して決定されたアミノ酸必要量は、すべての年齢における維持のための要求量であると仮定される。, 母乳のアミノ酸パターンが、すべての子供の必要量パターンであると仮定する。, ヒト組織タンパク質のアミノ酸パターンが、乳児と幼児の要求パターンと仮定される。,B
食品添加物は、以下の選択肢のどの場合に安全であると考えられるか？ , 使用期間中、ヒトに対する毒性の証拠が観察されない , 食品中の存在による推定一日摂取量（EDI）がADI未満である , その毒性作用は、EDIの100倍の用量でのみ観察される , 利点がリスクを上回る,B
次の記述のうち正しいものはどれか  ？, 生後24ヶ月以前の小児期の発育阻害は、短期的な認知能力に影響を与える , 生後24ヶ月以前の小児期の発育阻害は、長期的な認知能力に影響を与える , どちらの記述も正しくない , どちらの記述も正しい,D
食料安全保障において、女性はどのような役割を果たしているか？, 主な役割は食事の準備。, 食料の生産者、天然資源の管理者、収入を得る者、家庭の栄養管理者として中心的な役割を果たす。, 畑の草取りはするが、耕したり植えたりすることはない。 彼らの努力は主に菜園と鶏に注がれ、男性は穀物作物と大型家畜に携わる。, 彼らの努力は主に菜園と鶏に注がれ、男性は穀物作物と大型家畜に携わる。,B
すべて食事の必須成分であるアミノ酸はどれか？, ロイシン、メチオニン、スレオニン , プロリン、チロシン、セリン , バリン、グリシン、アルギニン , ロイシン、システイン、グリシン,A
