ソクラテスにとって、検証されていない人生は悲劇である。なぜなら、それは_____に重大な損害をもたらすからである。,国家,司法制度,身体,魂,D
カントによれば、＿＿＿＿を除いて、無条件に「善」と呼べるものはない。,正しい行為,良い結果,幸福,良い意志,D
プラトンの考えでは、真の美とは_____である。,日常的なものの中にある,存在しない,自然界のいたるところにある,この世のものではない,D
アリストテレスの用語では、無自制とは次のどの場合を指すか?,自分の行為が間違っていることを知らない。,自分の行為が間違っていると知っていながら、とにかくそれを行う。,自分の感情が不適切であることを知っていながら、それに基づいて行動しない。,正しい行動をとるが、その理由が間違っている。,B
ネーゲルは、懐疑的な議論のほとんどは次のどのようなものだと主張するか?,恣意的に厳しい基準を適用した結果。,言語的混乱に基づいている。,論理的に自己反駁的。,通常の基準を一貫して適用することによって成長する。,D
ロールズは当初の契約を次のどのように考えているか?,特定の社会に入ること。,特定の政治形態を設定する。,社会の基本構造に関する正義の原則を確立する。,道徳の内容を確立する。,C
シンガーによれば、彼の原則に従うためには次のどれが必要か?,個人的な習慣を適度に変えるが、社会全体は変えない。,個人的な習慣を社会と同様に緩やかに変える。,個人の習慣を大幅に変えるが、社会は変えない。,私たちの個人的な習慣と社会の両方に劇的な変化をもたらす。,D
ソクラテスにとって、魂は_____の欠如によって害される。,知識,富,共同体,勇気,A
カントによれば、道徳は我々に次のどれを要求するか?,最大の総合的幸福につながる行動をとること。,普遍的な法則になるように達成できる原則に基づいてのみ行動する。,完全な徳のある人がするような行動だけをする。,自分の利益よりも他人の利益を優先する。,B
ゴーティエによれば、道徳の基本は次のどれか?,すべての衆生の効用を最大化すること。,神の命令。,理性的な人間が相互作用の条件を選択することに同意すること。,自然の目的のある秩序。,C
アンスコムは、次のどの領域の哲学が十分なものになるまでは道徳哲学を行うことは有益ではないと主張しているか?,宗教。,物理学。,心理学。,芸術。,C
ミルは、功利主義に対する最も強力な反論の一つは、以下のどの考えから引き出されると主張しているか?,義務。,正義。,徳。,超代償。,B
バークレーは、存在することと認識することは_____であると主張している。,同一のもの,どちらも存在しないもの,２つの別々のもの,想像上のもの,A
ロールズによると、「公正としての正義」という言葉は、正義の原則は＿＿＿である最初の立場で合意されるという考えを伝えている。,合理的,人為的,憲法的,公正,D
バークレーは、感覚的なものは＿＿＿＿の中以外には存在しえないと考えている。,心,絶対的存在,物質,物質的宇宙,A
シンガーは、自分の主張は以下のどの伝統的な区別を覆すものだと主張するか?,義務と慈善。,利己主義と利他主義。,権利と特権。,ポジティブな権利とネガティブな権利。,A
プラトンは『分断線』の考察の中で、知識とは、単なる信念や意見とは対照的に、私たちが以下の何に訴えることによって理由や正当性を与える信念である、と述べているか?,ものごとが本当はどうなのかではなく、どのように見えるのかについて、われわれの感覚がわれわれに明らかにするもの。,形式を超えて、特定の対象から得られる善、美、真実のイメージに。,私たちの世界での経験に基づいて、私たちが形体について真実だと心から信じていることに。,感覚的経験を超えて、合理的な秩序として認識される不変の観念（形相）に至る。,D
人生の意味についてのクラレンス・ダローの信念とは?,人生に価値はない。,人生は辛いものだが、やりがいのあるものだった。,人生は不確かだが、最終的には報われる。,人生はほとんどの人にとって有意義であった。,A
本稿におけるスティーブンソンの主な目的は?,何が正しい行為を正しいものとするのかについて説明すること。,どのようなことがそれ自体として善であるかを立証すること。,善良な道徳的人格の理論を展開すること。,倫理的疑問を明確にすること。,D
ムーアによれば、私たちは以下のどれについて考えるときはいつも善について考えていると言っているか?,喜び。,欲望を抱くもの。,本質的価値。,上記のどれでもない。,C
バイエルは、本物の道徳的規則は次のどれであると主張するか?,人間の利益のためでなければならない。,すべての衆生の利益を考慮しなければならない。,生きとし生けるものすべての利益を考慮しなければならない。,主として自己利益を促進することに向けられている。,A
ヌスバウムは、現在の倫理理論家の多くにとって、美徳に基づく倫理的アプローチへの転向は、以下のどれへの転向につながると主張しているか?,合理主義。,経験主義。,相対主義。,絶対主義。,C
哲学は主に、人間の存在に関する信念を特定し、それらの信念を支持する論拠を評価することに関係している。 これらの活動は、哲学的探究の原動力となるどの2つの問いに要約することができるか?,なぜ悩む必要があるのか?そしてあることを他のことよりも信じることの影響は何か?,どういう意味か?なぜわかるか?,誰が本当にXを信じているのか?人々の信念の違いをどう説明できるのか?,哲学者はどのように議論するのか?その違いは重要なのか?,B
エピクテトスは、私たちの力の及ぶ範囲内にあるものは______________であり、 私たちの力の及ばないものは______________であると主張している。,自由で妨げがない、自由で妨げがない,自由で妨げがない、隷属的で妨げがある,隷属的で妨げがある、自由で妨げがない,隷属的で妨げがある、隷属的で妨げがある,B
ヒュームは私たちの知覚をどの2つのカテゴリーに分けているか?,感覚と感情。,印象と観念。,静的なものと動的なもの。,単純と複雑。,B
