ギザのエジプト最大のピラミッドについて正しい記述を次のうちから選べ。,クフ王、クフ王の息子カフレ、クフ王の孫メンカウレの埋葬記念碑として建設された。,旧約聖書の出エジプト記に記述されているように、死の恐怖の下で強制的に働かされた奴隷たちによって建設された。,第6王朝の建設狂乱の中で建設された。,上記すべて。,A
解剖学的に現生人類が初めて中東に到達したとき、彼らは誰に遭遇したか?,ヨーロッパとアジアに生息していた前近代人の進化的子孫であるネアンデルタール人,ヨーロッパとアジアに生息していた前近代人の進化的子孫であるホモ・エレクトス人,アジアで独自の進化を遂げ、20万年前までにそこに到着していたホモ・サピエンス,上記すべて,A
ホーレンシュタイン・シュターデル洞窟の「ライオン・マン」は次のうちどの一例か?,モバイルアート。,エキゾチックな原材料の長距離交易。,洞窟アート。,ヴィーナスの置物。,A
クノッソス宮殿の最盛期には、_________以上の部屋があったと考えられている。,100,500,"1,000","5,000",C
ホープウェルは複雑な階級社会であったが、国家ではなかった。ホープウェル文化に備わっていた要素は、以下のうちどれか?,正式な政府,記念碑的なアースワーク,都市中心部,恒久的な軍隊,B
太陽のワカの泥レンガに見られる印は、次のうちどれと考えられているか?,技術者たちによってそこに書かれた建築業者への指示。,無作為のひっかき傷であり、意味のある文字や書き言葉ではない。,それを作った地元のグループを特定するためのもの。,建築現場で大工たちが行った単純な計算。,C
ストーンヘンジの30個の直立した石は_______と呼ばれ、水平の石は_______である。,マメ、サルセン,まぐさ、石碑,サルセン、まぐさ,トリリトン、円形建造物,C
現代の人間の赤ちゃんの二次的な晩成性の状態は、次のうちどの点で進化的な解決策であったと言えるか?,ヒト科の脳の大きさは100万年以上も成長していなかったため、赤ちゃんが歩くのは困難だった。,それは、より早い年齢での二足歩行と母親からの自立を可能にした。,二足歩行の結果、女性の骨盤の産道が狭くなったため、出生後の脳の成長を可能にした。,二足歩行の結果、女性の骨盤の産道が広くなったため、出生前に脳がほぼ成人の大きさに成長することができた。,C
C3およびC4経路に関する研究は、植物群落の変化が、古代のヒト科の食餌の以下のうちどれからの移行と関連していたことを示しているか?,草を中心とした種から木の実や果実へ。,肉から果物や野菜へ。,果物や野菜から魚へ。,木の実や果物から、より草を中心とした種へ。,D
次のうち、中石器時代における植物の新たな用途を示す証拠はどれか?,南西ヨーロッパのアルタミラ洞窟に見られる、天然の殺虫剤としての種子の使用,南フランスのアウリニャキア人の埋葬に見られる、花などの植物材料,南アフリカのシブドゥ洞窟の床に敷き詰められた植物材料,グラベット人の伝統における、槍投げやカヌーを作るための木材の使用,C
