Arno社は、期末前に行った商品の掛買いを計上していなかった。しかし、その商品は期末実地棚卸高に正しく含まれていた。商品仕入の計上漏れは、Arno社の期末貸借対照表にどのような影響を与えたか? 資産 負債,影響なし 影響なし,影響なし 過少計上,過少計上 影響なし,過少計上 過少計上,B
監査サンプリングリスクに関する次の記述のうち、非上場企業にとって正しいものはどれか?,非サンプリングリスクは、実証手続が一つのサンプルに限定されている場合、監査人が母集団の各項目をテストした場合と結論が異なる可能性から生じる。,非サンプリングリスクは、監査人が虚偽記載を認識できなかったために生じる可能性がある。,サンプリングリスクは、特定のリスクに対して監査手続を適用する際の不確実性から生じる。,サンプリングリスクには、特定の目的を達成するために適切でない監査手続を選択する可能性が含まれる。,B
後発事象に関して、監査人が一般的に実施する手続はどれか?,期末日前に発注され、期末日後に到着した棚卸資産を検査する。,過去に不適切であると経営者に報告された内部統制活動をテストする。,年末から数カ月間、クライアントの締切日の銀行取引明細書をレビューする。,入手可能な最新の中間財務諸表と監査対象の財務諸表を比較する。,D
FASBが会計基準コーディフィケーションの変更のために公表するのはどれか?,会計基準アップデート,発生問題専門委員会リリース,財務会計基準書,スタッフ技術速報,A
現在500ドルの投資プロジェクトは、5年目と10年目に500ドルの利益を生み出す。割引率が10%の場合、プロジェクトのNPVはどれくらいになるか?,-3ドル,-27ドル,3ドル,500ドル,C
7年目の7月1日、Dean社は12年7月1日を償還期限とする社債をプレミアムとして発行した。Dean社は、プレミアムの償却に実効金利法ではなく定額法を誤って使用した。12年目の6月30日現在の以下の金額は、この誤りによってどのような影響を受けたか? 債券の帳簿価額　内部留保,過大計上 過少計上,過少計上 過大計上,過大計上 影響なし,影響なし 影響なし,D
クーポン5％、利回り6％の3年債（額面100ドル）の価格は?,100ドル,104.29ドル,96.71ドル,97.33ドル,D
ある会社が最近新しいビルに移転した。旧社屋は売却のため積極的に販売されており、会社は4カ月以内に売却を完了する予定である。旧社屋に関する以下の記述のうち、誤っているものはどれか?,売却目的で保有する資産に再分類される。,流動資産に分類される。,それ以上減価償却は行わない。,取得原価で評価する。,D
"カーソンはC法人の発行済み株式の40%を所有していた。ある課税年度において、この法人は400,000ドルの課税所得を計上し、株主に合計70,000ドルの現金配当を行った。カーソンは、個人確定申告書に28,000ドルの総所得を正確に申告した。この法人がS法人であり、所有者への配当が比例配分であった場合、カーソンは個人申告書にいくらの所得を申告したか?","28,000ドル","132,000ドル","160,000ドル","188,000ドル",C
ある投資は、年間10ドルを永遠に払い続ける。市場割引率が5％の場合、その投資の価値はいくらか?,100ドル,2ドル,500ドル,200ドル,D
"スミスの調整後総所得(AGI)は、賃貸不動産活動から生じた損失40,000ドルを考慮しない場合、120,000ドルである。スミスは賃貸不動産活動に積極的に参加している。スミスが課税所得を決定する際に控除できる賃貸損失の額はいくらか?",0ドル,"15,000ドル","20,000ドル","40,000ドル",B
次のうち、公認会計士事務所の会計監査業務に適用される品質管理方針及び手続の要素はどれか?,エンゲージメント・パフォーマンス,リスク分析,資産の保護,情報処理,A
"ある会社は3月中に10,000ユニットの完成品を製造すると予測していた。直接労務費基準では、完成品1ユニットに必要な直接労務時間は2.4時間、標準賃金は1時間当たり20ドルで、完成品1ユニット当たり合計48.00ドルであった。3月中、会社は実際に9,000ユニットの完成品を製造した。生産には完成品1個当たり2.5時間の労働時間を使用し、会社は1時間当たり21ドル、合計完成品1個当たり52.50ドルを実際に支払った。3月の直接労務単価の差額はいくらか?","18,000ドル","22,500ドル","25,000ドル","40,500ドル",B
完全雇用GDPは1.3兆ドル、実質GDPは1.2兆ドルである。限界消費性向は0.8である。インフレを無視した場合、完全雇用を生み出すために必要な政府支出の増加は?,1000億ドル,800億ドル,200億ドル,100億ドル,C
次の監査証拠のうち、信頼性の保証が最も低いものはどれか?,クライアントの顧客から受領した売掛金確認書,クライアントの従業員が記入した、番号付きの受領報告書,クライアントから入手した前月の銀行取引明細書,クライアントの名前で作成された固定資産税の請求書。,B
"2年目に、Pipp社は、低リスクの定型的なコンピュータソフトウェア製品を開発・製造するために、以下の費用を負担した。 プログラム詳細設計の完了 10,000ドル 技術的実現可能性を確立するためのコーディングとテストに要した費用 15,000ドル 技術的実現可能性を確立した後に発生したその他のコーディングとテストに要した費用44,000ドル Pipp社の2年目の12月31日の貸借対照表において、ソフトウェア原価として資産計上すべき金額はいくらか?","10,000ドル","25,000ドル","44,000ドル","59,000ドル",C
ある会計士は、非上場企業の財務諸表を編集する業務において、経営陣が土地を鑑定評価額で表示していたこと、また、GAAPに従っていれば土地勘定と株主資本の両方が100万ドル減少していたことを知った。経営者は財務諸表を修正しないため、会計士は標準的なコンピレーション報告書を修正することを決定した。このような状況下で、会計士が行うべきものはどれか?,GAAPからの逸脱の重要性に応じて、不適正意見または限定付適正意見のいずれかを発行する。,会計士の報告書に、財務諸表の配布を「内部使用のみ」に制限する別段落を追加する。,会計士の報告書に、GAAPからの乖離と財務諸表への影響を開示する別段落を追加する。,会計士の報告書に、資産を取得原価で計上する基本的な目的を説明する別の段落を追加する。,C
UCCの販売条に基づき、特定目的に対する黙示の適合性保証が物品販売取引においてどのように生じるかを最も適切に説明しているのは、次の状況のうちどれか?,買い手が特定の目的のために商品を購入しており、適切な商品を選択するために売り手の技術または判断に依存している。,買い手は特定の目的のために商品を購入しており、売り手はそのような商品の商人。,売主は買主が商品を使用する特定の目的を知っており、買主が適切な商品を選択するために売主の技能または判断に依存していることを知っている。,売主は買主が商品を使用する特定の目的を知っており、売主はそのような商品の商人。,C
