25 歳の妊娠 3 回、出産 2回 の女性が、活発な陣痛のため妊娠 39 週で入院した。4分間隔の規則的な陣痛が続いていたが、現在は間欠的な弱い陣痛が数回あるのみである。過去6時間に2回、痛み止めの投薬を受けている。診察の結果、閉塞性陣痛の理由はない。胎頭部は係留しており、膜は無傷で、胎児心音は正常で、子宮頸管は 100%拡張し、7 cm になっている。最も可能性の高い診断は次のどれか?,ブラクストンヒックス収縮,子宮下部収縮リング,子宮機能低下症,原発性機能不全分娩,C
5歳の男児が、2日前から微熱、咳、鼻水があるため、母親に連れられて受診した。体温は38℃(100.4°F)である。診察所見は感冒の診断に一致する。医師は、感冒の治療に対する新薬の有効性を評価した無作為化二重盲検プラセボ対照臨床試験を参照する。新薬を投与された患者の症状消失までの平均期間は6.4日であったのに対し、プラセボを投与された患者の平均期間は6.7日であった（p=0.04）。この試験結果の解釈として最も適切なものは次のうちどれか?,この所見は臨床的にも統計的にも有意,この所見は臨床的には重要ではないが、統計的には有意,この所見は臨床的には有意であるが、統計的には重要ではない,この所見は臨床的にも統計的にも有意ではない,B
9歳の男児が、健康診断のために両親に連れられて来院した。患者とその家族は2ヵ月前に米国に移住し、4年間医師の診断を受けていない。本人はおおむね健康である。病歴は、3歳のときの肺炎が重要である。薬は服用していない。身長、体重、BMIは25パーセンタイルである。バイタルサインは、体温37.0℃(98.6°F)、脈拍82/分、呼吸数20/分、血圧112/74mmHg。心臓の検査では、左胸骨縁の第3肋間と第4肋間にグレード3/6の収縮期雑音が認められる。大腿脈は弱く、上腕脈は強い。橈骨大腿動脈の遅延がみられる。胸部X線では、左室隆起を伴う軽度の心肥大を認める。心電図は左室肥大を示す。この患者に最も危険な合併症は次のうちどれか?,心房細動,肺性冠症候群,全身性高血圧,三尖弁閉鎖不全症,C
25歳の女性が、右手のしびれが2ヵ月前からあるため受診した。この間、右手の薬指と小指にしびれがあることが多い。重篤な疾患の既往歴はなく、薬も服用していない。レジ係として働いており、自宅ではパソコンを使っている。2年前にやめるまで、ソフトボールリーグで5年間ピッチャーとしてプレーしていた。バイタルサインは正常範囲内。診察では筋力は十分である。右肘を触診すると、右薬指と小指に激痛が走る。右薬指の内側半分と小指全体に、一点の接触や軽い接触への感覚が低下している。これらの所見の原因として最も可能性が高いのは、右側の次のうちどれか?,手首の正中神経,前腕の筋皮神経,前腕の橈骨神経,肘の尺骨神経,D
高血糖と高インスリン血症が誘発される間、6人の健康な被験者が筋代謝の研究に参加した。被験者から安静時に採取した筋生検標本では、マロニル-CoA濃度が有意に上昇していた。マロニル-CoA濃度の増加は、これらの被験者の以下のプロセスのどれを直接阻害している可能性が最も高いか?,脂肪酸酸化,脂肪酸合成,糖新生,糖新生,A
肝臓に転移のある進行卵巣癌の72歳の女性が、いつも泣いていて ベッドから起き上がらないため、息子に連れられて受診した。10段階評価で、彼女は疼痛を1～2と格付けしている。高血圧と大うつ病性障害もある。化学療法を2年間受けている。現在服用している薬は、オキシコドン（10mg/1日2回）、ヒドロクロロチアジド（25mg/日）、フルオキセチン（20mg/日）である。身長165cm(5フィート5インチ)、体重66kg(145ポンド)、BMI24kg/m2。体温は37℃(98.6°F)、脈拍は110/分、呼吸は12/分、血圧は120/80mmHgである。検査では、肝臓に中等度の圧痛があり、腹部は硬く膨張している。精神状態検査では、人、場所、時間に対する見当識はある。アイコンタクトは良好であるが、悲しそうですぐに泣く。次のうち、次の管理ステップで最も適切なのはどれか?,安心させる,自殺念慮を評価する,デキストロアンフェタミン療法を開始する,オキシコドンの投与量を増やす,B
65歳の女性は、進行性の易刺激性、動悸、熱不耐性、頻回な便通、6.8kg(15ポンド)の体重減少を6ヵ月間経験している。10年以上前から頸部腫瘤がある。131Iスキャンで、複数の取り込み増加領域と取り込み減少領域を伴う甲状腺の腫大が認められる。次のうち最も可能性の高い診断はどれか?,サイロキシン(T4)生合成の欠陥,バセドウ病,多結節性甲状腺腫,リーデル甲状腺炎,C
51歳の男性が、舌のしこりが6ヵ月間続いており、発語や食事に支障があるため受診した。また、この期間に6.8 kg(15ポンド)の体重減少があった。過去30年間、毎日タバコを1箱吸い、週末の夜には12オンスのビールを6本飲んでいた。バイタルサインは正常範囲内である。身体所見では、舌尖に1.5cmの腫瘤が認められる。腫瘤をさらに評価すると、扁平上皮がんが確認される。この患者において、転移の証拠について最初に評価するのが最も適切なリンパ節は次のうちどれか?,下部深頸部,耳下腺,後咽頭,顎下,D
42歳の男性が、腎結石を排出して1週間後に経過観察のため受診した。結石のX線結晶学的分析では、カルシウムが第一陽イオンであった。今日の身体診察では異常は認められない。24時間採尿でカルシウムの排泄が増加している。最も適切な薬物療法は次のうちどれか?,炭酸脱水酵素阻害薬,Na+ -Cl- 合成酵素阻害薬,Na+ -K + -2Cl- 合成酵素阻害薬,浸透圧利尿薬,B
あなたが地元の介護施設で回診をしているとき、看護師が、あなたの患者である79歳の女性は「食が細い」ようだと言った。彼女は3ヶ月前にうっ血性心不全の治療を受けた病院から介護施設に入所した。彼女の娘はこの地域から引っ越しており、患者はもはや自立できないため、介護施設への入所が必要であった。現在服用している薬はフロセミドとジゴキシンである。身体所見は、過去3ヵ月間に3.5kg(7ポンド)の体重減少があった以外は正常である。患者との会話の中で、彼女は「いいえ、うつ病ではありません。もう食欲がないだけです。何を食べてもおいしくない。吐き気も少しあります。」と言った。初期診断検査として最も適切なのはどれか?,胸部レントゲン,全血球計算,血清アルブミン濃度の測定,血清ジゴキシン濃度の測定,D
以前は健康であった24歳の女性が、微熱と乾性咳嗽が7日間続いているため受診した。日常生活は可能である。体温は37.7℃(99.9°F)である。胸郭に点在する吸気性クラックルが数回聞こえる。胸部X線では両肺に斑状の浸潤が認められる。初期薬物療法として最も適切なのは次のうちどれか?,アモキシシリン,セファクロル,シプロフロキサシン,エリスロマイシン,D
15歳の少年が、2時間前から錯乱と興奮がみられ、 両親に連れられて救急外来を受診した。2日前にサマーキャンプから戻って以来、発熱、頭痛、項部硬直、嘔吐がある。両親の話では、違法薬物は使用していない。到着時、彼は闘争的で、幻覚の証拠がある。体温40℃(104°F)、脈拍80/分、呼吸数17/分、血圧100/70mmHg。腰椎穿刺を行う。脳脊髄液分析の結果、嚢胞と栄養体が認められる。この患者の中枢神経系への病原体の侵入口として最も可能性が高いのは次のうちどれか?,顔面神経,前頭洞,乳様突起洞,嗅神経,D
32歳の男性が、2週間前からの右肩の痛みを訴えて受診した。身体所見では、上腕骨大結節に圧痛があり、右上肢外転に疼痛がある。この患者の症状の原因は、次のうちどの筋の体性機能障害である可能性が最も高いか?,前斜角筋,広背筋,小胸筋,棘上筋,D
19歳の男性が、フットボール中に右膝下を後方から強打され、評価のために来院した。歩行分析の結果、流動的な動きがないことが判明。立位屈曲テストの結果は陰性。膝十字靭帯と膝側副靭帯は無傷。右の下垂足を認める。最も可能性の高い診断は次のうちどれか?,大腿骨遠位端の前方偏位,立方骨の底屈,腓骨頭の後方偏位,片側仙骨の剪断損傷,C
45歳のリムジン運転手が、弁護士の依頼で法的文書に記入・署名してほしいとのことで、初診予約のために来所した。患者は、自動車衝突事故後に心的外傷後ストレス障害を発症したため、自分を雇っているリムジン会社に対して訴訟を起こすと述べている。患者は自分の病歴を説明するとき、いらいらして緊張しているように見える。彼は、書かれたリストを声に出して読み、自分の症状を伝えている。この時点で、この患者の基礎診断を確認するために最も適切なアプローチは次のうちどれか?,アモバルビタールを投与してから問診する,患者に事件と症状について詳しく説明してもらう,催眠下で患者に問診する,患者が目を合わせようとするかどうかに注意しながら問診する,B
5歳の男児が、1週間の発熱と次第に強くなる腹部不快感のため入院した。生後7ヵ月に、アスペルギルス・フミガータスによる骨髄炎の治療を受けた。過去4年間に重症肺炎で3回入院している。病状は中等度である。体温は39℃(102.2°F)である。腹部所見では、肝臓が腫大し、圧痛がある。腹部の超音波検査で肝内膿瘍を認める。膿瘍液の培養で黄色ブドウ球菌が増殖する。さらに分析を進めると、黄色ブドウ球菌に曝された好中球が酸化バーストを起こさないことがわかる。この患者の感染感受性は、以下のどの異常の結果として亢進しているか?,白血球が内皮細胞間を移動できない,白血球が内皮表面に沿って転がることができない,白血球が微生物を摂取できない,白血球が細胞内微生物を殺すことができない,D
ある技師が、骨髄移植を受けた患者の血液中にサイトメガロウイルス（CMV）DNAが存在するかどうかを調べたいと考えている。患者の白血球から精製したDNAを、CMV DNAに特異的なオリゴヌクレオチド、耐熱性DNAポリメラーゼ、ヌクレオチドを含む混合物中で反応させる。加熱と冷却を繰り返し、反応産物をゲル電気泳動で検出する。検査技師は、この患者の血液に対して、次の検査法のうちどれを用いた可能性が最も高いか?,ノーザンブロッティング,ポリメラーゼ連鎖反応,逆転写,サザンブロッティング,B
2歳の男児が、30分間の呼吸困難のため、ベビーシッターに連れられて救急外来を受診した。ベビーシッターは15歳で、過去1年間に何度もこの患者の世話をしてきたという。この子の母親は片親で、現在仕事で町を出ているが、今夜遅くに戻る予定である。ベビーシッターによると、「昨日に世話を始めた時から鼻水が出ていたのですが、今日の午後、昼寝から起きると、吠えるような声で、息が荒くなっていました。」彼女はその子の既往歴も、薬を常用しているかどうかも知らない。子供は疲れた様子で、ベビーシッターの膝の上に真っすぐ座っている。明らかにベビーシッターに慣れているようである。バイタルサインは、体温38.7℃（101.7°F）、脈拍110/分、呼吸数28/分で努力性、血圧85/50mmHgである。室内気のパルスオキシメトリでは、酸素飽和度89％。身体所見では吸気性喘鳴あり。頸部はしなやかで、鼓膜は正常、大量の鼻汁がある。咽頭検査では異常なし。胸部の聴診では、左右均等に空気が入り、クラックルは認められない。その他の検査では異常なし。ベンチュリーマスクによる40％酸素吸入と静脈内輸液による治療が開始される。酸素と水分の補給を続けたが、安静時には頻呼吸と吸気性喘鳴がみられる。酸素飽和度は現在93％である。ネブライザーによるラセミ体エピネフリンの投与に加え、次のステップで最も適切なのは次のうちどれか?,アミノフィリン静注療法,抗生物質静注療法,挿管,デキサメタゾン経口投与,D
16歳の少年が、3日間の腹痛と嘔吐のため受診した。彼はまた、この期間に食欲が低下していた。痛みは当初右側であったが、現在は全身に及んでいる。体温38.8℃(101.8°F)、脈拍100/分、呼吸数20/分、血圧143/83mmHg。腹部診察では、びまん性の反跳性圧痛を伴う筋性防御を認める。触知可能な腫瘤はない。腹部CTスキャンで虫垂穿孔を認める。この患者の腹膜液の検査で最も見つかる可能性の高い菌は次のうちどれか?,カンジダ・アルビカンス,シトロバクター・フロウンディ,大腸菌,黄色ブドウ球菌,C
"52歳の女性が、1週間の微熱と排便時に増悪する腹部けいれんのため救急部を受診した。2日前にアモキシシリン・クラブラン酸塩とメトロニダゾールの投与を開始したが、症状は緩和していない。12年前から断続的な便秘がある。吐き気、嘔吐、排尿症状、血便はない。3年間の高血圧歴がある。子宮平滑筋腫のため、5年前に腹式子宮全摘術と両側卵管卵巣摘出術を受けた。身長165cm(5 ft 5 in)、体重86kg(190 lb)、BMI32kg/m2。体温は38.1℃(100.6°F)、脈拍は75/分、血圧は150/80mmHgである。肺は聴診で明瞭である。心臓検査では異常なし。腹部は軟らかく、左下腹部に触診による圧痛があり、筋性防御はあるが反跳痛はない。腸音は正常。便は褐色で、潜血反応陰性。ヘモグロビン濃度は 14.5g/dL、白血球数は 15,000/mm3、血小板数は 280,000/mm3、血清検査と尿検査に異常はない。診断の次のステップとして最も適切なのは次のうちどれか?",便のクロストリジウム・ディフィシル毒素検査,内視鏡的逆行性胆管膵管造影,骨盤超音波検査,造影剤を用いた腹部CT検査,D
42歳の女性が、1年前から2週間ごとに2～5日の膣内出血のため受診した。経血量は軽いものから多いものまでさまざまで、血塊が通過することもある。以前は25～29日間隔で月経があり、正常な出血が5日間続いた。重篤な疾患の既往はなく、薬も服用していない。彼女は1人の男性パートナーと性行為を行っており、コンドームの使用は不定期である。母親は結腸癌で、母方の祖母は乳癌で死亡している。身長163cm(5 ft 4 in)、体重77kg(170 lb)、BMI29kg/m2。体温は36.6℃(97.8°F)、脈拍は90/分、呼吸は12/分、血圧は100/60mmHgである。子宮は正常な大きさである。卵巣は触知できない。その他の検査では異常なし。便潜血検査は陰性である。診断の次のステップで最も適切なのは次のうちどれか?,プロゲステロン負荷試験,コルポスコピー,膀胱鏡検査,子宮内膜生検,D
13歳の少女が健康管理のために受診した。乳児期に大動脈瘤の検査でターナー症候群と診断された。今日の診察で、母親から、少女が赤ちゃんの話をするようになったと報告があった。あなたは過去6年間この患者の主治医であり、彼女が思春期前であることを知っている。家庭を持ちたいのであれば、次のうちどれをする必要があると患者に助言するのが最も適切か?,養子縁組をする,妊娠したら羊水穿刺をする,手術をする,遺伝カウンセリングを受ける,A
77歳の男性が、12時間前から喚語困難になり、右腕と右脚の脱力と感覚喪失を訴えて受診した。同様の症状の既往歴はない。2型糖尿病、高血圧、心房細動がある。現在服用している薬はメトホルミン、リシノプリル、アスピリン。意識清明。脈拍は80/分で不規則、呼吸は16/分、血圧は170/90mmHg。指示には従うが、非流暢性失語がある。右上下肢に中等度の脱力と感覚低下。深部腱反射は両側2+。バビンスキー徴候は右側に認められる。血清グルコース濃度は162mg/dLである。診断の次のステップとして最も適切なのは次のうちどれか?,頚動脈二重超音波検査,頭部 CT スキャン,脳波,腰椎穿刺,B
あなたが出産前コースを担当した16 歳の高校生が、夜間に 3256g（7ポンド3オンス）の女児をあなたの同僚の介助で出産した。朝の回診で、分娩記録によると、分娩中に軽度の血圧上昇があり、推定第3期出血量は500mLであった。今日の血圧は132/84mmHg、無熱、深部腱反射は正常である。子宮底は硬く、臍の高さにあり、会陰部はわずかに浮腫んでいる。ヘマトクリットは33％。乳児を抱いており、正常な絆が生じているようである。次のうち、管理上最も重要なステップはどれか?,メチルドパの内服を開始する,子宮マッサージを実施する,毎日座浴を指示する,小児科健診のための教育を行う,D
以前は健康であった17歳の少女が、運動による咳と鼻づまりが2ヶ月続いたため受診した。彼女はフィールドホッケーをしており、フィールドを駆け上がったり駆け下りたりするときに咳が出ることに気づいていた。咳は乾性で、安静にしていれば治る。胸痛や動悸はない。薬は服用しておらず、喫煙もしていない。妹は喘息である。患者は元気そうである。脈拍68/分、呼吸数16/分、血圧100/75mmHg。室内でのパルスオキシメトリーによる酸素飽和度は99％である。心肺検査では異常なし。胸部X線検査では異常なし。スパイロメトリーではFEV1：FVC比が90％、FEV1が予測値の90％である。最も可能性の高い診断は次のうちどれか?,気管支喘息,慢性気管支炎,胃食道逆流症,後鼻漏症候群,A
24歳の女性が経過観察のため受診した。1週間前、ファストフード店で勤務中に誤って左脚に熱い油をこぼしたため、救急外来で治療を受けた。左下肢を診察したところ、7cmのピンク色の軟らかい粒状の浮腫性創傷が認められる。この組織の形成は、次のうちどの活性の亢進によって生じた可能性が最も高いか?,糖鎖依存性細胞接着分子-1,P-セレクチン,ストロメライシン,血管内皮増殖因子,D
23歳の女性が、妊娠前に遺伝カウンセリングを受けに医師のもとを訪れる。彼女の兄と母方の叔父はデュシェンヌ型筋ジストロフィー（DMD）で、それぞれ28歳と17歳で死亡した。死亡前のいずれの親族にも遺伝子解析は行われていない。血清検査の結果、筋クレアチンキナーゼ濃度は120U/Lであった（N=22- 198）。患者の50歳の母親の血清クレアチンキナーゼ濃度は300U/Lである。この患者のこの疾患の保因状態の評価として最も適切なのは次のうちどれか?,この患者にはDMDの子供が生まれるリスクが50%ある,DMDの家族歴から、この患者はDMDの保因者,正常なクレアチンキナーゼ濃度から、この患者はDMDの保因者ではない,ランダムX不活化のため、この患者のDMD保因状態は不明,D
3歳の白人の女児が、5-TU PPD皮膚検査を受けた48時間後に、経過観察のため両親に連れられて来院した。この検査は、ホームレス保護施設に入所するための定期的なスクリーニングの一環として行われた。身体所見では、穿刺部位に10mmの硬結が認められるが、それ以外は正常である。両親は、皮膚テストでは2人とも反応がなかったため、この所見にショックを受けていると言う。両親はこの国で生まれ、娘はいつも健康であったと言う。この2年間はあまり医療を受けていないが、健康であった。このシェルターに入居するまで、彼らは空き家で「不法占拠者」だった。現時点で最も適切な措置は次のうちどれか?,以前かかっていた医師に電話し、詳しい病歴を聞く,胸部X線検査を依頼する,HIV抗体検査を依頼する,PPD皮膚検査を繰り返す,B
65歳の女性が失語症と右半身麻痺のため入院した。その後、尿失禁を発症した。尿路感染症の所見はなく、排尿障害の既往歴もない。最も可能性の高い診断は次のうちどれか?,自律神経因性膀胱,運動麻痺性膀胱,反射神経因性膀胱,非抑制性神経因性膀胱,D
35歳の女性が、3日前からの激しい右背部痛のため受診した。発熱、悪寒、体重減少はない。大きな病歴はない。筋骨格系と神経学的検査に異常はない。検査に異常がないことを告げられると、患者は涙ぐんで背中のMRI検査を要求する。なぜなら、母親が骨に転移した乳癌で亡くなったばかりで、自分にも癌があるのではないかと心配しているからである。患者はすでに保険会社に連絡しており、神経学的な異常があればMRI検査は保険適用になると言われた。患者は医師に、神経学的所見があることを示すMRIのオーダーを依頼する。医師の初期対応として最も適切なのは次のうちどれか?,できるだけ早く保険会社を変更し、より包括的な医療を受けられるよう患者に助言する,患者にMRIは必要なく、検査所見を偽って伝えることは適切でないことを説明する,患者が医師に依頼したことを、患者が加入している保険会社に直ちに伝える,患者の要求通りにMRIをオーダーする,B
32歳の男性が、オートバイを運転中に自動車にはねられ、30分後に救急外来を受診した。激しい骨盤痛を訴える。診察では、会陰部に打撲があり、骨盤を動かすと痛みが誘発される。尿道口に出血が認められる。他に陰茎の外傷はない。プレーンX線検査で上恥骨粗面の骨折が認められ、尿道破裂を評価するために逆行性尿道造影が行われる。この患者において、尿道の以下の部位のうち、損傷のリスクが最も高いのはどれか?,硬膜内(前立腺前),膜性,前立腺,スポンジ状,B
33歳の女性が、6ヵ月前に子宮摘出術を受けた後から始まった慢性骨盤痛を訴えて受診した。身体診察の後、骨盤のCTスキャンが指示された。スキャン終了後、放射線科医から電話があり、患者の骨盤内に手術用スポンジがあると報告された。その後の過誤訴訟で、原告は、過失がない限りスポンジが残ることはあり得なかったと立証する。患者が提起した法的概念を表す最も適切な用語は次のうちどれか?,担保禁反言,近因,事実推定則,上意下達,C
35歳の男性がサルコイドーシスの経過観察のため来院した。唯一の新しい訴えは、体重をかけると増強する下肢の痛みである。過去6ヵ月間、グルココルチコイドを服用している。現在のバイタルサインは、体温37.0℃(98.6°F)、脈拍78/分、呼吸14/分、血圧110/70mmHgである。患者は痩せており、急性の苦痛はない。胸部聴診では、散在する両側基部クラックルが認められる。左臀部に軽度の疼痛があり、可動域、受動域ともに変化なし。足背脈は無傷。神経学的検査は正常である。この患者の症状の最も可能性の高い原因は次のうちどれか?,大腿骨頭の血管壊死,髄核ヘルニア,股関節の狭窄,骨粗鬆症,A
パーキンソン病の67歳の男性が、肺炎の治療のため入院し ている。見舞いに来ていた患者の娘によると、患者の嗜眠がここ1日増しており、この6ヶ月間、歩行が減少しているとのことである。また、自宅で自分自身の世話は続けているが、日中に振戦がひどくなることがあるという。病歴は高血圧も顕著である。服薬はヒドロクロロチアジド、アテノロール、レボドパ、カルビドパ。身長168cm(5 ft 6 in)、体重78kg(172 lb)、BMI28kg/m2。バイタルサインは、体温38.9℃(102.0°F)、脈拍仰臥位60/分、立位68/分、呼吸22/分、血圧仰臥位100/60mmHg、立位80/50mmHgである。患者は病的で、年齢より老けて見える。意識はあるが、無気力である。胸部聴診では、右肺野中腹部の水泡音が認められる。腹部診察では異常なし。神経学的検査では、仮面様顔貌、運動緩慢、歯車硬直を認めるが、入院時に歩行は評価されなかった。胸部X線検査で右下葉浸潤を認める。心電図に異常なし。適切な抗生物質の静脈内投与が開始される。退院前に最も適切な処置は次のうちどれか?,胸部 CT スキャンを行う,嚥下評価を行う,経皮内視鏡的胃瘻造設術（PEG）チューブを留置する,フルドロコルチゾンを処方する,B
64歳の女性が、5ヵ月前から息切れ、のどの痛み、少量の白い痰を伴う咳が増えたため受診した。過去1週間、咳のしすぎに関連した吐き気があった。過去1年間に3.2kg(7ポンド)の体重減少があった。テオフィリン、吸入βアドレナリン作動薬、コルチコステロイドによる喘息治療を受けている。タバコは44年間毎日1箱吸っており、アルコール飲料は毎日1本飲む。やせている。検査では、右鎖骨上部に2cmの非緊張性のリンパ節を認める。検査では他に異常なし。胸部X線では、右下葉に大きな密度が認められる。胸部CTスキャンでは、石灰化が散在する7.5×7.5×6cmの右下葉腫瘤を認める。病変は後胸壁に接しているが、明らかな浸潤はない。右下気管周囲リンパ節、前胸部リンパ節、右肺門リンパ節、および棘下リンパ節を認める。右副腎に1.5cmの腫瘤がある。肺腫瘤の生検標本で最も可能性が高いのは次のうちどれか?,中皮腫,転移性乳房腺がん,多発内分泌腫瘍,非小細胞肺がん,D
46歳女性、妊娠1回、出産1回、右乳頭からの黒色の分泌物が2週間続いているため来院した。患者は、直近の年1回の検診で指摘された右乳房の上外側四分円の触知による腺房増加の評価のため、2ヵ月前に乳房のマンモグラフィと超音波検査を受けた。検査では良性の可能性が高く、6ヵ月後の経過観察が推奨された。病歴は特になく、薬も服用していない。BMIは30kg/m2である。バイタルサインは正常である。右乳房を触診すると、外側上方に腺が認められるが、その他の腫瘤はない。右乳頭から乏しい黒色の分泌物がある。診断の次のステップとして最も適切なのは次のうちどれか?,乳管造影法,腺組織の摘出生検,マンモグラフィーの再撮影,右乳房の再超音波検査,A
AIDSの37歳の女性が、1ヵ月前から下痢が進行し、体重が1.8kg(4lb)減少したため受診した。この1週間、毎日6回の水様大便があった。彼女は現在、3種類の抗レトロウイルス療法を受けている。彼女はフライトアテンダントとして働いており、米国内の国内線で定期的に勤務している。また、少なくとも毎月1回はアジアに飛んでいる。身長163cm (5 ft 4 in)、体重59kg(130 lb)、BMI22kg/m2。体温は37℃(98.6°F)、脈拍は88/分、血圧は112/64mmHgである。腹部は舟状である。その他の検査では異常なし。CD4+Tリンパ球数は400/mm3である(正常値≥500)。原因菌として最も可能性が高いのは次のうちどれか?,クリプトスポリジウム-パルバム,サイトメガロウイルス,マイコバクテリウム・アビウム・イントラセルラー複合体,腸炎菌,A
