ピアジェによれば、子供は___________である。,「空白の石板」,大人より知能が低い,「小さな科学者」,文化によって形作られる,C
あるテストの測定の標準誤差が15点である場合、次のうちどのように結論づけるのが正しいか?,テスト集団の観察得点の約68％が平均スコアの15点以内にある,ある治癒スコアを持つ個人の約68％は、スコアが真のスコアの15点以内にある,スコアの約15％は誤差がある（すなわち、信頼性をもって特性を測定していない）,最大30点の差が同じ真のスコアを表している,B
胎児の発育に悪影響を及ぼす可能性のある物質は、いずれも____________である。,アプガー,催奇形因子,最初の6週間は問題が１つのみ,規制物質,B
もしあなたが大企業に雇われ、新しい研修プログラムを開発することになったとしたら、まず最初に行うのは次のうちどれか?,ニーズ分析,職務評価。,総括的評価。,形成的評価。,A
ゲシュタルト心理療法の実践者は、クライアントが自分の過去について話したがることを、次のうちどのように考えているか?,クライアントが現在を理解するのに役立つ有用な戦略。,クライアントが現在と折り合いをつけるのを避けるための方法。,セラピーの「第二層」。,セラピーの終わりに近い 「終結」を達成するための方法,B
記憶に関して、加齢が最もその低下と密接に関係しているのは次のうちどれか?,制御された記憶プロセスの効率,メタ記憶スキル、すなわち記憶に関する知識,認識記憶,利用可能な事実記憶の知識量,A
抑うつ状態であり、手の動きがリズミカルで、感情が平坦化している66歳の患者が患っている可能性があるのは次のうちどれか?,パーキンソン病,血管性認知症,右前頭葉腫瘍,アルツハイマー病,A
ある金曜の午後、週末旅行に出かける直前、ある心理学者が、自殺未遂で薬を過剰摂取したと主張するセラピーのクライアントから電話を受ける。心理士は、すぐに医師に電話するように言い、かつ月曜日の午前9時にセッションを受けるようクライアントに伝えた。心理士はこの他に介入しようとせず、クライアントは他に助けを求めることなく、その日の夜に死亡した。この状況において、心理学者の行動は明らかに＿＿＿＿＿＿＿＿である。,非倫理的である、なぜならクライアントのニーズにもっと直接的に対処しなかったから,非倫理的である、なぜなら心理学者は旅行を延期して、クライアントにその日の午後のアポイントを取るべきだったから,非倫理的である、なぜなら心理学者は医師に直接電話すべきだったから,倫理的である、なぜならクライアントが操られていたかどうか判断できなかったから,A
サルバドール・ミヌチンの構造的アプローチを用いる家族療法士が、最も可能性が高いのは次のうちどれか?,絡み合った関係を減らすために、家族メンバー間の境界を明確にする。,最初に、最も分化している家族メンバーに働きかける。,複数のセラピストチームを使用して、1人のセラピストが家族システムに「三角化」されないようにする。,機能不全のプロセスに対抗するための具体的な「指示」を出す。,A
親のアルコール依存症が子供と家族の発達に及ぼす潜在的な影響を調べることに関心のある研究者が、12歳（n＝100）、13歳（n＝100）、14歳（n＝100）を、アルコール依存症の親を持つ者と持たない者の半数ずつ、様々な結果を評価する複数年にわたる縦断的研究に採用する。この研究をもっとも特徴づけるのは次のうちどれか?,真の実験,横断的コホート計画,自然実験,横断的コホート計画,B
左前頭葉のブローカ野と呼ばれる部分の局所的損傷が損なう可能性が高いのは次のうちどれか?,言葉の想起,言語の理解,言語の学習,発話の生成,D
ジェラルド・パターソンと同僚（1992）によると、子どもの攻撃的行動の主な要因は次のうちどれか?,子どもの知能,子どもの「基本的性格」,親子の愛着の強さ。,両親の育児行動,D
ランチョ・ロス・アミーゴスの認知機能評価スケールでレベル4の評価を受けた人は次のうちどれか?,視覚や聴覚の刺激に反応せず、深い睡眠状態にあるように見える。,混乱して支離滅裂で、奇妙な行動をとることがあり、自分の世話ができない。,は注意力と見当識があり、離れた場所や最近の出来事を記憶し、統合することができるが、判断力、計画性、抽象的な推論に何らかの障害がある可能性がある。,年齢、教育、人口統計学的背景から見て優れた知的水準で機能している。,B
子どもとすでに治療関係を築いている心理学者が、子どもの親権を含む離婚訴訟で鑑定人を務めるよう依頼された。その心理学者の最善の行動は次のうちどれか?,証言の依頼を断る。,両方の両親から同意を得た場合にのみ、証言することに同意する。,関係者全員を評価できる場合にのみ、証言に同意する。,子供との親密さが証言に偏りを与えない場合に限り、証言に同意する。,A
動機づけは、代替案、コスト、便益の秤量を含む複雑なプロセスである。目標設定理論に関するあなたの知識から、以下の記述のうち誤っているものはどれか?,目標には2つの目的がある：動機づけの基礎であり、行動を方向づけるものである,目標達成は、目標が具体的で難易度が高い場合に最大化される,目標達成は、頻繁にフィードバックが与えられる場合に最大化される,目標設定に労働者が参加することも良いことである,B
STATISTICSは変数を測定する方法であり、データを整理して分析する統計的方法は、記述的または推論的であり、測定の尺度を有する。統計測定に関するあなたの知識から、RATIO DATAとは何か?,比率データはスケーリングされ、等距離であるが、絶対ゼロではない,比率データは変数の量を順序付けするが、その量に関する情報はない,比率データは、絶対ゼロを持つインターバルデータである,比率データは、変数を順序付けされていないカテゴリに分割する,C
AronsonとMillsは、ある集団への入会の厳しさが、その後のその集団に対する態度に及ぼす影響を調べた。研究の結果、軽いイニシエーションを受けた女性と比較して、集団に属する前提として厳しいイニシエーションを受けた女性は、以下のうちどれを示したか?,集団はあまり興味深くなく、楽しいものではないと評価した。,より興味深く楽しいと評価した。,グループから脱退する傾向が強かった。,グループメンバーを嫌う傾向が強かった。,B
ある大学院生の学位論文指導者であるX博士はほとんど役に立たないことが判明し、学生は准教授のZ博士から助言と援助を得ることになった。X博士は完成した論文を審査し、かつ論文指導者として記載されている。数カ月後、学生は学位論文の研究を基にした記事を専門誌に書くことにした。出版クレジットの観点からは、＿＿＿＿＿＿＿＿。,Z博士の貢献が相当なものであれば、Z博士を筆頭著者として記載すべき。,Z博士の貢献が証明されれば、Z博士を第二著者とすべき。,X博士は学生の正式な論文指導者であるため、第二著者として記載すべき。,Y博士とZ博士は共著者として記載すべき。,B
TRANSTHEORETICAL MODEL OF CHANGEとは、もともと嗜癖行動を治療するために開発されたもので、人が変化する過程で通過する5つの段階がある。次のうちどの段階が正しく定義されているか?,前熟考期：今後6ヵ月以内に行動を起こすつもり,準備：今後6ヵ月以内に変化を検討する,行動：行動を修正するために時間と努力を費やす,維持：行動の変化が少なくとも8ヵ月続く,C
心理学者が事件を受け入れる能力がないと感じている場合、最も正当な選択肢は次のうちどれか?,最善を尽くす,リファーする,この問題に関する章を読む,クライアントの支払を軽減する,B
ある人事部長が、採用決定の一助として選抜テストを使用する際、カットオフスコアを引き上げることを決定した。人事部長がこの決定を下したのは、おそらく次のうちどの理由からか?,真陽性者の数を増やす。,偽陽性の数を減らす。,偽陰性の数を増やす。,真陰性の数を減らす。,B
臨床心理士のジョーンズ博士は、1ヶ月前からリサ・Lのセラピーをしている。ジョーンズ博士はリサをとても魅力的な女性だと考えており、彼女に対して性的な妄想を抱いていることに気づいた。倫理的な心理学者として、ジョーンズ博士が行うべきなのは次のうちどれか?,そのような関心は正常であると認識するが、慎重に行動する。,リサに惹かれていることを告白し、セラピーの中で相互に検討する話題にする。,そのような関心は不適切であると認識し、理由を説明せずにリサに別のセラピストを紹介する。,リサとの仕事を続けるが、自分の関心が客観性を妨げていると考える場合は同僚に相談する。,D
