あなたは、有名な食品ブランドを製造する企業の広報担当副社長。ニューヨーク州オルバニーの市場において、最近、ある製品に汚染が見つかった。どうやら致命的なものではないらしいが、多くの消費者がひどい胃けいれんやその他の腸の問題を起こしている。その原因は、全米で販売されている貴社の製品にあることが判明した。貴社のCEOは、この事態が広報上の大惨事にならないよう、あなたならどう助言するか知りたがっている。あなたは何を勧めるべきか?,早急に調査を行い、貴社製品が確実に病気の原因であることを確認する。,全国でその製品の販売を停止し、リコールを出す。,ニューヨーク州オルバニー市場での販売を停止し、その製品のリコールを出す。,ニューヨーク州アルバニー市場に向けて、症状の治療法を説明するプレスリリースを出す。,B
パブリック・リレーションズにおいて、＿＿＿＿は、消費者を満足させ、その消費者にポジティブな経験をもたらす組織の能力を扱う。,地域社会との関係,消費者との関係,従業員との関係,公共問題,B
BBCがラジオ放送を開始したのは何年か?,1917年,1922年,1925年,1927年,B
________広告キャンペーンは、特定のメッセージや大義に対する支持を集めることに重点を置いている。,製品志向,人物志向,アイデア志向,メッセージ志向,C
成功する広報カウンセラーは、なぜ組織の現在と未来の現実を常に見直さなければならないのか?,ビジョン・ステートメントを策定するため,経営陣のためにトレンドを解釈するため,組織の事業計画を解釈するため,広報が果たすべき役割を検討するため,B
「沈黙のスパイラル」を最もよく表している定義はどれか?,虐待の被害者が虐待について沈黙を保つ場合,大多数と意見が一致しないときに、人々が自分の意見を隠す場合,親しい仲間や家族と意見が一致しないときに、人々が自分の意見を隠す場合,広報が特定の問題に対する支持を得るために世論調査の結果を利用する場合,A
Hendrix（2002）、Kendall（1999）、Merston（1963）、Parkinson and Ekachai（2006）の計画モデルに共通する2つの要素は何か?,調査と評価,戦略と評価,戦略と実施,目標と実施,A
計画プロセスのどの段階で目標を決定するか?,プログラムを定義する段階,プログラムを計画する段階,アイデアを実行に移す段階,プログラムを評価する段階,B
次のうち、W.ティモシー・クームズが挙げた説得力のある危機コミュニケーション戦略の4つのカテゴリーの1つでないものはどれか?,恩に着せる,軽視する,距離を置く,存在しない,B
英国のコンサルタント会社で働く実務家の数は、25年前と比べてどのくらい増えたか?,増えていない,倍増している,3倍になっている,4倍になっている,C
問題管理と危機管理の両方に当てはまらない記述はどれか?,両者とも調査モニタリングが必要。,両者とも急性リスクに対処する。,それぞれの結果として、新しい組織的慣行が開発される。,どちらも組織の評判を損なう可能性がある。,B
BBCがラジオ放送を開始したのは何年か?,1917年,1922年,1925年,1927年,B
英国にはいくつの地方紙があるか?,270,600,"2,800","5,200",C
エスマン(1972)によると、産業上の利害を共有することによって組織と関係する公共はどれか?,有効化,機能的,規範的,拡散的,C
初期のマス・コミュニケーション理論では、視聴者はメディア・メッセージの受動的な受け手であり、それゆえに操作されやすいと考えられていた。現在の考え方を最もよく表しているのはどれか?,視聴者はかつてないほど脆弱で、受動的。,特にテレビ視聴は、脳の右半球の活動を亢進させる。,能動的な受信者は、マス・コミュニケーション・メッセージから一様に影響を受けるわけではない。,テクノロジーによって、メッセージ伝達システムの末端における受動的な受信者が増えている。,C
名誉毀損で訴えることができない主体は次のうちどれか?,政治家,教会,政府機関,上場企業,C
組織の競争優位を達成するものとして戦略を強調した著者は誰か?,Steyn (2003),Gregory (2006),Cutlip et al (2006),Henry (2006),D
フォーカス・グループ調査について正しい記述はどれか?,参加者は無作為に選ぶべき。,実務家向けの正式な調査ツールの一例。,その情報は、より大きな集団を説明するために一般化することができる。,調査結果は、調査の開発に使用できる質的データを生成する。,D
あなたは、飲料水へのフッ素添加に反対する活動家グループの標的にされている、ある公共水道事業体の地域広報部長である。活動家たちは、フッ素添加に反対する激しいインターネットキャンペーンを展開している。あなたの水道局は、フッ素入りの水が健康に良いという圧倒的な証拠を持っている。ユーティリティ会社のマネージャーは、健康へのメッセージを発信するためにブログを開始するようあなたに依頼した。最も適切な行動は何か?,電力会社の従業員を使い、歯科医や医師を装ってブログを書かせる。,ボランティアの歯科医と医師のグループを募り、公益事業に言及することなく、自分自身のアイデンティティでブログを書いてもらう。,公共事業企業の従業員であることを明かし、さまざまな情報源の科学的意見を引用しながら、自分自身でブログを書く。,歯科医師と医師のグループにブログを書かせるために報酬を与え、公益事業がブログのスポンサーであることを明らかにするが、報酬は公表しない。,C
パブリック・リレーションズのどの分野にロビー活動が含まれると考えられるか?,コーポレート,金融関係,広報活動,企業間取引,C
問題管理のチェイス・ジョーンズ・モデルのどの段階で、組織の強みと弱みを見直すべきか?,識別,分析,戦略,評価,B
公共交通機関の広報スタッフとして、あなたは毎月バスに乗る人の数を増やすことを任されている。ターゲットは、低所得者、大学生、基礎教育を受けた人、英語が第二外国語の人たちである。プライマリーメッセージを作成する場合、まず何をすべきか?,すべてのターゲットオーディエンスの理解度を考慮する。,バスに乗ることが、すべてのターゲットオーディエンスにどのような影響を与えるかを考える。,どの媒体が最も効果的にターゲットオーディエンス全員に届くかを考える。,すべてのターゲットオーディエンスが住み、働いている地理的な場所を検討する。,B
本の出版はどのような一般的な戦術だろうか?,コンペ,イベント,賞,スポンサーシップ,B
ニュースレターは一般的にどのカテゴリーに入るか?,メディアライティング,パーソナルライティング,ビジネスライティング,プロモーションライティング,D
組織の中心的な状況に関与し、影響を受ける一般大衆を特定するプロセスは、何と呼ばれるか?,探索的調査,状況インタビュー,コミュニケーション監査,ステークホルダー分析,D
次のうち、パブリック・リレーションズの分野で最も重要なインターネット関連の課題はどれか?,新しいソーシャルメディア環境を使ってクライアントを代表すること,安定した費用対効果の高いインターネットプロバイダーを見つけること,ソーシャルメディアを利用できるスタッフを育成すること,変化するテクノロジーに遅れないこと,D
