環境の変化は国家安全保障上の利益と両立しうるか?,天然資源管理や雇用など、経済成長に対する環境問題は、多様化や研究につながり、長期的には軍事計画を強化する技術的進歩をもたらす可能性がある。,環境の変化は、軍事力を左右する経済基盤の弱体化など、さまざまな形で国家の安全保障を損なう可能性がある。つまり、経済の自然資本基盤が損なわれれば、軍隊の長期的能力も損なわれる。しかし、どのような発展であれ、その影響は「人間的」なものである。,各国が直面する環境問題は、主として国内問題である。外部からの脅威は、その国がコントロールできる範囲にとどまる。外部からの軍事的脅威は、変わることなく、主要な懸念事項であり続ける。,これらすべての選択肢。,B
次の記述のうち、将来のエネルギー安全保障に関するリベラルな視点と言えるものはどれか?,世界経済は相互につながっており、ある国のエネルギー安全保障はすべての国のエネルギー安全保障に依存している。したがって、すべての核心的大国は、この市場が機能する条件を維持し、拡大することに同じ関心を持っている。このような経済秩序が存在する限り、エネルギー貯蔵量をめぐる大国間の紛争は起こりにくい。,エネルギー不足は、将来、世界システムに混乱をもたらし、「新たな国際エネルギー秩序」の出現につながる可能性が高い。この秩序は、自由主義的な自由市場貿易よりも、国家主義や新重商主義によって特徴づけられる。,石油は依然として現在の秩序の生命線である。この秩序は、資本主義経済エリートに有利な富と権力の不平等な（そして深く不公正な）分配に基づいている。現行の秩序から最大の利益を得ている人々は、有利な条件下でのエネルギーの流れが、地球規模のシステムにおける自分たちの地位を支え続けることを確実にするだろう。,エネルギー不足は、地政学的対立が激化する時代への回帰を告げる。特にエネルギー源をめぐる「資源戦争」は、国家が主要埋蔵量の支配権をめぐって競争（そして最終的には紛争）を始めるため、国際協力が崩壊する可能性を明確に示している。,A
人間の安全保障の概念に対する一般的な批判は次のうちどれか?,人間の安全保障は新植民地主義的である。,人間の安全保障はグローバル資本主義を促進する。,人間の安全保障はあまりにも広範である。,これらすべての選択肢。,D
冷戦終結後、各国政府はTNCの脅威にどのように対応してきたのか?,国境を越える犯罪に対する国家の対応は、国家の一体性に対する脅威の増大と相関して発展してきた。組織犯罪は、主に国内で対処すべき国家安全保障上の脅威とみなされてきた。情報共有のための制度化された国際的なアプローチは、正義を回避しようとする犯罪の加害者を裁判にかけるという点で、主に二国間のものであった。,1990年代にTNCが拡大するにつれて、各国は、法律の調和、警察の能力とネットワークの強化を通じて、国家間の非対称性を減らすための措置をとることにますます積極的になった。国境を越えた犯罪に対する政府の対応は、犯罪市場そのものではなく、犯罪を犯した個人や組織を対象とすることに焦点を当ててきた。,米国の麻薬戦争は、TNCの現象が国家安全保障上の脅威であるという認識の高まりに対する政府の対応の構築に大きな影響を与えてきた。 このアプローチは、法執行に関する二国間および多国間の協力に重点を置き、TNCに対する規制と執行を強化するよう各国を誘導するために、二国間ベースに固執している。,組織犯罪の脅威に対処し、法律を調和させるための対応を規定する規範の出現は、進化するグローバル・対テロ戦争とともに生じた。この戦争では、テロと組織犯罪との結びつきが法執行機関の軍事化をもたらした。すなわち、国際的な制度主義的対応を通じて違法取引を促進する根本的な条件に対処するのではなく、軍事技術と情報を利用することであった。,B
学問と政策の相互作用の制度化において、政策にとってどのような潜在的問題が浮上したのか?,安全保障研究を理論化する主な学問的背景は、政治学の学問的支配から、社会学、数学、心理学、自然科学、政治科学、経済学などの複数のアカデミーの相互作用へと移行したこと。,政策学界の発展の結果、シンクタンクの役割が政策から政治化抵抗理論へと修正された。,安全保障研究は、この分野の段階的な「IR化」によって特徴づけられてきた。 安全保障研究は国際関係(IR)の2本柱の1つになり、2番目は国際政治経済である。その後、IRは、安全保障研究が審議される主要な学問的背景となった。,シンクタンクと政策立案者の相互関係がますます深まっている。大学、シンクタンク、政策間の制度的な曖昧さは、あらゆるレベルでの政策統合をもたらした。,C
次のうち、ワシントン・コンセンサスの10のステップの一つでないものはどれか?,財政規律：財政赤字を国内総生産（GDP）の2％以下に抑える。,税制改革：課税ベースを拡大し、限界税率を引き下げ、税務行政を改善する。,財産権: 過剰なコストをかけずに財産権を確保し、インフォーマル・セクターを合法化するための法改正。,国有化：国営企業を保護する。,D
次の概念のうち、サイバーセキュリティに関する技術的言説の一部を形成していないものはどれか?,ビジネス・ネットワーク,コンピュータ専門家,アンチウイルス業界,コンピュータ・ネットワーク,A
エネルギー安全保障を追求するアメリカが採用している戦略の特徴とその政策表明とは何か?,ペルシャ湾への軍隊の配備は、石油が豊富な地域での優位性を確保するためのアメリカの試みの一部。,これらすべての選択肢。,アメリカは、軍隊の派遣やその他の介入を通じて、友好国やライバル国に対して自国の優位性を主張しようとしてきた。,アメリカは、石油資源に恵まれた友好的な政治主体を安定させ、経済的・政治的現状を確保することを積極的に追求してきた。,B
従来の社会構成主義と批判的社会構成主義の理論は、どのような点で異なっているか?,従来の構成主義者は、構成主義を合理主義者とリフレクティヴィストのアプローチの間の架け橋と見なし、両者が他方の洞察から利益を得ることを可能にしている。 逆に、批判的構成主義者は、このアプローチは実証主義的方法論を特徴づける二元的な区別を単純に再現すると主張している。,批判的構成主義は、社会構成主義の長所を合理主義者のアプローチとリフレクティヴィストのアプローチの架け橋となる能力にあると考えている。逆に社会構成主義者は、これを実証主義的な二元的分析の枠組みへの無益な回帰とみなす。,従来の構成主義とは、実証主義的方法論の否定を特徴とする社会構成主義理論家の初期の著作を指す。批判的構成主義者はこれらの理論に異議を唱え、実証主義の方法論を自著に取り入れている。,社会構成主義は、社会的アイデンティティと安全保障の構築に対する統一的なアプローチとして最もよく理解されている。しかしながらこの分野には区別が存在するが、これらは容易に独特な個別のアプローチとして定義されない。,A
商業とマーケティングを考慮した場合、ITセキュリティの発展にとって最も大きな障害はどれか?,セキュリティ・システムの構築には、投資に対する直接的な見返りがない。,セキュリティ・システムは使い勝手を損ない、ITシステムの機能を低下させ、ゆえに消費者にとって魅力的でなくなる可能性がある。,新しいIT製品やシステムを市場に投入するまでの時間を短縮しなければならないというプレッシャーがあるため、市場投入までの時間を短縮するためにセキュリティ・システムが犠牲になっている。,これらすべての選択肢。,D
エドワード・サイードによれば、「オリエンタリズム」を最もよく表しているのは次のうちどれか?,オリエントとは、西洋と比較して劣っており、非合理的で、後進的であると想像される、構築された主体。,オリエントとは、かつて東アジアを表現するために使われた地理的用語。,オリエントとは、安全保障を分析するために学者が否定しなければならない想像上の概念。,勢力の不均衡がある場合、東洋は支配的な知的勢力であるか、さもなければ優位な立場にある。,A
