都市社会学への生態学的アプローチは、次のうちどれに関する研究を含んでいたか?,社会集団がどのように都市のさまざまな地域を植民地化し、資源を奪い合ったか,都市の隅で見られる野生生物や自然の生息地の形態,人々が環境問題について集団的な抗議を組織した方法,男女がどのように都市の公共空間を使い分けていたか,A
ベッカーは、大麻の使用は次のうちどのようなものだと主張したか?,1970年代、若者のあらゆる層で増加していた,逸脱したキャリアの社会的プロセスを通じて徐々に学んだ,若者に追及させるべきではない危険な嗜好品,他の社会学者が示唆したほど楽しいものではなかった,B
19世紀に発展した中産階級は以下のうちどのようなものだったか?,都市に住み、市民団体や任意団体に関与していた,多様性に富んでいたため、強い階級意識を持つことができなかった,「ホワイトカラー」の仕事に携わることが多かった,上記のすべて,D
監視の技術的形態により、容易になったのは次のうちどれか?,消費者に関する「個人」情報へのアクセスと交換,電子タグの使用による刑務所の過密状態の緩和,職場における従業員の活動の監視,上記のすべて,D
フェルディナント・テンニエスが開発したゲマインシャフトという概念は、基本的に＿＿＿＿＿と同じ関係特性を表す。,有機的連帯,機械的連帯,ゲゼルシャフト,アノミー,B
1980年代に所得格差が拡大したのはなぜか?,所得税の税率がすべての職業グループに対して等しく上昇した,専門職は増えたが、それに見合う人材が不足していた,消費財の価格が収益よりも高い割合で上昇した,失業者数の増加により、福祉給付金に依存する人が増えた,D
逸脱した行為が「正常化」された場合、それは次のうちどのようになるか?,重要な行動規範を破るものとして認識される,そうでなければ「正常」な性格からの一時的な逸脱とみなされる,逸脱した経歴を確立するための第一歩となる,その人の遺伝的または解剖学的構成に起因する,B
「経営者革命」に関する議論の中で、ジョン・スコット（1997）は次のうちどのように主張したか?,オーナーは依然として、株主グループや兼任取締役を通じて支配権を行使している,所有と経営は、ますます別々の機能になってきている,科学的経営の手法は、過度に官僚的で非効率的,経営者は労働条件に不満を持つようになり、企業オーナーの打倒を目論むようになった,A
マルクス主義フェミニストは家父長制を以下どの観点から説明するか?,男女の権利と機会の平等の欠如,男性が女性を経済的、政治的、性的に抑圧する性的階級,資本主義経済によって搾取される女性の家事労働,資本主義と男性支配の二重体制,C
次のうち、ギデンズ（1998）が新労働党の「第三の道」の一部として定義していないものはどれか?,家族の民主化,民営化に終止符を打つ,積極的な福祉：「恵んでもらうために手を差し伸べるのではなく、働くために手を挙げよ」,市民社会の強化,B
レインやエスターソンのような反精神科医は、次のうちどのように考えていたか?,精神医学は時代遅れの治療法であり、アロマセラピーやキネシオロジーのような代替療法に取って代わられるべき,精神疾患は元来生物学的なものであり、患者が経験する「心」を研究することに意味はない,精神科医は資本主義の代理人であり、患者に支配階級のイデオロギーを植え付けようとしている,奇異に見える行動は、家族の相互作用のパターンが乱れていることに対する合理的な反応であると考えられる,D
バトラーとストークス（1969）は、労働者階級の労働党支持は以下のうちどれから生じると示唆したか?,労働者階級の家族やコミュニティへの社会化,自己利益の合理的計算,文化やライフスタイルに関する問題に基づく懸念,誤った意識と覇権的価値観の受容,A
現代社会において、社会制度とは次のうちどれか?,高度に専門化され、相互に関連し合う社会的慣習の集合,ポストモダン世界における無秩序な社会関係,サイバースペースにおけるバーチャル・コミュニティ,もはや社会学とは無関係なもの,A
「感情労働」(ホックシールド 1983)という用語は、次のうちどれを指すか?,公共の場での相互作用に適していると考えられる感情を意識的に管理し、提示するために用いられる技術,心理学者、カウンセラー、セラピストが、精神的および感情的な問題を抱えるクライアントを支援するために行う仕事,悲嘆や恋に落ちるなど、人から多くの感情的なエネルギーを必要とする経験,リスクと不安のレベルが高まるにつれて、私たちは自分のアイデンティティについてより反射的に考えるようになった,A
社会学者が社会の階層構造とその間の人々の移動を研究するとき、彼らはこれを次のうちどう呼ぶか?,社会階層,社会的統制,社会的対立,社会的連帯,A
ウェーバーが特定した社会的行為の4つの理念型は次の通りである：手段合理的、価値合理的、伝統的、そして、次のうちどれか?,感情的,情動的,効果的,感染性,A
エクレシアとは何か?,会員に対する完全な精神的権威を主張する宗教組織,強制的な会員ではなく、自発的な会員を中心に組織された教会,非常に少数の信者を持つ宗派またはカルト,司祭または他の精神的指導者の階層,A
米国と大英帝国において奴隷制度が廃止された後、政策立案者はこれらの都市に移住する元奴隷が経験するであろうことを次のうちどれと主張したか?,同化,適応,差別,補償,A
サザーランドによる「職業的窃盗犯」の研究は、次のうちどれを示唆しているか?,人は犯罪を肯定的に定義する他人と付き合うことで、犯罪生活に社会化される,犯罪の大半は、専門的な職業に就く中産階級の人々によるもの,窃盗で逮捕・起訴された人々は、自分たちを窃盗犯だとは定義していない,路上で最も危険な犯罪者は、高度な技術を持つ窃盗犯,A
新労働党政権が追求しなかった政策は次のうちどれか?,生徒の能力による配置とクラス編成,保護者による学校選択,失敗していると思われるLEAへの支援,国家によるカリキュラムの規制と管理,C
ストーンの調査によると、工業化以前には核家族は＿＿＿＿＿＿＿。,どのような形でも存在しなかった,血縁の拡大されたネットワークがより重要になるにつれ、消滅し始めていた,仕事と家庭生活の分離を通じて出現し始めていた,家父長的支配の単なる制度のひとつであった,C
地方、郊外、都市の発展と移動のパターンに関する統計は、ほとんどの場合、常に大都市統計地域（MSA）と呼ばれる地理的エリアに基づいて報告される。MSAの構成要素とは何か?,米国内の10大都市のみを含む。,MSAは、少なくとも人口5万人以上の中心都市1つ以上で構成され、密集して都市化した郡を取り囲んでいる。,一年のうち少なくとも50％は強い嵐に見舞われる地域。,人口100万人以上の大都市で、郊外に近隣を囲まれている。,B
モスカとパレートは支配エリートを次のうちどのように特定したか?,政治的権威の上位をすべて占める少数集団,特定の技能や能力を持つ社会勢力の連合体,高い地位の間を行き来し、他を排除する集団,上記のすべて,D
ブルデューは階級の再生産を次のうちどれに起因すると考えているか?,資本のカルト,資本文化,文化資本,犯罪的占拠,C
世俗化には次のうちどの2つの関連した考え方があるか?,失望と不均衡,不信と崩壊,離脱と幻滅,分配と蒸留,C
一般出生率が1964年から2000年の間に低下したのは、以下のうちどの理由によるか?,結婚年齢と出産開始年齢の上昇,出産適齢期の女性が今世紀前半より少ない,出生率の測定と統計作成の誤り,貧困、劣悪な住宅、劣悪な衛生環境による病気のリスク,A
ハワードの田園都市構想は以下のうちどれからなるか?,緑地帯に囲まれた6つの小さな町を、より大きな中心都市につなげる,木々や花々、公共の庭園を多く持つ都市を計画する,個人所有の各戸に、それぞれの前庭と裏庭を持たせる,高層ビルで人口を垂直方向に移動させ、土地の大部分を緑のオープンスペースとして残す,A
人生の「第3の年齢」は、次のうちどれを含むと言われているか?,退職後の積極的な非就労と自立,フルタイムでの就労、家族形成、成人としての責任,病気、孤立、他者への依存の増大,教育から就労への移行、特徴的な若者文化,A
ウェーバー（1919）は、国家が武力行使を独占することは、次のうちどれによって正当化されると述べたか?,カリスマ的権威,合理的-法的権威,伝統的権威,価値-合理的権威,B
サリヴァン（2000）の研究によると、男性が家事をする割合が最も多かった時期は次のうちどれか?,「新しい男性」としての自分を再発見したとき,妻が家にいて、いつも口うるさかったとき,フーバーや電気アイロンのようなエキサイティングな小道具が発明されたとき,失業中であったか、パートナーがともにフルタイムで働いていたとき,D
離婚後の親権者から共同親権者への移行が意味するのは、次のうちどれか?,父親が子どもの生活から不在になる可能性が高くなる,一方の親が子どもの福祉と社会化について全責任を負う,両方の親が子どもの継続的な世話をするために協力することが期待される,両親はすべての子どもを平等に養育しなければならない,C
エミール・デュルケームは、社会学の主要な焦点は次のうちどれであると考えたか?,社会的行為,社会的事実,階級関係,文化的力学,B
「社会学」という言葉は、1800年代初頭に次のうちどれによって作られたか?,オーギュスト・コント,ロバート・K・マートン,カール・マルクス,エミール・デュルケーム,A
