米国におけるAIDS活動がもたらした結果は?,食品医薬品局（FDA）の改革,治験薬へのアクセスの改善,米国における医療のあり方の変化,上記すべて,D
世界的に見て、最も多くの死者が出ているのは?,呼吸器感染症,下痢性疾患,マラリア,結核,B
「潜伏期」には何が起こるか?,ウイルスは免疫システムによって体から排除される,ウイルスの複製は細胞内レベルで起こる,この期間は一般的に数日間続く,この期間は一般的に数時間続く,B
安全な水へのアクセスが限られ、教育水準が低い国の新生児は、どのように育てられるべきか?,6カ月間は粉ミルクのみで育てる,6カ月間は母乳のみで育てる,最初の6カ月間は、母乳と他の食品の両方を許容範囲内で与える,カ月,B
コミュニティで効果的な変化を達成するのは、通常、社会の次のどの層に依存するか?,革新者,初期採用者,中期採用者,後期採用者,A
「コンティンジェンシー・マネジメント」とは?,ハイリスク行動を減らすための最後の手段,尿検査が陰性だった場合に薬物使用者に支払うこと,コンドームを使用するためにセックスワーカーに支払うこと,コンドームを使用するために薬物使用者に支払うこと,B
アストロウイルス感染後の典型的な臨床症状には、以下のどれが含まれるか?,急性肺炎,小児胃腸炎,肝炎,発疹,B
次のうち、適応免疫系の最も特徴的なものはどれか?,抗体,T細胞,記憶T細胞,既存の抗体および/またはT細胞のクローン性増殖,D
化学療法は現在、患者の臨床治療の選択肢の一つである。現在、典型的な薬物療法には次のどれが含まれるか?,インターフェロンとリバビリン,ラミブジンとリバビリン,アデホビルとエンテカビルおよび/またはテノホビルの併用（DAA）,インターフェロンのみ,B
1997年1月1日から1998年1月1日まで、米国ではエボラ・ウイルスの新規症例はなかった。この記述は次の疫学用語のどれを表しているか?,発生率,生涯有病率,生涯有病率,期間有病率,C
レトロウイルスはどのようにして発見されたか?,ラウス肉腫としてニワトリで,HTLV-1としてヒトで,白血病を引き起こすマウスで,白血病を引き起こすネコで,C
ほとんどのサーベイランス・システムは、以下のどの研究デザインを用いているか?,コホート,連続横断,死亡率,シンドロミック,B
ポリオは次のうちどれによって撲滅できるか?,下水対策と衛生管理への配慮,死菌ポリオ・ワクチン,生ポリオ・ワクチン,死菌ワクチンと生ワクチンの併用,A
公衆衛生倫理とは?,患者中心。,集団中心。,被験者中心。,個人の権利を尊重しなければならない。,B
現在、世界で何人がB型肝炎に感染しているか?,3億5000万人,20億人,10万人,100万人,A
ある研究では、一群の人々が環境毒素に暴露されるが、その毒素の潜在的な影響を確認するために、標準的な一連の尺度について経時的に観察される。このような研究デザインの呼び名は?,臨床試験,二重盲検法,縦断的,前向きコホート,D
ポリオーマウイルスが主に引き起こす疾患はどれか?,腫瘍,脳病理,どの疾患も引き起こさない,腎臓感染症,C
抗体産生細胞はどのように刺激されるのか?,ウイルスのショートペプチドと相互作用する,Tヘルパー細胞と相互作用する,形質細胞と相互作用する,ウイルス感染細胞と相互作用する,B
MACS（Multicenter AIDS Cohort：多施設共同エイズ・コホート研究）の成功の鍵として最も重要なものは何か?,研究責任者の才覚,スタッフの献身,参加者の献身,研究室の質,C
ピコルナウイルスのプラス鎖RNAウイルスとしての複製は、特に次のどれに典型的か?,ビリオンがRNA転写酵素を細胞内に運ぶ,ビリオンRNAが1つの大きなポリタンパク質に翻訳される,ビリオンRNAがmRNAとして働く,ウイルスが細胞のアポトーシスによって排出される,C
アストロウイルス科がヒトにとって重要な腸内ウイルスであると最近認識されたのはなぜか?,ディープ・シークエンシングという新しい方法によってゲノムが同定されたから,新しいベクターが発見されたから,広範囲の家畜に感染するため、食肉を汚染するから,プラス・センスssRNAウイルスとしての複製に関する知識が完全になったから,A
臨床観察によって始めは同定されなかったウイルス感染はどれか?,HIV,風疹の催奇形性,小頭症とジカ熱,C型肝炎,D
米国の医療制度の特質とは何か?,体系的で民主的なアプローチ,断片的でまとまりのないアプローチ,十分な情報に基づいた議員による合理的な決定の結果,上記のAとC,B
ショプタウ教授によれば、3つの重要な介入戦略とは?,行動的介入、治療、構造的介入,コンドーム、薬物療法、商業的性風俗店の規制,薬物補充療法、コミュニティ介入、針交換,HIV検査、薬物療法、コンドームの使用,A
麻疹は次のうちどれによって多くの国で制圧されているか?,衛生管理,MMRワクチン,新しい分子ペプチド・ワクチン,F蛋白に対するヒト化モノクローナル抗体,B
フィロウイルスの蔓延を防ぐには?,新しい抗ウイルス剤,新しいヒト化モノクローナル抗体,衛生と社会的距離,新しいワクチン,C
パンデミックのほとんどは、次のどの動物のインフルエンザ・ウイルスから発生しているか?,豚,野鳥,コウモリ,ヒト,A
PrEPがHIVの感染率低下において効果的な戦略となるのは?,女性,薬物使用者,妊婦,上記のAとB,B
B型肝炎の複製には以下のどの段階が含まれるか?,無傷のウイルスが細胞質に移動して複製される,不完全環状ウイルスDNAが核内で共有結合閉環状（CCC）DNAに変換される,細胞内のDNAポリメラーゼによって細胞質で産生されるビリオン,肝細胞を形質転換する発がん活性,C
パピローマウイルスはどのようにしてがんを引き起こすのか?,分裂中の細胞で複製し、3つの発がん性タンパク質E5、E6、E7をコードする,ウイルス・ゲノムを細胞DNAに統合する,がんを発生させることができるがん遺伝子をもつ,細胞がん遺伝子の補助因子として作用する,B
ノロウイルスは通常、次のどれを引き起こすか?,下痢,発疹,噴出性嘔吐と下痢,中枢神経系の疾患,C
ディープ・ヌクレオチド・シーケンス（NGS）は今や一般的な応用に十分なほど安価になった。この技術は主に何に役立つか?,迅速なワクチン開発,遺伝子変異の特定,無症状保菌者のウイルス排出に関する詳細,新型ウイルスの迅速な特定,D
性行為ごとに感染者からHIVに感染することを決定する要因は?,ウイルスRNAレベル,他の感染症の有無,コンドームの使用,上記すべて,D
次世代シーケンシング（NGS）はどのように使用されることが多いか?,新たに発見されたウイルスを同定するため,薬剤耐性変異体を探索するため,準種ウイルスを同定するため,使用できない,D
子宮頸癌の原因となるHPVウイルスはどれか?,5クレードすべてのウイルス,14型、16型、18型、31型、45型,それ自体に発癌性はない,1～180型,C
重篤なクループを引き起こすパラミクソウイルスの仲間はどれか?,麻疹,メタニューモウイルス,ヘンドラ,呼吸器合胞体ウイルス（RSV）,B
ラテン系住民のHIV検査の遅れの原因はどれか?,病気に対するスティグマ,マチズモ,薬物乱用,上記すべて,D
トガウイルスの形態を説明せよ。,20面体構造を持つエンベロープ型球状粒子,20面体構造を持つ非エンベロープ型,突出した糖タンパク質を持つ糸状ウイルス,小さな円形ウイルス,A
