1917年にドイツが発動した無制限潜水艦作戦により参戦した国はどこか。,イタリア,アイルランド,エジプト,アメリカ,D
1928年のイギリス第5回選挙法改正で参政権が認められたのは次のうちどのような人々か,25歳以上の女性,30歳以上の女性,21歳以上の女性,18歳以上の女性,C
1932年に開かれてドイツの賠償問題が事実上打ち切られることとなった、賠償金と戦債問題に関する国際会議を何というか,ワシントン会議,ベルリン会議,ローザンヌ会議,パリ会議,C
1878年以降、セルビアとブルガリアの領有権争いの対象となった土地はどこか。,アルバニア,ワラキア,マケドニア,トランシルヴァニア,C
1839年にギュルハネ勅令にもとづき始まったオスマン帝国の近代化を目指す改革運動を何と呼ぶか。,ワッハーブ運動,ディーワーニー,改革・開放政策,タンジマート,D
1886年にサミュエル＝ゴンパーズによって設立された熟練労働者中心の労働組合は何か,アメリカ社会党,アメリカ労働総同盟,労働騎士団,世界産業労働者同盟,B
1828年に廃止されるまで、イギリスで非国教徒の公職就任を規制してきた法律は何か。,航海法,一般工場法,審査法,団結禁止法,C
アメリカ合衆国憲法に反対して各州の独立性を重視した南部農民や中小商工業者を中心とする人々はなにか。,愛国派,連邦派,忠誠派,反連邦派,D
スペイン内戦に義勇兵として参加し、『誰がために鐘は鳴る』を著したアメリカの作家はだれか,ピカソ,ヘミングウェー,バイロン,オーウェル,B
ロシア2月革命のきっかけとなったのはどこで起きたストライキか,ウラジヴォストーク,ペトログラード,イリ,モスクワ,B
五か年計画で全国に拡大した、ソ連の集団農場を何というか,ミール,ソヴィエト,ソフホーズ,コルホーズ,D
セルビアが中世セルビア王国時代の領有面積を回復しようとした思想を何と呼ぶか。,パン＝ゲルマン主義,大セルビア主義,帝政復活運動,パン＝スラヴ主義,B
ポルトガルの王子ドン＝ペドロが皇帝を称して帝政下での独立を果たした国はどこか。,ボリビア,ブラジル,エクアドル,アルゼンチン,B
太平天国の乱の鎮圧で活躍したウォードやゴードンが率いた部隊は何か。,常勝軍,湘軍,赤軍,白軍,A
1815年に結成され、自由とドイツ統一を求めて結成された学生団体は何か,グーツヘルシャフト,ブルジョワジー,ブルシェンシャフト,リオグランデ,C
ナポレオン軍がプロイセンを破り、その後７日間で国土を蹂躙することになった戦いは何か。,イエナの戦い,モハーチの戦い,マレンゴの戦い,ボロディノの戦い,A
19世紀後半にバルカン半島で盛んとなったスラヴ民族の統合を目指す思想を何と呼ぶか。,パン＝スラヴ主義,新植民地主義,社会帝国主義,ビザンツ帝国復興運動,A
アメリカで大陸横断鉄道（セントラル＝パシフィック鉄道）が開通した年代はいつか。,1871年,1878年,1869年,1861年,C
1805年に仏と露・墺間で起きた戦いは何か。,アウステルリッツの戦い,イエナの戦い,トラファルガーの海戦,ワーテルローの戦い,A
1953年に就任し、「巻き返し政策」を提唱して反共の立場をとった34代アメリカ大統領は誰か。,ジョンソン,ケネディ,トルーマン,アイゼンハウアー,D
ウィーン会議に参加したロシア・ロマノフ王朝の皇帝は誰か。,アレクサンドル１世,アレクサンドル２世,ニコライ１世,ニコライ２世,A
ソ連が世界で初めて打ち上げに成功して西側諸国に衝撃を与えた人工衛星はどれか,スプートニク11号,アポロ1号,スプートニク1号,アポロ11号,C
臨時政府を打して二重権力を解消し、ロシアに社会主義政権を樹立した革命をなんというか,7月革命,10月革命,12月革命,2月革命,B
北大西洋条約に基づき作られた西側の集団安全保障機構は何か。,SEATO,CENTO,NATO,WTO,C
アメリカ合衆国政府がウーンデッドニーの虐殺をもって先住民の抵抗を排し、「フロンティアの消滅」を宣言した年代はいつか。,1881年,1890年,1891年,1884年,B
1919年のヴェルサイユ条約で15年間国際連盟の管理下に置かれた領土はどこか。,ポーランド回廊,ラインラント,アルザス・ロレーヌ,ザール,D
オスマン帝国からの独立を求めたエジプト太守は誰か。,エンヴェル＝パシャ,ムハンマド＝アリー,イブン＝アブドゥル＝ワッハーブ,ミドハト＝パシャ,B
1873年にビスマルクが調停した結果誕生した同盟は何か。,三帝同盟,独墺同盟,再保障条約,三国同盟,C
1924年にイギリス労働党として初の首相になったのはだれか,マクドナルド,パーマストン,ディズレーリ,グラッドストン,A
ラテンアメリカの白人と先住民間に生まれた混血人種のことを何と呼ぶか。,ムラート,クリオーリョ,サンボ,メスティーソ,D
エーベルトの死後、第二代ヴァイマル共和国大統領となった一次戦の英雄はだれか,ムッソリーニ,シュトレーゼマン,ヒンデンブルク,ビスマルク,C
自由フランス政府の首班は誰か。,ド＝ゴール,チャーチル,ペタン,ネヴィル＝チェンバレン,A
国連設立当初の安全保障理事会の常任理事国に含まれない国はどこか。,ソヴィエト社会主義共和国連邦,中華民国,アメリカ合衆国,中華人民共和国,D
英露協商の中身としてふさわしくないものは何か。,アフガニスタンのイギリス領有承認,チベットの相互不干渉,カージャール朝ペルシアの分割,エジプトに対するイギリスの優越権を承認,D
1951年に日本と連合国との間で締結され、日本が主権を回復した講和条約は何か。,サンフランシスコ平和条約,パリ条約,ベルリン条約,ワシントン条約,A
ソヴィエト政権が首都と定めた都市はどれか,サンクト＝ペテルブルク,ペトログラード,モスクワ,ウラジヴォストーク,C
リンカン大統領によって奴隷解放宣言が出されたのは何年か。,1863年,1884年,1861年,1862年,A
ウィーン議定書で永世中立国となった国はどこか。,オーストリア,スイス,イギリス,ベルギー,B
変法運動が失敗に終わった保守派のクーデタを何と呼ぶか。,戊戌の政変,太平天国の乱,同治の中興,義和団事件,A
1889年にフランス革命百周年を記念して結成された世界の労働者連帯を目指す国際組織は何か。,第１インターナショナル,第２インターナショナル,コミンテルン,コミンフォルム,B
