自然の要素や過程に注目した自然主義者は、次のうちどれと関係があるか？, 道教 , 陰陽学派 , 孟子 , 人間性仏教,B
日本で最初の仏教寺院が建立されたのはいつ？,325 CE,119 CE,451 CE,596 CE,D
バビロンの文化を祝う10日間の新年祭の名前は？, アキトゥ , ワグとトート , バスト , ネヘブカウ,A
日本のフラワーアレンジメント芸術を表す用語は次のうちどれか？, 座禅 , タリキ , カミ , 生け花,D
グル・ナナクとその後継者たちは、次のうちどれを促進するために、特定のシク・ラガの使用を指示したか？, 調和とバランス , 献身と敬虔 , 愛と情熱 , 親善と愛,A
グル・ナナクは、神の啓示の一部である「神の言葉」を表すのに、どのような言葉を使ったか？, シャバド , カルセ , ナム , グル,A
ミラジとは何か？, ムハンマドの奇跡的な昇天 , ムハンマドのメッカへの移住 , ムハンマドのメッカでの最初の共同体 , ムハンマドのクルアーンの啓示,A
最も有名なダルマシャストラの名前は何か。, ダルマの法則 , カルマの法則 , ヴィシュヌの法則 ,マヌの法則,D
クルアーンとは文字通り何を意味するのか？, 聖典 , 物語 , 朗読 , 柱,C
マニが神を次のどの名前で呼んだか？, 光の母 , 善の父 , 言葉では言い表せない恋人 , 永遠の精霊,B
「漸進的な悟り」を促進することで知られる伝統はどれか。, 武士道 , 神道 , 日蓮 , 曹洞宗,D
シク教では、礼拝所で供される共同食を何と呼ぶか？, サンガト , ランガール , グルドワラ , パントス,B
天師として知られる反漢の反乱グループはどの伝統に属しているか？, 仏教 , 道教 , 儒教 , シャーマニズム,B
「イスラム」とはアラビア語で何を意味するか？, 礼拝 ,提出 , 服従 , 信仰,B
アナトマンとはどういう意味か？, 苦悩 , 魂 , 無常 , 無我,D
シーク文学の中でジャナム・サキスと呼ばれるジャンルは？, スピリチュアルな物語 , 贖罪の物語 , 誕生の物語 , 神学的な物語,C
浄土真宗はどの宗派に属するか？, ヴァジラヤナ , 上座部 , 大乗 ,マハヴィーラ,C
女性が半放棄的な生活を送ることだけを認めているジャイナ教団は？, スヴェタンバラ , ジナ, アガマ , ディガンバラ,D
ユダヤ教で最も重要な祈りは何か？, シェマ , セフィロト , 申命記 , デカログ,A
クシャトリア派とシュラマナ派の社会的・政治的同盟は、次のうちどれに反対していたか？, バラモン教的正統主義 , 合法主義的禁欲主義 , バクティ帰依主義 , 正統でない慣習,A
メッカの改宗につながった初期の戦いは？, ウフドの戦い , キャメルの戦い , 塹壕の戦い , バドルの戦い,C
シーク教で精神的解放を得るために、どのような内面的鍛錬をしなければならないか？, 神の御名を思い出すこと , 聖なる賛美歌を瞑想すること , 死は避けられないことを思い出すこと , 創造された世界の善良さを瞑想すること,A
日本が朝鮮を占領していた時代（1910年～1945年）、朝鮮人に課せられたものはどれか。, 儒教 , 仏教 , キリスト教 , 道教,A
パンジャブ語の「シーク」の意味は？, 弟子 , 忠実 ,信者,啓発された,A
次のうち政治を避けているのは？, 『荘子』の賢人 , 『南宋』 , 周公 ," 儒教の ""賢王""",A
ヘブライ語の「マシアハ」とは何を意味するか？, 油注がれた者 , 神 , 預言者 , ダビデの一行,A
ジャイナの伝統によると、アジヴァとは何を意味するのか？, 魂 , 音 , 非物質 , 魂ではないもの,D
日本の禅の伝統において、坐禅とは何か？, 銅像の集合体 , 祖先への崇敬 , 座って瞑想する , 葬送儀礼,C
蜜教の中心的な要素は何か？,苦行, 身体的快楽 , 音楽 , 性的結合,D
エジプトの「ルドゥル・ベル・ネメキ」（「私は知恵の主を賛美する」）はマルドゥクをどのように描いているか？, 愛と寛容 , 怒りと慈悲 , 裁きと復讐 , 超越と内在,B
バル・コッホバの反乱の後、ユダヤ人の発展の2大中心地はどこか？, パレスチナとバビロニア , バビロニアとヨーロッパ , パレスチナとスペイン , スペインとフランス,A
