逮捕令状や押収令状を発する権限をもつ司法官は誰か？,裁判官,検察官,警察官,弁護士,A
安全保障理事会の常任理事国に与えられた権限は？,発議権,解散権,拒否権,統帥権,C
国際教育科学文化機関の略称はどれか？,ＩＭＦ,ＷＨＯ,UNICEF,UNESCO,D
家族の関係を示した公的な証明書を何というか？,家籍,家族証明書,身分証明書,戸籍,A
原料を輸入し、製品を輸出するという日本の貿易のスタイルを何というか？,輸出貿易,加工貿易,輸入貿易,先端貿易,B
世界最大の債権国はどこか？,日本,アメリカ,中国,イギリス,A
国や地方公共団体が公共のために営む企業を何というか？,国策企業,株式企業,私企業,公企業,D
議案を細かく専門的に審議する国会内に設置する機関を何というか？,委員会,公聴会,両院協議会,本会議,A
国の予算はどこが作成するか？,国会,天皇,政府,裁判所,C
国や地方公共団体の１年間の歳出と歳入の見積のことを何というか？,予算,決算,財政,財源,A
衆議院解散後に召集される国会を何というか？,通常国会,特別国会,臨時国会,緊急集会,B
商品の買い手が、代金の支払い額と期日を約束して発行する証書を何というか？,手形,社債,株式,小切手,A
企業の協定や合併などを監視している国の機関を何というか？,監視委員会,公正取引委員会,公安委員会,教育委員会,B
内閣は、日本の政治権力のうちの何をうけもつか？,立法,行政,軍事,司法,B
企業活動を１つの国家だけではなく複数の国家にまたがる企業を何というか？,国際企業,多国籍企業,私企業,公企業,B
国会で指名された内閣総理大臣を任命するのは誰か？,衆議院議長,参議院議長,天皇,与党党首,C
一般の人々の利害や権利の対立を裁く裁判を何というか？,刑事裁判,民事裁判,行政裁判,弾劾裁判,B
モンテスキューが三権分立を提唱した本の名前は？,法の精神,社会政府二論,社会契約論,善悪の彼岸,A
国民が最高裁判所裁判官の資格を判定することを何というか？,国民審査,国民検査,裁判員制度,弾劾裁判,A
財政が貧富の差を少なくするはたらきをしていることを何というか？,税の再課税,福祉の再配分,所得の再分配,最大多数の幸福,C
裁判所が法律の違憲性について審査できる権限を何というか？,違憲立法審査権,行政違法権,立法違憲権,合憲立法審査権,A
公衆衛生を主に行う公的機関を何というか？,公衆衛生所,ハローワーク,公正取引委員会,保健所,D
上級の裁判所に訴える上訴を何というか？,控訴,上告,告訴,判決,B
金と交換可能な紙幣を仲立ちとする貨幣制度を、何というか？,兌換紙幣制度,金本位制度,通貨管理制度,国家紙幣制度,B
国や地方公共団体によってつくられたインフラ資産を何というか？,社会整備,社会資本,サービス財,消費財,B
基本的人権を守るための権利ではないものはどれか？,参政権,労働基本権,請求権,請願権,B
衆議院議員の任期は何年か？,４年,３年,６年,５年,A
納税者と実際の税負担者が同じ税を何というか？,源泉税,間接税,消費税,直接税,D
北側に多い先進国と南側に多い発展途上国との経済格差の問題を何というか？,南北問題,経済摩擦,南北戦争,南北経済,A
労働者が失業したときに、当面の生活費が支給される社会保険はどれか？,雇用保険,労災保険,失業保険,年金保険,A
生産年齢人口に定められている年齢はどれか？,13歳～63歳,20歳～60歳,15歳～64歳,18歳～65歳,C
銀行に当座預金を持つ人が、銀行に支払いを依頼した証書を何というか？,社債,小切手,手形,郵便為替,B
労働条件の最低基準を定めている法律を何というか？,労働関係調整法,労働組合法,労働基本法,労働基準法,D
『華族制度や身分制度は認めない』のは何権にあたるか？,自由権,社会権,市民権,平等権,A
選挙に選ばれた代表者によって行われる政治を何というか？,選挙民主制,直接民主制,間接民主制,代表民主制,C
参議院の議員定数は何人か？,160人,200人,242人,360人,C
国の管理のもとに不換紙幣を発行する貨幣制度を何というか？,兌換紙幣制度,金本位制度,通貨管理制度,国家紙幣制度,C
知事の被選挙権は何歳以上か？,18歳以上,20歳以上,25歳以上,30歳以上,D
日本で1925年に施行された普通選挙法はどのような人々に選挙権が与えられたか？,20歳以上の男子,20歳以上の男女,25歳以上の男子,25歳以上の女子,C
同じ事件について、３回まで裁判が受けられる制度を何というか？,再審制,複数審査,裁判員制度,三審制,D
限りある資源を効率的に利用し、再生産することで持続可能な社会を何というか？,再生産社会,次世代社会,循環型社会,効率化社会,C
『健康で文化的な最低限度の生活を営む権利』が規定されているのは憲法第何条か？,第１条,第９条,第25条,第22条,C
国民の多くが支持する意見を何というか？,意見,支持率,野論,世論,D
熊本県水俣市周辺で発生した有機水銀が原因物質の公害はどれか？,イタイイタイ病,水俣病,新潟水俣病,四日市ぜんそく,B
日本国憲法では公務員は何とされているか？,天皇の下僕,内閣の実践者,国民の活動者,全体の奉仕者,D
モンテスキューが唱えた政治権力を分割し均衡と抑制による政治システムを何というか？,均衡政治,四権分割,権力分割,三権分立,D
参議院で否決された際の、衆議院での再可決に必要な賛成の割合はどれか？,１/３,１/２,過半数,２/３,D
全ての人々が人間らしく生活できる権利を何というか？,生存権,平等権,参政権,自由権,A
独立した企業同士が、価格や生産個数などの協定を結ぶことを何というか？,カルデラ,クリーク,トラスト,カルテル,D
財のうち、生活の中で消費してしまう品物を何というか？,家計財,生産財,生活財,消費財,D
日本銀行が国債などの有価証券を売買することで金利などをコントロールすることを何というか？,公開市場調査,公定歩合政策,新型オペ,準備預金制度,A
労働者の争議行為で、働かないことで抗議を行うことを何というか？,ハンスト,ストライキ,ワーキング,メイデー,B
大企業から仕事を請け負うことを何というか？,請負,派遣,下請け,天下り,C
少数の大企業が協定して一方的にきめる価格を何というか？,需要価格,供給価格,独占価格,均衡価格,C
生産の三要素に入らないものはどれか？,自然,情報,労働力,資本財,B
都道府県の行政での最高責任者を何というか？,村長,首相,出納長,知事,D
市場を通じて、モノやサービスが取引される経済を何というか？,市場経済,計画経済,混合経済,流通経済,A
社会的な弱者に福祉サービスを行う社会保障を何というか？,公衆衛生,社会福祉,公的扶助,社会保険,B
自分に不利益なことは話さなくてもよいという権利を何というか？,拒否権,否認権,黙秘権,社会権,C
一定期間、説明なしで無条件に契約を解除できる制度を何というか？,クールビズ,クーリングオフ,アセスメント,クロージング,B
日本の中央銀行はどれか？,みずほ銀行,日本銀行,政府銀行,ＩＭＦ,B
物価が持続的に下がっていくことを何というか？,スタグフレ,ハイパーインフレ,デフレ,インフレ,C
国や地方が公共の立場から決める価格を何というか？,公定価格,独占価格,取引価格,行政価格,A
国の一般会計の中で、毎年財政支出が多くなっているものはどれか？,公共事業費,防衛費,教育費,社会保障費,D
物価の推移を表した指標を何というか？,価格指数,供給指数,消費指数,物価指数,D
衆議院・市町村長・地方議会議員の被選挙権は何歳以上か？,満２０歳以上,満２５歳以上,満３０歳以上,満３５歳以上,B
地方公共団体に属さない行政委員会はどれか？,公安委員会,教育委員会,公正取引委員会,選挙管理委員会,C
日本銀行は、政府の資金を扱うことからどのように呼ばれるか？,最上の銀行,政府の銀行,発券銀行,銀行の銀行,B
戦後、三種の神器とよばれた電化製品のうち異なるものはどれか？,テレビ,洗濯機,炊飯器,冷蔵庫,C
いろいろな商品の価格を総合して１つの数値で示したものを何というか？,エンゲル係数,物価,商品価格,商品係数,B
日本国憲法で社会権に入らないのはどれか？,生存権,教育を受ける権利,平等権,労働基本権,C
日本銀行が発行する紙幣を何というか？,有価証券,兌換紙幣,日本銀行券,日本紙幣,C
日本国憲法第25条が保障している基本的人権はどれか？,平等権,生存権,自由権,参政権,B
フルタイムで働いても、生活保護の水準しか収入が得られない勤労者のことを何というか？,ワーカホリック,富裕層,ワーキングリッチ,ワーキングプア,D
ＩＭＦの略称が示す、国連の専門機関はどれか？,国際通貨基金,世界貿易機関,国際原子力機関,世界保健機関,A
三権分立の必要性を主張したフランスの思想家は誰か？,ルソー,ロック,ベンサム,モンテスキュー,D
市町村議会の任期は何年か？,２年,６年,３年,４年,D
大気中の亜硫酸ガスなどで、雨が酸性になってしまうことを何というか？,酸化水,オゾン層破壊,酸性雨,中性雨,C
イギリスの思想家で『市民政府二論』を著したのは誰か？,ベンサム,ロック,ルソー,モンテスキュー,B
国が発行する借金となる公債を何というか？,国債,社債,日銀債,国地方債,A
国が経済全体をみながら通貨の発行量を決める制度を何というか？,通貨管理制度,為替管理制度,金本位制度,発行管理制度,A
誰が誰に投票したかをわからないようにした選挙を何というか？,直接選挙,平等選挙,秘密投票,不在者投票,C
