長崎市や佐世保市で古くから盛んな産業は何か？,印刷業,製糸業,造船業,石油化学工業,C
最も面積の小さな都道府県はどこか？,沖縄県,東京都,香川県,大阪府,C
日本の面積とほぼ同じ国はどれか？,フランス,ドイツ,イギリス,メキシコ,B
以下の中で、東京に集中している業種はどれか？,観光業,印刷・出版業,鉄鋼業,造船業,B
愛媛県の県庁所在地はどれか？,宇和島市,高松市,今治市,松山市,D
農業以外で収入がある農家を何というか？,兼業農家,収入農家,専業農家,大規模農家,A
島根県の県庁所在地はどれか？,松江市,松山市,出雲市,米子市,A
日本の最東端の島はどこか？,与那国島,沖ノ鳥島,屋久島,南鳥島,D
世界で最も面積が狭い国はどこかか？,クウェート,韓国,バチカン市国,マダカスタル,C
水俣病の原因物質はどれか？,有機水銀,カドミウム,亜硫酸ガス,窒素酸化物,A
以下の中で、近畿地方ではない都道府県はどれか？,福井県,三重県,和歌山県,滋賀県,A
以下の４つの中で、年間を通じて雨が少なく、気温の年間差が大きい日本の地域はどれか？,沖縄県那覇市,北海道札幌市,新潟県新潟市,長野県松本市,D
岡山平野で盛んに栽培されている果物はどれか？,みかん・オレンジ,なし・さくらんぼ,ぶどう・もも,りんご,C
和歌山県、奈良県に広がる吉野すぎで有名な山地はどれか？,近畿山地,伊吹山地,紀伊山地,中国山地,C
日本で最長の川はどれか？,木曽川,信濃川,利根川,神通川,B
日本で夏から秋にかけてくる熱帯低気圧は何か？,台風,ハリケーン,梅雨,秋雨,A
日本の現在の米の自給率は、以下の４つのうち最も近いのはどれか？,２５％,５０％,７５％,９５％,D
以下の中で、中部地方ではない都道府県はどれか？,新潟県,三重県,群馬県,山梨県,C
日本の面積はどれくらいか？,18万平方km,38万平方km,180万平方km,180万平方km,B
北海道内にある、ますや鮭などの北洋漁業の中心となっている港はどれか？,銚子港,焼津港,釧路港,八戸港,C
新潟県越後平野で主に栽培されているものはどれか？,大豆,さくらんぼ,米,小麦,C
東京都の人口は日本の総人口の約何分の１がいるか？,３分の１,５分の１,10分の１,20分の１,C
便利さを強調して全国に増加した小売店を何というか？,ディスカウント,スーパーマーケット,コンビニ,デパート,C
鹿児島県の南にある世界自然遺産に登録された島はどれか？,佐渡島,屋久島,種子島,天草諸島,B
名古屋を中心に広がる工業地帯（地域）を何というか？,愛知工業地帯,中京工業地帯,名古屋工業地帯,京浜工業地帯,B
福井県若狭湾で多く建造されている発電所はどれか？,原子力発電所,風力発電所,水力発電所,火力発電所,A
瀬戸内海沿岸の工業地域を何というか？,岡山工業地域,中国工業地域,瀬戸内工業地域,播磨臨海工業地域,C
以下の４つの中で、年間を通じて乾燥し、冬も温和な日本の地域はどれか？,岩手県盛岡市,東京都新宿区,岡山県岡山市,沖縄県那覇市,C
日本列島はどの造山帯に属しているか？,環太平洋造山帯,環大西洋造山帯,インドネシア造山帯,地中海造山帯,A
世界で最も人口の多い国はどこか？,アメリカ,インドネシア,インド,中国,D
静岡県沿岸に広がる工業地域を何というか？,東海工業地域,播磨臨海工業地域,鹿島臨海工業地域,京葉工業地域,A
現在の日本の最大の貿易相手国はどこか？,中国,イギリス,韓国,アメリカ,A
最も人口の多い都道府県はどこか？,東京都,大阪府,愛知県,神奈川県,A
太平洋戦争後に、日本が文化的に大きな影響を受けた国はどこか？,イギリス,中国,アメリカ,フランス,C
岩手県のリアス式海岸になっている海岸の名前は？,大洗海岸,日南海岸,富津海岸,三陸海岸,D
稲作が盛んで旭川市がある盆地を何というか？,会津盆地,宇和盆地,上川盆地,甲府盆地,C
讃岐平野で雨が少ないため、その対策としてつくられているものは何か？,干拓地,ため池,クリーク,輪中,B
以下の中で、関東地方ではない都道府県はどれか？,千葉県,山梨県,群馬県,栃木県,B
中京工業地帯で盛んな工業はどれか？,軽工業,製紙・パルプ業,自動車業,石油化学工業,C
日本では北海道のみで作られている砂糖の原料となる植物はどれか？,さとうきび,さつまいも,じゃがいも,てんさい,D
三重県の県庁所在地はどれか？,松坂市,津市,大津市,伊勢市,B
熊本県にある世界一のカルデラをもつ山はどれか？,箱根山,阿多山,阿蘇山,加久藤山,C
最上川の下流に位置し、日本を代表する穀倉地帯である平野は？,石狩平野,最上平野,山形平野,庄内平野,D
